FVC file = swan.fvc, Simulation Execution: 09/09/2019 19:09:21
Nodestring coordinates,X,Y,ZB,Chain,Length,LeftCellID,RightCellID,NSID,ID
, 0.39196755600000E+06, 0.64634947300000E+07, -0.7195169E+00,  0.0000000E+00,  0.2665404E+02,        4989,        4991,          10,          10
, 0.39197624100000E+06, 0.64634911600000E+07, -0.1767700E+01,  0.9390108E+01,  0.2665404E+02,        4990,        4992,          10,          10
, 0.39198400600000E+06, 0.64634971200000E+07, -0.1067662E-01,  0.1917871E+02,  0.2665404E+02,        4990,        4993,          10,          10
, 0.39198996000000E+06, 0.64634926000000E+07,  0.6214912E+00,  0.2665404E+02,  0.2665404E+02,,,          10,          10
, 0.40733001600000E+06, 0.64833021900000E+07,  0.2863519E+01,  0.0000000E+00,  0.3258053E+02,       13001,       13005,          11,          11
, 0.40732898800000E+06, 0.64833102700000E+07,  0.2863613E+01,  0.8145132E+01,  0.3258053E+02,       13002,       13006,          11,          11
, 0.40732796000000E+06, 0.64833183500000E+07,  0.2863628E+01,  0.1629026E+02,  0.3258053E+02,       13003,       13007,          11,          11
, 0.40732693200000E+06, 0.64833264300000E+07,  0.2863563E+01,  0.2443540E+02,  0.3258053E+02,       13004,       13008,          11,          11
, 0.40732590400000E+06, 0.64833345100000E+07,  0.2861063E+01,  0.3258053E+02,  0.3258053E+02,,,          11,          11
, 0.40180390000000E+06, 0.64692567000000E+07,  0.1537876E+01,  0.0000000E+00,  0.7697610E+02,       10791,       10809,          12,          12
, 0.40182305000000E+06, 0.64692586000000E+07, -0.3231931E+01,  0.1924402E+02,  0.7697610E+02,       10790,       10808,          12,          12
, 0.40184220000000E+06, 0.64692605000000E+07, -0.2286581E+01,  0.3848805E+02,  0.7697610E+02,       10789,       10807,          12,          12
, 0.40186135000000E+06, 0.64692624000000E+07, -0.5226926E+00,  0.5773207E+02,  0.7697610E+02,       10788,       10806,          12,          12
, 0.40188050000000E+06, 0.64692643000000E+07,  0.5949540E+00,  0.7697610E+02,  0.7697610E+02,,,          12,          12
, 0.40474022700000E+06, 0.64727532500000E+07, -0.6189827E+00,  0.0000000E+00,  0.5019472E+02,       11498,       11502,          13,          13
, 0.40475149000000E+06, 0.64727477200000E+07, -0.2268005E+01,  0.1254735E+02,  0.5019472E+02,       11497,       11501,          13,          13
, 0.40476275400000E+06, 0.64727421800000E+07, -0.2078794E+01,  0.2510001E+02,  0.5019472E+02,       11496,       11500,          13,          13
, 0.40477401700000E+06, 0.64727366500000E+07, -0.7734063E+00,  0.3764737E+02,  0.5019472E+02,       11495,       11499,          13,          13
, 0.40478528000000E+06, 0.64727311200000E+07,  0.1383284E+00,  0.5019472E+02,  0.5019472E+02,,,          13,          13
