id,ctrd_x,ctrd_y,cfl_dt_min,cfl_dt_mean
       12351,  0.3965588E+06,  0.6455797E+07,    49.366,   512.844
       12352,  0.3965466E+06,  0.6455788E+07,    49.832,   463.889
       12353,  0.3965571E+06,  0.6455788E+07,    82.269,   698.330
       12354,  0.3965746E+06,  0.6455801E+07,    61.284,   502.971
       12355,  0.3965636E+06,  0.6455790E+07,    41.808,   325.239
       12356,  0.3965725E+06,  0.6455793E+07,   119.100,  1588.672
       12357,  0.3965326E+06,  0.6455782E+07,    49.679,   402.627
       12358,  0.3965459E+06,  0.6455778E+07,   133.157,  1252.528
       12359,  0.3965372E+06,  0.6455777E+07,    41.346,   328.995
       12360,  0.3965196E+06,  0.6455777E+07,    44.138,   272.057
       12361,  0.3965288E+06,  0.6455776E+07,    95.740,  1087.464
       12362,  0.3966032E+06,  0.6455823E+07,    66.771,   508.219
       12363,  0.3965906E+06,  0.6455810E+07,    53.997,   498.626
       12364,  0.3966072E+06,  0.6455811E+07,   186.694,  1266.865
       12365,  0.3966175E+06,  0.6455826E+07,   215.972,  1271.952
       12366,  0.3965819E+06,  0.6455795E+07,    67.421,   519.567
       12367,  0.3965932E+06,  0.6455798E+07,   162.523,  1105.447
       12368,  0.3965105E+06,  0.6455776E+07,   163.960,   898.121
       12369,  0.3965025E+06,  0.6455775E+07,    36.776,   169.297
       12370,  0.3965198E+06,  0.6455768E+07,   202.321,  1238.327
       12371,  0.3965115E+06,  0.6455767E+07,    36.354,   152.056
       12372,  0.3964955E+06,  0.6455767E+07,    40.549,   203.058
       12373,  0.3965035E+06,  0.6455767E+07,   180.854,   845.769
       12374,  0.3964886E+06,  0.6455758E+07,    47.224,   259.232
       12375,  0.3964964E+06,  0.6455758E+07,   222.342,  1220.398
       12376,  0.3964894E+06,  0.6455749E+07,  2253.274,  8280.437
       12377,  0.3966288E+06,  0.6455830E+07,    81.115,   712.875
       12378,  0.3966419E+06,  0.6455844E+07,    73.755,   495.629
       12379,  0.3966415E+06,  0.6455834E+07,   181.702,   975.999
       12380,  0.3966215E+06,  0.6455814E+07,    61.315,   483.631
       12381,  0.3966353E+06,  0.6455818E+07,   200.994,  1160.399
       12382,  0.3966559E+06,  0.6455858E+07,    92.805,   667.169
       12383,  0.3966517E+06,  0.6455840E+07,    73.154,   538.758
       12384,  0.3966618E+06,  0.6455846E+07,   161.594,  5129.951
       12385,  0.3966651E+06,  0.6455874E+07,   170.468,  3106.813
       12386,  0.3966692E+06,  0.6455863E+07,   192.320,  4501.014
       12387,  0.3966797E+06,  0.6455878E+07,  3668.411,  9901.602
       12388,  0.3973646E+06,  0.6465273E+07,   168.562,  1207.495
       12389,  0.3973407E+06,  0.6465329E+07,  3157.809,  9939.730
       12390,  0.3973306E+06,  0.6465253E+07,   111.386,   790.296
       12391,  0.3973078E+06,  0.6465308E+07,   310.289,  3384.632
       12392,  0.3972966E+06,  0.6465233E+07,    87.850,   817.060
       12393,  0.3972749E+06,  0.6465287E+07,   293.451,  3307.477
       12394,  0.3972626E+06,  0.6465213E+07,    85.222,  1260.837
       12395,  0.3972420E+06,  0.6465266E+07,   346.191,  3711.207
       12396,  0.3972092E+06,  0.6465245E+07,  3641.170,  9940.198
       12397,  0.3977820E+06,  0.6465243E+07,   199.021,  2828.312
       12398,  0.3978202E+06,  0.6465260E+07,  5552.260,  9997.201
       12399,  0.3977598E+06,  0.6465275E+07,  7325.074,  9993.368
       12400,  0.3964400E+06,  0.6455696E+07,    46.917,   279.654
       12401,  0.3964421E+06,  0.6455688E+07,   111.623,   607.869
       12402,  0.3964485E+06,  0.6455703E+07,    39.718,   301.955
       12403,  0.3964510E+06,  0.6455696E+07,   142.241,   888.688
       12404,  0.3964592E+06,  0.6455704E+07,  1531.334,  7346.871
       12405,  0.3964207E+06,  0.6455664E+07,    58.625,   607.349
       12406,  0.3964324E+06,  0.6455672E+07,    65.088,   701.621
       12407,  0.3964311E+06,  0.6455664E+07,   229.569,  2565.275
       12408,  0.3964100E+06,  0.6455654E+07,    67.846,  2194.004
       12409,  0.3964232E+06,  0.6455654E+07,   151.012,  3961.017
       12410,  0.3964445E+06,  0.6455679E+07,    33.791,   310.879
       12411,  0.3964389E+06,  0.6455667E+07,    42.153,   452.424
       12412,  0.3964441E+06,  0.6455671E+07,   149.496,   598.010
       12413,  0.3964531E+06,  0.6455688E+07,    34.966,   228.055
       12414,  0.3964523E+06,  0.6455679E+07,   116.096,   543.681
