FVC file = swan.fvc, Simulation Execution: 09/09/2019 19:09:21
Cell Coordinates and properties applied to model,X,Y,ZB,MATID,Area,ID
, 0.38077089792165E+06, 0.64529932139060E+07, -0.1029003E+02,           9,  0.8588285E+04,           1
, 0.38081268169257E+06, 0.64529199380896E+07, -0.1633618E+02,           9,  0.6279683E+04,           2
, 0.38084732466667E+06, 0.64528764333333E+07, -0.1598446E+02,           9,  0.2337909E+04,           3
, 0.38090674494301E+06, 0.64528807070078E+07, -0.1195737E+02,           9,  0.5134751E+04,           4
, 0.38085321497697E+06, 0.64530302967654E+07, -0.1279097E+02,           8,  0.8980148E+04,           5
, 0.38089114670668E+06, 0.64529536321324E+07, -0.1613468E+02,           8,  0.5539034E+04,           6
, 0.38096446666667E+06, 0.64528857700000E+07, -0.9652008E+01,           8,  0.2980386E+04,           7
, 0.38094614600000E+06, 0.64529672933333E+07, -0.1618642E+02,           8,  0.2419701E+04,           8
, 0.38099070464951E+06, 0.64529380903965E+07, -0.1529440E+02,           8,  0.4624087E+04,           9
, 0.38092242919180E+06, 0.64530832477117E+07, -0.1122286E+02,           8,  0.1050414E+05,          10
, 0.38096249700000E+06, 0.64530128900000E+07, -0.1614584E+02,           8,  0.2755071E+04,          11
, 0.38104604900000E+06, 0.64529320166667E+07, -0.1305073E+02,           8,  0.2884314E+04,          12
, 0.38101457964656E+06, 0.64530132911971E+07, -0.1607340E+02,           8,  0.4438957E+04,          13
, 0.38107836395137E+06, 0.64529880902601E+07, -0.1451797E+02,           8,  0.5644528E+04,          14
, 0.38098598441771E+06, 0.64531460031837E+07, -0.7567446E+01,           8,  0.1164071E+05,          15
, 0.38103295733333E+06, 0.64530697500000E+07, -0.1603638E+02,           8,  0.3062469E+04,          16
, 0.38112867333333E+06, 0.64529788066667E+07, -0.1101803E+02,           8,  0.2940756E+04,          17
, 0.38108849203511E+06, 0.64530708198764E+07, -0.1599635E+02,           8,  0.5359438E+04,          18
, 0.38114478066667E+06, 0.64530730433333E+07, -0.1578993E+02,           8,  0.2636015E+04,          19
