id,ctrd_x,ctrd_y,cfl_dt_min,cfl_dt_mean
           1,  0.3807290E+06,  0.6452979E+07,     3.868,     4.023
           2,  0.3807500E+06,  0.6453037E+07,     4.421,     4.562
           3,  0.3807758E+06,  0.6452901E+07,     2.823,     2.911
           4,  0.3807930E+06,  0.6452950E+07,     2.885,     2.958
           5,  0.3808354E+06,  0.6452858E+07,     2.408,     2.470
           6,  0.3808357E+06,  0.6452891E+07,     2.087,     2.133
           7,  0.3808708E+06,  0.6452881E+07,     2.783,     2.877
           8,  0.3809069E+06,  0.6452844E+07,     3.051,     3.132
           9,  0.3808140E+06,  0.6453008E+07,     4.042,     4.180
          10,  0.3808529E+06,  0.6452940E+07,     3.210,     3.307
          11,  0.3808759E+06,  0.6452984E+07,     2.464,     2.519
          12,  0.3808275E+06,  0.6453075E+07,     4.378,     4.489
          13,  0.3809042E+06,  0.6452918E+07,     3.101,     3.173
          14,  0.3809403E+06,  0.6452882E+07,     2.778,     2.896
          15,  0.3809780E+06,  0.6452868E+07,     3.242,     3.351
          16,  0.3809272E+06,  0.6452962E+07,     2.193,     2.258
          17,  0.3809751E+06,  0.6452908E+07,     2.389,     2.476
          18,  0.3809607E+06,  0.6452950E+07,     2.440,     2.496
          19,  0.3808894E+06,  0.6453052E+07,     3.378,     3.482
          20,  0.3809505E+06,  0.6452990E+07,     2.542,     2.610
          21,  0.3809518E+06,  0.6453031E+07,     2.502,     2.562
          22,  0.3808913E+06,  0.6453135E+07,     5.209,     5.360
          23,  0.3810218E+06,  0.6452933E+07,     2.276,     2.349
          24,  0.3810537E+06,  0.6452912E+07,     2.695,     2.763
          25,  0.3810074E+06,  0.6452975E+07,     3.576,     3.669
          26,  0.3809852E+06,  0.6453018E+07,     2.048,     2.099
          27,  0.3810627E+06,  0.6452951E+07,     2.940,     3.039
          28,  0.3810447E+06,  0.6453002E+07,     2.615,     2.676
          29,  0.3809536E+06,  0.6453114E+07,     3.887,     4.038
          30,  0.3810226E+06,  0.6453045E+07,     2.154,     2.211
          31,  0.3810201E+06,  0.6453089E+07,     2.973,     3.056
          32,  0.3809507E+06,  0.6453203E+07,     6.820,     7.102
          33,  0.3811084E+06,  0.6452978E+07,     2.331,     2.401
          34,  0.3811319E+06,  0.6452955E+07,     2.938,     3.024
          35,  0.3810904E+06,  0.6453029E+07,     3.239,     3.328
          36,  0.3810562E+06,  0.6453075E+07,     2.323,     2.382
          37,  0.3811457E+06,  0.6453003E+07,     3.948,     4.108
          38,  0.3811220E+06,  0.6453065E+07,     2.585,     2.649
          39,  0.3811562E+06,  0.6453058E+07,     2.396,     2.456
          40,  0.3810171E+06,  0.6453177E+07,     3.470,     3.604
          41,  0.3810878E+06,  0.6453111E+07,     2.863,     2.940
          42,  0.3810849E+06,  0.6453151E+07,     2.407,     2.464
          43,  0.3810333E+06,  0.6453246E+07,     3.499,     3.662
          44,  0.3810035E+06,  0.6453275E+07,     5.656,     6.098
          45,  0.3812044E+06,  0.6453008E+07,     3.218,     3.319
          46,  0.3811561E+06,  0.6453096E+07,     2.833,     2.903
          47,  0.3811190E+06,  0.6453144E+07,     2.518,     2.581
          48,  0.3812149E+06,  0.6453062E+07,     3.900,     4.057
          49,  0.3811904E+06,  0.6453129E+07,     2.573,     2.636
          50,  0.3812244E+06,  0.6453123E+07,     2.310,     2.367
          51,  0.3812707E+06,  0.6453068E+07,     3.322,     3.419
          52,  0.3811011E+06,  0.6453220E+07,     3.311,     3.398
          53,  0.3811532E+06,  0.6453176E+07,     2.806,     2.874
          54,  0.3811471E+06,  0.6453216E+07,     2.399,     2.447
          55,  0.3810562E+06,  0.6453285E+07,     4.742,     5.002
          56,  0.3811321E+06,  0.6453252E+07,     2.638,     2.694
          57,  0.3810989E+06,  0.6453306E+07,     3.009,     3.085
          58,  0.3810690E+06,  0.6453334E+07,     3.211,     3.326
          59,  0.3810375E+06,  0.6453357E+07,     3.435,     3.549
          60,  0.3812244E+06,  0.6453164E+07,     3.006,     3.084
          61,  0.3811843E+06,  0.6453208E+07,     2.677,     2.743
          62,  0.3812802E+06,  0.6453130E+07,     3.817,     3.959
          63,  0.3812614E+06,  0.6453194E+07,     3.101,     3.177
          64,  0.3813102E+06,  0.6453163E+07,     2.456,     2.528
          65,  0.3813319E+06,  0.6453134E+07,     3.049,     3.131
          66,  0.3811756E+06,  0.6453295E+07,     2.414,     2.462
          67,  0.3812213E+06,  0.6453239E+07,     2.462,     2.525
          68,  0.3812084E+06,  0.6453281E+07,     2.531,     2.584
          69,  0.3811424E+06,  0.6453349E+07,     3.899,     3.982
          70,  0.3810802E+06,  0.6453378E+07,     3.502,     3.601
          71,  0.3811313E+06,  0.6453400E+07,     2.512,     2.565
          72,  0.3812058E+06,  0.6453328E+07,     3.191,     3.257
          73,  0.3811987E+06,  0.6453379E+07,     2.725,     2.781
          74,  0.3810651E+06,  0.6453441E+07,     3.103,     3.168
          75,  0.3812955E+06,  0.6453236E+07,     3.471,     3.557
          76,  0.3812515E+06,  0.6453272E+07,     2.418,     2.480
          77,  0.3813443E+06,  0.6453205E+07,     3.238,     3.354
          78,  0.3813913E+06,  0.6453202E+07,     3.621,     3.745
          79,  0.3813271E+06,  0.6453274E+07,     3.490,     3.585
          80,  0.3813736E+06,  0.6453239E+07,     2.716,     2.818
          81,  0.3812689E+06,  0.6453348E+07,     2.686,     2.741
          82,  0.3812831E+06,  0.6453311E+07,     2.395,     2.455
          83,  0.3811162E+06,  0.6453464E+07,     3.393,     3.479
          84,  0.3811877E+06,  0.6453431E+07,     3.099,     3.165
          85,  0.3811736E+06,  0.6453483E+07,     3.023,     3.093
          86,  0.3811074E+06,  0.6453519E+07,     3.142,     3.224
          87,  0.3812618E+06,  0.6453399E+07,     3.061,     3.125
          88,  0.3812531E+06,  0.6453457E+07,     2.833,     2.892
          89,  0.3813133E+06,  0.6453344E+07,     2.587,     2.651
          90,  0.3813222E+06,  0.6453419E+07,     2.809,     2.867
          91,  0.3813433E+06,  0.6453382E+07,     2.317,     2.373
          92,  0.3813589E+06,  0.6453312E+07,     3.415,     3.507
          93,  0.3814055E+06,  0.6453277E+07,     3.053,     3.181
          94,  0.3814500E+06,  0.6453270E+07,     3.922,     4.079
