Depth,Sal,Temp,ones,zeroes,TSS,Oxy,Sil,Amm,Nit,FRP,DOC_T,POC_T,DON_T,PON_T,OP,CHLA,TN,TP
0.0000,7.2035,23.3770,1.0000,0.0000,10.0000,208.1250,71.1744,5.2857,3.0714,0.2581,2333.3333,279.3333,121.4286,5.9286,1.9742,26.0000,135.7143,2.2581
1.8650,7.2060,23.3640,1.0000,0.0000,10.0000,188.4375,71.1744,3.2857,3.2143,0.1935,2333.3333,279.3333,121.4286,14.9286,1.8839,24.0000,142.8571,2.0968
