Variable Name,Min Date,Max Date,Number of Samples
WQ_OGM_DOC,01/07/1997 09:05:00,03/10/2019 08:19:00,662.000
SAL,04/06/1997 09:00:00,26/06/2019 08:01:11,588.000
WQ_OGM_DON,31/10/2006 07:58:00,03/10/2019 08:19:00,339.000
WQ_NIT_NIT,12/06/1987 11:45:00,03/10/2019 08:19:00,804.000
WQ_DIAG_TOT_TKN,13/06/1996 08:40:00,03/10/2019 08:19:00,701.000
WQ_DIAG_TOT_TN,12/06/1987 11:45:00,03/10/2019 08:19:00,849.000
WQ_NIT_AMM,12/06/1987 11:45:00,03/10/2019 08:19:00,794.000
WQ_DIAG_OXY_OXY_SAT,26/11/2003 11:38:00,26/06/2019 08:01:11,331.000
WQ_OXY_OXY,26/11/2003 11:38:00,26/06/2019 08:01:11,331.000
WQ_DIAG_TOT_TP,12/06/1987 11:45:00,03/10/2019 08:19:00,846.000
WQ_CAR_PH,26/11/2003 11:38:00,26/06/2019 08:01:11,235.000
WQ_PHS_FRP,12/06/1987 11:45:00,03/10/2019 08:19:00,824.000
TEMP,03/12/1996 08:50:00,26/06/2019 08:01:11,652.000
TRC_SS1,23/04/1996 08:00:00,03/10/2019 08:19:00,716.000
WQ_OGM_POC,01/07/1997 09:05:00,03/10/2019 08:19:00,662.000
WQ_NCS_SS1,23/04/1996 08:00:00,03/10/2019 08:19:00,716.000
WQ_SIL_RSI,23/04/1996 08:00:00,30/06/1998 08:20:00,116.000
Flow,01/01/1989 00:00:00,07/01/1994 00:00:00,1834.000
minFlow,01/01/1989 00:00:00,07/01/1994 00:00:00,1834.000
Flow_ML,01/01/1989 00:00:00,07/01/1994 00:00:00,1834.000
Level,01/01/1989 00:00:00,07/01/1994 00:00:00,1834.000
