Depth,Sal,Temp,ones,zeroes,TSS,Oxy,Sil,Amm,Nit,FRP,DOC_T,POC_T,DON_T,PON_T,OP,CHLA,TN,TP
0.0000,7.0440,22.9420,1.0000,0.0000,11.0000,171.2500,81.8505,5.2143,3.7143,0.3226,2333.3333,279.3333,114.2857,12.5000,1.6452,23.0000,135.7143,2.0000
4.9000,7.0465,22.9470,1.0000,0.0000,11.0000,164.3750,81.8505,3.8571,4.6429,0.2258,2333.3333,279.3333,114.2857,12.9286,1.6871,17.0000,135.7143,1.9355
