BLA	15/12/2008	12	2008	Grab	S	0.557	NaN	216638	163453	75	96.40	2.92	5650	2311589.70	46231793.95	1138356.10	2531717.30	0.45	31.02	68.98	3670073.40
BLA	15/12/2008	12	2008	Insitu	B	15.662	16.7	110669	81268	73	94.80	4.98	1883	1359973.53	27199470.65	385007.70	766682.00	0.50	33.43	66.57	1151689.70
BLA	29/12/2008	12	2008	Grab	S	0.519	NaN	100202	66735	67	97.40	2.25	3800	1886297.06	37725941.17	753348.40	621679.10	1.21	54.79	45.21	1375027.50
BLA	29/12/2008	12	2008	Grab	B	15.500	16	60568	45034	74	98.20	1.63	950	1704149.22	34082984.31	448342.30	526677.20	0.85	45.98	54.02	975019.50
BLA	12/01/2009	01	2009	Grab	S	0.524	NaN	219621	136369	62	87.80	14.20	6650	3362531.98	67250639.65	595011.90	1586698.40	0.38	27.27	72.73	2181710.30
BLA	12/01/2009	01	2009	Grab	B	15.500	16	141053	91102	65	73.30	23.70	5667	2456195.19	49123903.79	481676.30	1318359.70	0.37	26.76	73.24	1800036.00
BLA	27/01/2009	01	2009	Grab	S	0.584	NaN	215221	146303	68	93.70	6.82	1900	2621314.09	52426281.84	551677.70	925018.50	0.60	37.36	62.64	1476696.20
BLA	27/01/2009	01	2009	Grab	B	16.500	17	141003	85652	61	92.60	8.46	917	1810125.80	36202516.04	308339.50	561677.90	0.55	35.44	64.56	870017.40
BLA	09/02/2009	02	2009	Grab	S	0.553	NaN	171153	107752	63	95.10	4.97	3800	2910300.27	58206005.43	668346.70	1045020.90	0.64	39.01	60.99	1713367.60
BLA	09/02/2009	02	2009	Grab	B	15.500	16	142236	65585	46	86.50	13.70	3783	2029890.93	40597818.61	446675.60	1065021.30	0.42	29.55	70.45	1511696.90
BLA	02/03/2009	03	2009	Grab	S	0.538	NaN	92702	56318	61	90.70	9.74	3800	1678352.90	33567057.99	298339.30	728347.90	0.41	29.06	70.94	1026687.20
BLA	02/03/2009	03	2009	Grab	B	15.500	16	100919	60701	60	88.20	12.70	4750	1746693.47	34933869.33	506676.80	631679.30	0.80	44.51	55.49	1138356.10
BLA	09/03/2009	03	2009	Grab	S	0.499	NaN	95152	27317	29	91.00	9.47	2850	1330374.27	26607485.47	225004.50	296672.60	0.76	43.13	56.87	521677.10
BLA	09/03/2009	03	2009	Grab	B	15.500	16	52784	35751	68	94.70	5.64	2833	1289759.59	25795191.89	575011.50	501676.70	1.15	53.41	46.59	1076688.20
BLA	23/03/2009	03	2009	Grab	S	0.503	NaN	68468	31084	45	82.30	18.30	1900	1442813.99	28856279.78	306672.80	475009.50	0.65	39.23	60.77	781682.30
BLA	23/03/2009	03	2009	Grab	B	16.000	16.5	57701	27084	47	82.00	18.30	1883	1309654.79	26193095.85	580011.60	680013.60	0.85	46.03	53.97	1260025.20
BLA	06/04/2009	04	2009	Grab	S	0.591	NaN	79118	42351	54	89.60	10.20	3767	1316886.00	26337720.08	278338.90	730014.60	0.38	27.60	72.40	1008353.50
BLA	06/04/2009	04	2009	Grab	B	16.000	16.5	78185	42351	54	91.50	8.62	2817	1537437.95	30748758.96	356673.80	643346.20	0.55	35.67	64.33	1000020.00
BLA	20/04/2009	04	2009	Grab	S	0.530	NaN	38567	14617	38	87.50	12.10	1900	1186799.14	23735982.71	371674.10	383341.00	0.97	49.23	50.77	755015.10
BLA	20/04/2009	04	2009	Grab	B	16.000	16.5	46734	17767	38	78.50	21.50	2833	1237005.47	24740109.46	388341.10	563344.60	0.69	40.81	59.19	951685.70
BLA	04/05/2009	05	2009	Grab	S	0.504	NaN	58968	23784	40	83.20	17.80	950	1310909.95	26218199.02	463342.60	616679.00	0.75	42.90	57.10	1080021.60
BLA	04/05/2009	05	2009	Grab	B	15.500	16	58468	25717	44	82.00	19.00	2850	1367804.22	27356084.44	530010.60	458342.50	1.16	53.63	46.37	988353.10
BLA	18/05/2009	05	2009	Grab	S	0.502	NaN	43718	11084	25	64.40	33.80	6550	1376309.33	27526186.51	820016.40	1180023.60	0.69	41.00	59.00	2000040.00
BLA	18/05/2009	05	2009	Grab	B	15.500	16	68901	15884	23	64.20	35.40	7400	1545830.65	30916612.99	1366694.00	1230024.60	1.11	52.63	47.37	2596718.60
BLA	02/06/2009	06	2009	Grab	S	0.536	NaN	29284	6383	22	80.50	18.90	7383	1228106.96	24562139.23	465009.30	815016.30	0.57	36.33	63.67	1280025.60
BLA	02/06/2009	06	2009	Grab	B	16.000	16.5	59918	11967	20	72.10	28.90	5633	1163082.26	23261645.22	601678.70	945018.90	0.64	38.90	61.10	1546697.60
BLA	15/06/2009	06	2009	Grab	S	0.000	NaN	28234	5833	21	74.90	22.30	7250	1543844.88	30876897.53	363340.60	886684.40	0.41	29.07	70.93	1250025.00
BLA	15/06/2009	06	2009	Grab	B	15.500	16	30101	6867	23	70.10	28.90	9317	1589049.31	31780986.27	563344.60	850017.00	0.66	39.86	60.14	1413361.60
BLA	30/06/2009	06	2009	Grab	S	0.449	NaN	25184	4433	18	41.50	58.80	8317	517499.95	10349999.00	508343.50	565011.30	0.90	47.36	52.64	1073354.80
BLA	30/06/2009	06	2009	Grab	B	15.500	16	25967	4933	19	45.30	54.10	6367	488781.18	9775623.51	703347.40	568344.70	1.24	55.31	44.69	1271692.10
BLA	13/07/2009	07	2009	Grab	S	0.000	NaN	77835	6650	9	52.90	47.60	9484	1931763.77	38635275.36	1501696.70	1501696.70	1.00	50.00	50.00	3003393.40
BLA	13/07/2009	07	2009	Grab	B	16.000	16.5	35767	5367	15	28.90	71.40	1867	841874.10	16837482.08	928351.90	916685.00	1.01	50.32	49.68	1845036.90
BLA	27/07/2009	07	2009	Grab	S	0.000	NaN	88952	8283	9	45.30	57.70	20950	1617318.48	32346369.58	2141709.50	1830036.60	1.17	53.92	46.08	3971746.10
BLA	27/07/2009	07	2009	Grab	B	15.500	16	17834	3567	20	40.70	60.30	1833	997850.96	19957019.13	811682.90	1010020.20	0.80	44.56	55.44	1821703.10
BLA	10/08/2009	08	2009	Grab	S	0.511	NaN	247938	9367	4	15.80	84.70	156120	2925755.58	58515111.61	17133676.00	7378480.90	2.32	69.90	30.10	24512156.90
BLA	10/08/2009	08	2009	Grab	B	15.500	16	32951	5183	16	19.90	80.40	1783	853376.60	17067532.01	4218417.70	3978412.90	1.06	51.46	48.54	8196830.60
BLA	24/08/2009	08	2009	Grab	S	0.500	NaN	181220	21534	12	42.60	59.00	15200	1812542.45	36250849.00	3583405.00	1438362.10	2.49	71.36	28.64	5021767.10
BLA	24/08/2009	08	2009	Grab	B	15.000	15.5	64318	12500	19	47.50	54.00	950	700097.40	14001948.03	1286692.40	613345.60	2.10	67.72	32.28	1900038.00
BLA	07/09/2009	09	2009	Grab	S	0.506	NaN	65985	3217	5	22.30	80.80	12217	2971372.16	59427443.19	4051747.70	3608405.50	1.12	52.89	47.11	7660153.20
BLA	07/09/2009	09	2009	Grab	B	15.000	15.5	44868	11400	25	66.70	33.30	6617	1122617.45	22452349.04	1968372.70	1921705.10	1.02	50.60	49.40	3890077.80
BLA	21/09/2009	09	2009	Grab	S	0.511	NaN	97802	7550	8	32.70	68.00	12334	1615407.64	32308152.82	586678.40	833350.00	0.70	41.31	58.69	1420028.40
BLA	21/09/2009	09	2009	Grab	B	15.500	16	196271	38284	20	33.90	66.20	5700	668812.11	13376242.19	1106688.80	811682.90	1.36	57.69	42.31	1918371.70
BLA	05/10/2009	10	2009	Grab	S	0.496	NaN	142003	4800	3	31.90	68.80	46518	4236927.80	84738556.07	4223417.80	2756721.80	1.53	60.51	39.49	6980139.60
BLA	05/10/2009	10	2009	Grab	B	15.500	16	48284	13467	28	83.90	15.70	3783	981758.70	19635174.03	1103355.40	1016687.00	1.09	52.04	47.96	2120042.40
BLA	19/10/2009	10	2009	Grab	S	0.522	NaN	138103	11167	8	72.70	27.30	17950	3276506.80	65530135.91	4606758.80	2590051.80	1.78	64.01	35.99	7196810.60
BLA	19/10/2009	10	2009	Grab	B	16.500	17	73651	34001	46	93.00	6.81	2817	1042099.97	20841999.50	1415028.30	1305026.10	1.08	52.02	47.98	2720054.40
BLA	02/11/2009	11	2009	Grab	S	0.505	NaN	84152	6517	8	32.00	67.80	11367	1954675.09	39093501.85	2606718.80	2310046.20	1.13	53.02	46.98	4916765.00
BLA	02/11/2009	11	2009	Grab	B	15.500	16	143153	24700	17	46.90	53.40	1900	532899.06	10657981.16	1056687.80	826683.20	1.28	56.11	43.89	1883371.00
BLA	16/11/2009	11	2009	Grab	S	0.495	NaN	47101	21934	47	96.80	3.42	9484	557440.22	11148804.30	433342.00	153336.40	2.83	73.86	26.14	586678.40
BLA	16/11/2009	11	2009	Grab	B	16.000	16.5	34001	16417	48	91.60	8.63	7183	651502.16	13030043.26	433342.00	153336.40	2.83	73.86	26.14	586678.40
