BLA	1.09	0.34	0.09	0.28
ARM	0.83	0.50	0.11	0.26
NAR	0.98	0.57	0.32	0.58
STJ	0.49	0.17	0.25	0.27
KIN 	0.70	0.22	0.20	0.28
SUC	0.58	0.30	0.21	0.35
