ISOTime,flow
09/09/2015,0.27083719
10/09/2015,0.267940143
11/09/2015,0.281079992
12/09/2015,0.376127365
13/09/2015,0.420036611
14/09/2015,0.352705356
15/09/2015,0.322170723
16/09/2015,0.303588251
17/09/2015,0.292987437
18/09/2015,0.28255654
19/09/2015,0.272290582
20/09/2015,0.263618694
21/09/2015,0.25790118
22/09/2015,0.252233576
23/09/2015,0.245217845
24/09/2015,0.239659146
25/09/2015,0.234147341
26/09/2015,0.228681501
27/09/2015,0.224611726
28/09/2015,0.220566893
29/09/2015,0.216546609
30/09/2015,0.209899626
01/10/2015,0.205942892
02/10/2015,0.20200927
03/10/2015,0.196799718
04/10/2015,0.196799718
05/10/2015,0.1942098
06/10/2015,0.189059097
07/10/2015,0.185221105
08/10/2015,0.182674147
09/10/2015,0.180136418
10/10/2015,0.1776078
11/10/2015,0.175088178
12/10/2015,0.171325357
13/10/2015,0.168827717
14/10/2015,0.167582124
15/10/2015,0.163858087
16/10/2015,0.161385866
17/10/2015,0.158921886
18/10/2015,0.15769295
19/10/2015,0.155241114
20/10/2015,0.15279723
21/10/2015,0.147932849
22/10/2015,0.146721541
23/10/2015,0.14551212
24/10/2015,0.143098879
25/10/2015,0.140693008
26/10/2015,0.138294391
27/10/2015,0.137097767
28/10/2015,0.135902913
29/10/2015,0.134709815
30/10/2015,0.133518458
31/10/2015,0.15036118
01/11/2015,0.154018185
02/11/2015,0.178870977
03/11/2015,0.173831704
04/11/2015,0.168827717
05/11/2015,0.167582124
06/11/2015,0.167582124
07/11/2015,0.161385866
08/11/2015,0.156466031
09/11/2015,0.149146057
10/11/2015,0.141895029
11/11/2015,0.137097767
12/11/2015,0.131140909
13/11/2015,0.12758728
14/11/2015,0.124048538
15/11/2015,0.122872198
16/11/2015,0.119352694
17/11/2015,0.115847164
18/11/2015,0.113517712
19/11/2015,0.11119418
20/11/2015,0.110034598
21/11/2015,0.108876452
22/11/2015,0.10310676
23/11/2015,0.10080843
24/11/2015,0.099661253
25/11/2015,0.099661253
26/11/2015,0.096227499
27/11/2015,0.092805105
28/11/2015,0.088258908
29/11/2015,0.084861499
30/11/2015,0.081474145
01/12/2015,0.078096453
02/12/2015,0.075849834
03/12/2015,0.073607219
04/12/2015,0.073607219
05/12/2015,0.093944665
06/12/2015,0.108876452
07/12/2015,0.118182651
08/12/2015,0.12052429
09/12/2015,0.12052429
10/12/2015,0.117014146
11/12/2015,0.112355213
12/12/2015,0.110034598
13/12/2015,0.110034598
14/12/2015,0.106564411
15/12/2015,0.10310676
16/12/2015,0.099661253
17/12/2015,0.10310676
18/12/2015,0.10310676
19/12/2015,0.096227499
20/12/2015,0.083731283
21/12/2015,0.08260217
22/12/2015,0.073607219
23/12/2015,0.064674483
24/12/2015,0.050272336
25/12/2015,0.016324561
26/12/2015,0
27/12/2015,0
28/12/2015,0
29/12/2015,0
30/12/2015,0
31/12/2015,0
01/01/2016,0
02/01/2016,0
03/01/2016,0
04/01/2016,0
05/01/2016,0
06/01/2016,0
07/01/2016,0
08/01/2016,0
09/01/2016,0
10/01/2016,0
11/01/2016,0
12/01/2016,0
13/01/2016,0
14/01/2016,0
15/01/2016,0
16/01/2016,0
17/01/2016,0
18/01/2016,0
19/01/2016,0
20/01/2016,0
21/01/2016,0
22/01/2016,0
23/01/2016,0
24/01/2016,0
25/01/2016,0
26/01/2016,0
27/01/2016,0
28/01/2016,0
29/01/2016,0
30/01/2016,0
31/01/2016,0
01/02/2016,0
02/02/2016,0
03/02/2016,0
04/02/2016,0
05/02/2016,0
06/02/2016,0
07/02/2016,0
08/02/2016,0
09/02/2016,0
10/02/2016,0
11/02/2016,0
12/02/2016,0
13/02/2016,0
14/02/2016,0
15/02/2016,0
16/02/2016,0
17/02/2016,0
18/02/2016,0
19/02/2016,0
20/02/2016,0
21/02/2016,0
22/02/2016,0
23/02/2016,0
24/02/2016,0
25/02/2016,0
26/02/2016,0
27/02/2016,0
28/02/2016,0
29/02/2016,0
01/03/2016,0
02/03/2016,0
03/03/2016,0
04/03/2016,0
05/03/2016,0
06/03/2016,0
07/03/2016,0
08/03/2016,0
09/03/2016,0
10/03/2016,0
11/03/2016,0
12/03/2016,0
13/03/2016,0
14/03/2016,0
15/03/2016,0
16/03/2016,0
17/03/2016,0
18/03/2016,0
19/03/2016,0
20/03/2016,0
21/03/2016,0
22/03/2016,0
23/03/2016,0
24/03/2016,0
25/03/2016,0
26/03/2016,0
27/03/2016,0
28/03/2016,0
29/03/2016,0
30/03/2016,0
31/03/2016,0
01/04/2016,0
02/04/2016,0
03/04/2016,0
04/04/2016,0
05/04/2016,0
06/04/2016,0
07/04/2016,0
08/04/2016,0
09/04/2016,0
10/04/2016,0
11/04/2016,0
12/04/2016,0
13/04/2016,0
14/04/2016,0
15/04/2016,0
16/04/2016,0
17/04/2016,0
18/04/2016,0
19/04/2016,0
20/04/2016,0
21/04/2016,0
22/04/2016,0
23/04/2016,0
24/04/2016,0
25/04/2016,0
26/04/2016,0
27/04/2016,0
28/04/2016,0.056903535
29/04/2016,0.063561896
30/04/2016,0.06245015
01/05/2016,0.061339231
02/05/2016,0.052479911
03/05/2016,0.032698091
04/05/2016,0.021774545
05/05/2016,0.001087762
06/05/2016,0
07/05/2016,0.055796534
08/05/2016,0.097370802
09/05/2016,0.107719728
10/05/2016,0.110034598
11/05/2016,0.113517712
12/05/2016,0.114681691
13/05/2016,0.114681691
14/05/2016,0.118182651
15/05/2016,0.124048538
16/05/2016,0.126406065
17/05/2016,0.12758728
18/05/2016,0.131140909
19/05/2016,0.134709815
20/05/2016,0.133518458
21/05/2016,0.272290582
22/05/2016,0.243823723
23/05/2016,0.216546609
24/05/2016,0.278136937
25/05/2016,0.245217845
26/05/2016,0.242432576
27/05/2016,0.241044388
28/05/2016,0.239659146
29/05/2016,0.248015069
30/05/2016,0.252233576
31/05/2016,0.245217845
01/06/2016,0.246614955
02/06/2016,0.246614955
03/06/2016,0.246614955
04/06/2016,0.224611726
05/06/2016,0.227322114
06/06/2016,0.225965527
07/06/2016,0.25790118
08/06/2016,0.239659146
09/06/2016,0.238276835
10/06/2016,0.238276835
11/06/2016,0.238276835
12/06/2016,0.239659146
13/06/2016,0.279606796
14/06/2016,0.263618694
15/06/2016,0.291487022
16/06/2016,0.273747237
17/06/2016,0.262184586
18/06/2016,0.256479636
19/06/2016,0.249418201
20/06/2016,0.275207172
21/06/2016,0.311267047
22/06/2016,0.297509547
23/06/2016,0.278136937
24/06/2016,0.269387049
25/06/2016,0.249418201
26/06/2016,0.250824365
27/06/2016,0.292987437
28/06/2016,0.312813674
29/06/2016,0.522881047
30/06/2016,0.506446769
01/07/2016,0.360977864
02/07/2016,0.302063257
03/07/2016,0.284036454
04/07/2016,0.276670401
05/07/2016,0.272290582
06/07/2016,0.272290582
07/07/2016,0.272290582
08/07/2016,0.275207172
09/07/2016,0.556784971
10/07/2016,1.554051628
11/07/2016,0.971373799
12/07/2016,0.504416206
13/07/2016,0.367669431
14/07/2016,0.354351761
15/07/2016,0.338066821
16/07/2016,0.3560022
17/07/2016,1.06098021
18/07/2016,0.878509963
19/07/2016,0.556784971
20/07/2016,0.451517884
21/07/2016,0.605749943
22/07/2016,0.585382135
23/07/2016,0.476530174
24/07/2016,0.43468192
25/07/2016,0.405684734
26/07/2016,0.382969624
27/07/2016,0.374427392
28/07/2016,0.357656687
29/07/2016,0.354351761
30/07/2016,0.341292237
31/07/2016,0.336459952
01/08/2016,0.346159779
02/08/2016,0.330071073
03/08/2016,0.320601941
04/08/2016,0.319036888
05/08/2016,0.341292237
06/08/2016,0.330071073
07/08/2016,0.376127365
08/08/2016,0.504416206
09/08/2016,0.652739674
10/08/2016,0.492342012
11/08/2016,0.432834955
12/08/2016,0.432834955
13/08/2016,0.396860518
14/08/2016,0.37783156
15/08/2016,0.369352661
16/08/2016,0.457216317
17/08/2016,0.516678438
18/08/2016,1.02043041
19/08/2016,0.565482071
20/08/2016,0.572064107
21/08/2016,0.512569941
22/08/2016,0.500370737
23/08/2016,0.451517884
24/08/2016,0.421851075
25/08/2016,0.400376914
26/08/2016,0.389880365
27/08/2016,2.492987367
28/08/2016,2.538729985
29/08/2016,0.908703816
30/08/2016,0.617271397
31/08/2016,0.667314551
01/09/2016,0.596639161
02/09/2016,0.510523621
03/09/2016,0.472627705
04/09/2016,0.445862935
05/09/2016,0.423670139
06/09/2016,0.407462926
07/09/2016,0.470683965
08/09/2016,0.548177248
09/09/2016,0.455311984
10/09/2016,0.55032085
11/09/2016,0.621921721
12/09/2016,0.574269475
13/09/2016,0.539657971
14/09/2016,0.506446769
15/09/2016,0.496346044
16/09/2016,0.539657971
17/09/2016,0.494341453
18/09/2016,0.470683965
19/09/2016,0.709848653
20/09/2016,0.610340708
21/09/2016,0.548177248
22/09/2016,0.516678438
23/09/2016,0.55032085
24/09/2016,0.508482569
25/09/2016,0.592118911
26/09/2016,0.567670419
27/09/2016,0.561122291
28/09/2016,0.669765601
29/09/2016,0.587621933
30/09/2016,0.554624698
01/10/2016,0.572064107
02/10/2016,0.569864427
03/10/2016,0.546039173
04/10/2016,0.552469996
05/10/2016,0.529131841
06/10/2016,0.4983558
07/10/2016,0.482421563
08/10/2016,0.502390867
09/10/2016,0.631294566
10/10/2016,0.605749943
11/10/2016,0.543906612
12/10/2016,0.4983558
13/10/2016,0.466811401
14/10/2016,0.445862935
15/10/2016,0.442116932
16/10/2016,0.44774311
17/10/2016,0.421851075
18/10/2016,0.405684734
19/10/2016,0.393361707
20/10/2016,0.39161886
21/10/2016,0.396860518
22/10/2016,0.367669431
23/10/2016,0.354351761
24/10/2016,0.338066821
25/10/2016,0.339677577
26/10/2016,0.320601941
27/10/2016,0.311267047
28/10/2016,0.308184705
29/10/2016,0.297509547
30/10/2016,0.300541819
31/10/2016,0.288496537
01/11/2016,0.276670401
02/11/2016,0.269387049
03/11/2016,0.25790118
04/11/2016,0.246614955
05/11/2016,0.239659146
06/11/2016,0.231408733
07/11/2016,0.220566893
08/11/2016,0.211223741
09/11/2016,0.204629136
10/11/2016,0.20200927
11/11/2016,0.1942098
12/11/2016,0.191629631
13/11/2016,0.189059097
14/11/2016,0.185221105
15/11/2016,0.187777406
16/11/2016,0.185221105
17/11/2016,0.183946465
18/11/2016,0.172577435
19/11/2016,0.168827717
20/11/2016,0.163858087
21/11/2016,0.160152853
22/11/2016,0.15279723
23/11/2016,0.144304571
24/11/2016,0.138294391
25/11/2016,0.131140909
