ISOTime,flow
01/01/2016,0.22766116
02/01/2016,0.19842248
03/01/2016,0.1855888
04/01/2016,0.17314276
05/01/2016,0.1571138
06/01/2016,0.1551534
07/01/2016,0.18139812
08/01/2016,0.20060062
09/01/2016,0.17314276
10/01/2016,0.2230291
11/01/2016,0.19842248
12/01/2016,0.16305163
13/01/2016,0.18348813
14/01/2016,0.18348813
15/01/2016,0.14740352
16/01/2016,0.1360429
17/01/2016,0.13791507
18/01/2016,0.16106282
19/01/2016,0.16505012
20/01/2016,0.14358222
21/01/2016,0.13232329
22/01/2016,0.13232329
23/01/2016,0.14548848
24/01/2016,0.1360429
25/01/2016,0.16505012
26/01/2016,0.13791507
27/01/2016,0.1360429
28/01/2016,0.1360429
29/01/2016,0.13791507
30/01/2016,0.18139812
31/01/2016,0.1571138
01/02/2016,0.14358222
02/02/2016,0.13979561
03/02/2016,0.13047565
04/02/2016,0.12135509
05/02/2016,0.1177599
06/02/2016,0.1177599
07/02/2016,0.1177599
08/02/2016,0.1195538
09/02/2016,0.1177599
10/02/2016,0.1177599
11/02/2016,0.1177599
12/02/2016,0.1177599
13/02/2016,0.1177599
14/02/2016,0.1177599
15/02/2016,0.11597328
16/02/2016,0.11597328
17/02/2016,0.11597328
18/02/2016,0.11597328
19/02/2016,0.11597328
20/02/2016,0.11597328
21/02/2016,0.11419383
22/02/2016,0.11419383
23/02/2016,0.11419383
24/02/2016,0.11419383
25/02/2016,0.11242146
26/02/2016,0.11242146
27/02/2016,0.11065607
28/02/2016,0.11242146
29/02/2016,0.11242146
01/03/2016,0.11065607
02/03/2016,0.11065607
03/03/2016,0.10714583
04/03/2016,0.10366231
05/03/2016,0.10540078
06/03/2016,0.10366231
07/03/2016,0.10366231
08/03/2016,0.10366231
09/03/2016,0.10020471
10/03/2016,0.09848538
11/03/2016,0.09848538
12/03/2016,0.09506516
13/03/2016,0.09336408
14/03/2016,0.09336408
15/03/2016,0.09336408
16/03/2016,0.09336408
17/03/2016,0.09336408
18/03/2016,0.09336408
19/03/2016,0.09848538
20/03/2016,0.09506516
21/03/2016,0.09336408
22/03/2016,0.08997946
23/03/2016,0.08997946
24/03/2016,0.09848538
25/03/2016,0.10366231
26/03/2016,0.20060062
27/03/2016,0.11065607
28/03/2016,0.08997946
29/03/2016,0.08661757
30/03/2016,0.08829572
31/03/2016,0.08661757
01/04/2016,0.08661757
02/04/2016,0.08661757
03/04/2016,0.08829572
04/04/2016,0.08829572
05/04/2016,0.08829572
06/04/2016,0.08661757
07/04/2016,0.08661757
08/04/2016,0.0849449
09/04/2016,0.15908357
10/04/2016,0.18770025
11/04/2016,0.10193032
12/04/2016,0.09848538
13/04/2016,0.08661757
14/04/2016,0.0849449
15/04/2016,0.08327761
