Zone1


Zone2
Scenario,Type,01/2008,02/2008,03/2008,04/2008,05/2008,06/2008,07/2008,08/2008,09/2008,10/2008,11/2008,12/2008,01/2009,02/2009,03/2009,04/2009,05/2009,06/2009,07/2009,08/2009,09/2009,10/2009,11/2009,12/2009,01/2010,02/2010,03/2010,04/2010,05/2010,06/2010,07/2010,08/2010,09/2010,10/2010,11/2010,12/2010,01/2011,02/2011,03/2011,04/2011,05/2011,06/2011,07/2011,08/2011,09/2011,10/2011,11/2011,12/2011,01/2012,02/2012,03/2012,04/2012,05/2012,06/2012,07/2012,08/2012,09/2012,10/2012,11/2012,12/2012,01/2013,02/2013,03/2013,04/2013,05/2013,06/2013,07/2013,08/2013,09/2013,10/2013,11/2013,12/2013,01/2014,02/2014,03/2014,04/2014,05/2014,06/2014,07/2014,08/2014,09/2014,10/2014,11/2014,12/2014,01/2015,02/2015,03/2015,04/2015,05/2015,06/2015,07/2015,08/2015,09/2015,10/2015,11/2015,12/2015,01/2016,02/2016,03/2016,04/2016,05/2016,06/2016,07/2016,08/2016,09/2016,10/2016,11/2016,12/2016,01/2017,02/2017,03/2017,04/2017,05/2017,06/2017,07/2017,08/2017,09/2017,10/2017,11/2017,12/2017,01/2018,02/2018,03/2018,04/2018,
Capped_44,Local,0.0686,7.8594,2.9023,30.3685,18.4591,402.1220,1942.2034,826.3605,212.4475,108.5317,67.3931,3.7902,0.1933,1.6167,2.8536,2.4264,15.4070,161.1268,1757.9098,1675.1796,1325.9395,55.1288,14.6777,0.3068,0.1033,0.0506,9.0307,4.7894,23.8869,12.2567,328.5943,181.8854,78.0695,3.9516,2.3798,4.3855,6.1022,0.0991,5.0813,5.3733,14.8596,33.6391,878.1976,1635.6027,810.3636,190.5015,118.7795,12.0454,9.0473,5.8558,0.0419,13.2826,10.3968,369.1021,98.1800,668.1822,466.3388,35.2098,22.4352,6.5102,1.8399,0.4279,20.4883,2.2504,27.9157,6.2928,90.6624,1003.4534,1734.6358,132.0131,2.1598,0.2971,0.1230,0.0216,1.4639,7.3343,38.4358,158.8808,784.5359,498.1212,725.5157,122.9302,8.3807,0.3260,1.1284,8.8160,5.5613,15.0119,16.1222,19.3753,104.1457,281.0012,259.7875,5.5323,3.6022,4.3341,7.5570,0.4315,11.7274,14.4180,38.6444,126.8346,945.0428,914.1226,420.7986,191.3538,2.7881,4.2612,15.9809,21.2170,5.6498,0.0149,18.8536,10.3823,293.8668,1825.4695,330.2427,80.8242,0.9902,9.0473,54.6698,0.1442,0.1775,5.0412,
Capped_44,Total,315.9701,382.1438,336.0286,16118.7105,4800.6487,10113.6162,217648.1485,209872.6337,16957.6835,12124.1785,5510.8116,937.9313,1132.4768,11535.3119,2539.0539,440.6243,806.0169,7177.7277,234563.6329,165555.9393,70510.1756,10570.8549,3715.0837,779.4769,313.5053,285.2381,3472.2248,4855.0794,1891.5159,4873.6218,17227.9226,8242.4243,3588.5259,1013.5201,416.3926,348.6772,301.0366,206.3794,236.1338,317.4450,574.4642,4367.0626,55521.0853,200319.6982,31002.1691,15262.2583,10927.6018,3445.9613,4056.5638,709.1983,280.9616,552.0072,575.6141,16378.6295,6601.1933,13102.6249,11940.9689,2508.1760,1457.1944,5326.2128,1261.2862,232.8232,843.3722,1085.9090,4693.7562,4223.9204,14927.2033,78560.0294,122066.3229,19901.9586,2222.2662,526.4175,270.0852,214.0385,277.7961,432.3280,12683.7868,24568.5521,81553.7828,41613.5648,31234.7197,8475.3671,2097.3987,692.5899,274.8082,429.9415,468.1040,599.1085,948.1555,1899.0233,4795.4059,60035.7350,12031.5997,2006.5447,853.6055,387.9946,796.4685,6392.0441,25422.2778,24851.0796,29155.7324,29846.9980,146384.4844,105677.2993,49279.9149,13628.2550,2458.5956,733.9304,560.4102,928706.6217,101103.0751,5208.3695,4859.2352,4732.4587,24016.6528,209392.1373,44373.8701,14358.9077,2645.6701,1182.7759,19847.4441,2961.3614,2477.4474,676.4783,
Dry_44,Local,0.0109,5.1664,3.9194,24.2016,21.8237,53.4198,489.2686,414.9131,55.4818,16.7474,9.9650,4.5970,0.0679,0.8965,3.5274,1.8093,18.8926,48.9075,439.9060,1097.5741,775.8456,27.1635,7.6115,0.0451,0.0135,0.0213,12.9743,3.6144,29.3772,15.8279,51.3108,26.1373,14.0994,3.3181,1.5589,5.6433,10.9679,0.0777,4.8517,4.0356,18.6417,41.8040,121.6060,954.9328,461.5788,45.2717,6.6281,15.7601,14.1382,4.2554,0.0196,10.2412,12.5823,68.4697,11.3404,232.9320,212.4737,6.0477,12.6068,8.4622,2.9466,0.3467,27.7404,1.6656,34.4885,8.6407,44.1195,263.1973,847.7959,47.8844,1.1664,0.2390,0.1035,0.0102,1.9465,5.7001,47.3252,36.5500,99.3554,225.2803,381.2337,32.2037,6.0492,0.2671,2.1346,6.8973,7.1042,11.6362,18.9916,25.7023,32.8291,33.7117,31.2620,4.2479,2.5505,5.5618,13.2280,0.2911,13.9616,10.8021,33.2538,27.4242,111.1491,451.0817,216.2988,29.9155,1.6462,5.3013,28.8088,15.6602,7.4355,0.0033,23.3832,13.8696,58.3771,833.9030,130.4400,11.9020,0.5865,11.5049,68.4266,0.0343,0.1560,3.8853,
Dry_44,Total,137.6803,243.5623,240.2248,661.7969,786.7654,1690.4642,11266.5081,6707.3337,1727.4188,1054.6879,576.2034,343.1335,1367.0909,249.9238,219.7890,222.7797,556.8380,3155.8401,12780.8764,19509.2759,12334.3230,1794.6088,557.3641,222.4838,145.2919,141.7557,719.6810,320.6374,889.9216,840.8563,2228.5433,1626.1382,938.1242,326.8153,219.0392,255.1148,256.2568,93.4064,124.3783,197.5792,594.7585,1318.9368,4186.6274,11590.6517,5845.8261,1539.4838,704.2234,1397.3647,291.6927,262.3026,124.3876,399.6248,514.0122,2970.5278,736.0180,2152.6579,2247.6283,344.9413,445.7744,361.5480,196.7278,61.3670,717.8198,224.9991,1128.7735,491.1384,2307.5851,9484.0644,24052.4386,3256.9261,332.4516,183.3187,123.4998,87.7980,152.3250,311.6781,1587.7049,2030.0733,3483.1965,3261.7285,3862.4676,786.1119,381.3340,189.7289,121.9066,250.6608,353.1032,436.7988,762.0368,880.9629,1406.6158,4339.9583,1265.1473,342.7113,228.4493,318.5968,1369.4491,121.6546,993.0132,1168.7074,1712.9487,1750.5088,4840.1306,8667.6392,5607.8864,1487.7061,318.5154,370.1363,5912.2975,57900.6423,1582.0536,296.3652,748.1715,727.6454,2262.5748,16241.2044,3857.2379,952.7569,265.8894,434.1353,3561.7974,199.7068,177.3218,297.4674,
Flow_Catch,Local,0.0686,12.9910,5.4709,58.9657,33.2481,463.3626,2188.4544,932.0986,240.6630,123.8068,82.1575,6.9147,0.1960,2.3188,4.9256,4.3562,28.8056,200.4874,1969.1293,1871.9444,1442.1517,59.9443,23.5271,0.3082,0.1033,0.0552,18.2301,8.7233,44.8420,22.7861,382.6658,205.4400,90.2116,6.9000,4.1066,7.9346,11.4392,0.1913,6.8665,9.7002,28.3359,61.5038,989.5376,1801.0054,886.4505,215.7183,133.3937,22.6564,14.9459,10.7311,0.0436,24.7013,19.0560,436.4992,111.6441,737.0124,517.0396,39.0081,37.4597,12.0450,3.1811,0.8486,38.9166,4.0641,52.4642,12.3402,124.4657,1106.6585,1923.3298,147.9019,3.2037,0.3963,0.1750,0.0221,2.6988,13.7027,72.6688,192.8150,868.6374,556.7608,791.2913,137.1191,15.4387,0.5004,2.2893,17.0626,9.8679,28.0551,29.1089,37.0533,131.0681,315.7432,286.5276,9.2770,6.5864,7.8048,13.7953,0.7385,19.6186,26.0274,63.0830,152.1645,1035.8811,1002.5843,459.8696,211.3756,4.4945,7.5907,30.1412,40.2335,10.3789,0.0149,35.4971,20.0739,350.0713,2023.2831,369.2513,91.8003,1.6274,16.2843,79.3081,0.1525,0.2347,9.3313,
Flow_Catch,Total,507.8418,726.0451,612.4404,17105.4146,5622.6365,11600.5184,237715.3606,218693.6430,18252.8021,13243.8688,6314.2414,1368.5265,1332.5928,11736.9656,2811.4795,746.5951,1416.9448,8578.6263,239013.4063,185361.6210,84927.7716,11492.5627,4540.7974,1113.9391,547.3124,501.9002,3871.4895,5281.4656,2867.2190,5691.5366,18931.3668,9351.6859,4463.4782,1432.8525,721.8628,636.9512,540.7417,342.3691,396.4825,579.2699,1183.0823,5541.6994,57343.6494,202305.8342,32846.1088,16380.1096,11630.0980,4184.9406,4351.2722,1125.3852,480.9176,1127.3327,1155.1046,18143.4567,7332.5919,14448.5106,13101.8886,2927.6241,2155.4510,5732.1363,1462.2083,337.7158,1527.2347,1374.4662,5667.3894,4686.1730,16277.3387,85249.8091,161304.4612,21068.6427,2597.7861,782.0908,457.5566,356.2049,482.8148,843.8341,14223.6104,26114.4322,83789.9893,44461.6549,35456.8332,9316.7438,2676.5673,988.5796,467.5986,849.1839,894.0513,1237.4406,1826.4383,2820.8494,6127.6813,61504.9811,13041.4199,2481.6788,1204.7527,682.2782,1141.7975,6547.1858,26124.8823,25592.6271,30294.8059,31064.6628,158139.5263,129309.6245,55004.7906,16201.6583,2908.9981,1093.5309,1202.7024,929991.8448,101588.3249,5551.9410,5662.9242,5482.5695,26019.3587,236283.5464,47799.9510,15352.1987,3035.9208,1699.3471,20976.9617,3195.3583,2732.5707,1070.0517,
