Zone1,Surface
Simulations,01/2015,02/2015,03/2015,04/2015,05/2015,06/2015,07/2015,08/2015,09/2015,10/2015,11/2015,12/2015,01/2016,02/2016,03/2016,04/2016,05/2016,06/2016,07/2016,08/2016,09/2016,10/2016,11/2016,12/2016,01/2017,02/2017,03/2017,04/2017,05/2017,06/2017,07/2017,08/2017,09/2017,10/2017,11/2017,12/2017,01/2018,02/2018,03/2018,04/2018,05/2018,
SCERM44_2015_2016_ALL,,,,0.3449,0.4410,0.6465,1.1955,1.8808,1.5789,1.4054,1.2633,1.1523,1.3166,3.5858,3.0308,5.3000,,,,,,,,,,,,,,,,,,,,,,,,,,
SCERM44_2015_2016_Capped_ALL,,,,0.2033,0.2612,0.5143,1.1028,1.8693,1.5461,1.3540,1.1584,1.0236,1.1710,3.5605,2.9100,5.2919,,,,,,,,,,,,,,,,,,,,,,,,,,
SCERM44_2015_2016_Dry_ALL,,,,0.3615,0.4300,0.4287,0.5588,0.6532,0.6379,0.6804,0.6793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCERM44_2015_2016_Target_ALL,,,,0.2575,0.3290,0.5327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCERM44_2017_2018_ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3356,2.0143,1.6357,1.2564,1.8000,1.5615,1.2307,1.2441,1.2602,1.2510,2.9455,2.7394,2.1755,,
SCERM44_2017_2018_Wet_ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5630,0.6245,0.5433,0.7463,,,,,,,,,,,
SCERM8_2015_2016_ALL,,,,0.7691,0.8301,0.6202,1.3201,1.9654,1.8561,1.5785,1.4324,1.4355,1.9834,3.7828,4.0005,5.3847,,,,,,,,,,,,,,,,,,,,,,,,,,
SCERM8_2017_2018_ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4038,2.1147,1.6885,1.3775,1.9414,1.7542,1.3959,1.3343,1.4067,1.5118,3.0714,2.8884,2.2933,,


Zone1,Bottom
Simulations,01/2015,02/2015,03/2015,04/2015,05/2015,06/2015,07/2015,08/2015,09/2015,10/2015,11/2015,12/2015,01/2016,02/2016,03/2016,04/2016,05/2016,06/2016,07/2016,08/2016,09/2016,10/2016,11/2016,12/2016,01/2017,02/2017,03/2017,04/2017,05/2017,06/2017,07/2017,08/2017,09/2017,10/2017,11/2017,12/2017,01/2018,02/2018,03/2018,04/2018,05/2018,
SCERM44_2015_2016_ALL,,,,0.3446,0.4407,0.6442,1.1839,1.8785,1.5700,1.3965,1.2545,1.1443,1.3086,3.5605,2.9995,5.2870,,,,,,,,,,,,,,,,,,,,,,,,,,
SCERM44_2015_2016_Capped_ALL,,,,0.2030,0.2610,0.5120,1.0915,1.8676,1.5377,1.3451,1.1497,1.0156,1.1631,3.5353,2.8788,5.2789,,,,,,,,,,,,,,,,,,,,,,,,,,
SCERM44_2015_2016_Dry_ALL,,,,0.3612,0.4299,0.4278,0.5524,0.6497,0.6315,0.6760,0.6747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCERM44_2015_2016_Target_ALL,,,,0.2573,0.3288,0.5304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCERM44_2017_2018_ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3234,2.0036,1.6270,1.2519,1.7965,1.5595,1.2278,1.2387,1.2549,1.2461,2.9008,2.7197,2.1552,,
SCERM44_2017_2018_Wet_ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5608,0.6226,0.5423,0.7446,,,,,,,,,,,
SCERM8_2015_2016_ALL,,,,0.7682,0.8293,0.6180,1.3077,1.9591,1.8436,1.5680,1.4222,1.4263,1.9737,3.7564,3.9705,5.3678,,,,,,,,,,,,,,,,,,,,,,,,,,
SCERM8_2017_2018_ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3909,2.1027,1.6790,1.3721,1.9317,1.7488,1.3928,1.3282,1.4000,1.5061,3.0263,2.8660,2.2722,,




Zone2,Surface
Simulations,01/2015,02/2015,03/2015,04/2015,05/2015,06/2015,07/2015,08/2015,09/2015,10/2015,11/2015,12/2015,01/2016,02/2016,03/2016,04/2016,05/2016,06/2016,07/2016,08/2016,09/2016,10/2016,11/2016,12/2016,01/2017,02/2017,03/2017,04/2017,05/2017,06/2017,07/2017,08/2017,09/2017,10/2017,11/2017,12/2017,01/2018,02/2018,03/2018,04/2018,05/2018,
SCERM44_2015_2016_ALL,,,,0.7020,0.7617,0.8654,1.2923,1.7333,1.3944,1.2234,0.9778,0.9320,1.3226,3.1122,2.3243,4.9703,,,,,,,,,,,,,,,,,,,,,,,,,,
SCERM44_2015_2016_Capped_ALL,,,,0.4845,0.4989,0.6348,1.1243,1.7109,1.3375,1.1283,0.7864,0.7286,1.0453,3.0494,2.1243,4.9564,,,,,,,,,,,,,,,,,,,,,,,,,,
SCERM44_2015_2016_Dry_ALL,,,,0.8407,0.8294,0.7341,0.7535,0.6872,0.6304,0.8400,0.8508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCERM44_2015_2016_Target_ALL,,,,0.5581,0.5892,0.6427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCERM44_2017_2018_ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0444,1.5747,1.2650,0.9994,1.7523,1.5698,1.2564,1.2635,1.2168,1.3784,2.4507,2.5495,1.6379,,
SCERM44_2017_2018_Wet_ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7012,0.8543,0.6529,0.7102,,,,,,,,,,,
SCERM8_2015_2016_ALL,,,,1.0648,1.1768,0.8619,1.5578,1.8615,1.8258,1.4833,1.2411,1.5271,2.2452,3.5106,3.8938,5.0426,,,,,,,,,,,,,,,,,,,,,,,,,,
SCERM8_2017_2018_ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1434,1.7220,1.2978,1.2259,2.0304,1.8831,1.5331,1.4078,1.4997,1.8349,2.6939,2.7745,1.9733,,


Zone2,Bottom
Simulations,01/2015,02/2015,03/2015,04/2015,05/2015,06/2015,07/2015,08/2015,09/2015,10/2015,11/2015,12/2015,01/2016,02/2016,03/2016,04/2016,05/2016,06/2016,07/2016,08/2016,09/2016,10/2016,11/2016,12/2016,01/2017,02/2017,03/2017,04/2017,05/2017,06/2017,07/2017,08/2017,09/2017,10/2017,11/2017,12/2017,01/2018,02/2018,03/2018,04/2018,05/2018,
SCERM44_2015_2016_ALL,,,,0.7503,0.7662,0.8329,1.2147,1.7299,1.3878,1.2214,0.9912,0.9384,1.3046,3.1102,2.3639,4.9591,,,,,,,,,,,,,,,,,,,,,,,,,,
SCERM44_2015_2016_Capped_ALL,,,,0.5594,0.5265,0.6220,1.0469,1.7075,1.3311,1.1268,0.8010,0.7349,1.0356,3.0493,2.1725,4.9452,,,,,,,,,,,,,,,,,,,,,,,,,,
SCERM44_2015_2016_Dry_ALL,,,,0.8660,0.8310,0.7290,0.7326,0.6969,0.6360,0.8232,0.8567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCERM44_2015_2016_Target_ALL,,,,0.6256,0.6110,0.6387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCERM44_2017_2018_ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0369,1.5845,1.2352,0.9992,1.7493,1.5671,1.2534,1.2611,1.2301,1.3851,2.4343,2.5329,1.6588,,
SCERM44_2017_2018_Wet_ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7107,0.9080,0.6824,0.7188,,,,,,,,,,,
SCERM8_2015_2016_ALL,,,,1.0626,1.1704,0.8545,1.4159,1.8578,1.8179,1.4787,1.2366,1.5242,2.2437,3.4959,3.8975,5.0294,,,,,,,,,,,,,,,,,,,,,,,,,,
SCERM8_2017_2018_ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1344,1.6401,1.1822,1.2202,2.0269,1.8798,1.5293,1.4048,1.4973,1.8361,2.6761,2.7569,1.9556,,




Zone3,Surface
Simulations,01/2015,02/2015,03/2015,04/2015,05/2015,06/2015,07/2015,08/2015,09/2015,10/2015,11/2015,12/2015,01/2016,02/2016,03/2016,04/2016,05/2016,06/2016,07/2016,08/2016,09/2016,10/2016,11/2016,12/2016,01/2017,02/2017,03/2017,04/2017,05/2017,06/2017,07/2017,08/2017,09/2017,10/2017,11/2017,12/2017,01/2018,02/2018,03/2018,04/2018,05/2018,
SCERM44_2015_2016_ALL,,,,0.9444,0.7863,0.7578,1.1320,1.7517,1.4508,1.1935,0.9671,1.0159,1.0372,2.0303,2.5723,5.5005,,,,,,,,,,,,,,,,,,,,,,,,,,
SCERM44_2015_2016_Capped_ALL,,,,0.8239,0.6557,0.5858,0.9518,1.6957,1.3085,1.1055,0.7880,0.8234,0.8460,1.9181,2.5004,5.4918,,,,,,,,,,,,,,,,,,,,,,,,,,
SCERM44_2015_2016_Dry_ALL,,,,1.0286,0.8381,0.6854,0.6715,0.8025,0.6243,0.6208,0.7632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCERM44_2015_2016_Target_ALL,,,,0.8952,0.7185,0.6550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCERM44_2017_2018_ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2582,1.5715,1.2306,1.0331,1.7482,1.5072,1.1757,1.1006,1.1273,0.9892,2.6965,2.1308,1.4590,,
SCERM44_2017_2018_Wet_ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9761,1.1043,0.6975,0.7317,,,,,,,,,,,
SCERM8_2015_2016_ALL,,,,1.0468,0.9131,0.8691,1.2675,1.8979,1.8604,1.4408,1.3438,1.4211,1.4940,2.5220,2.6315,5.5860,,,,,,,,,,,,,,,,,,,,,,,,,,
SCERM8_2017_2018_ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2602,1.3536,1.0340,1.2227,2.0192,1.8733,1.4683,1.2674,1.3045,1.4145,2.6193,2.1574,1.4714,,


Zone3,Bottom
Simulations,01/2015,02/2015,03/2015,04/2015,05/2015,06/2015,07/2015,08/2015,09/2015,10/2015,11/2015,12/2015,01/2016,02/2016,03/2016,04/2016,05/2016,06/2016,07/2016,08/2016,09/2016,10/2016,11/2016,12/2016,01/2017,02/2017,03/2017,04/2017,05/2017,06/2017,07/2017,08/2017,09/2017,10/2017,11/2017,12/2017,01/2018,02/2018,03/2018,04/2018,05/2018,
SCERM44_2015_2016_ALL,,,,0.9452,0.7316,0.6371,0.7562,1.7393,1.4490,1.1844,0.9571,1.0126,0.9661,1.8271,2.3422,5.1923,,,,,,,,,,,,,,,,,,,,,,,,,,
SCERM44_2015_2016_Capped_ALL,,,,0.8920,0.6427,0.5218,0.6196,1.6920,1.3342,1.0963,0.7890,0.8258,0.8039,1.7163,2.2665,5.1695,,,,,,,,,,,,,,,,,,,,,,,,,,
