Zone1,Surface
Simulations,01/2008,02/2008,03/2008,04/2008,05/2008,06/2008,07/2008,08/2008,09/2008,10/2008,11/2008,12/2008,01/2009,02/2009,03/2009,04/2009,05/2009,06/2009,07/2009,08/2009,09/2009,10/2009,11/2009,12/2009,01/2010,02/2010,03/2010,04/2010,05/2010,06/2010,07/2010,08/2010,09/2010,10/2010,11/2010,12/2010,01/2011,02/2011,03/2011,04/2011,05/2011,06/2011,07/2011,08/2011,09/2011,10/2011,11/2011,12/2011,01/2012,02/2012,03/2012,04/2012,05/2012,06/2012,07/2012,08/2012,09/2012,10/2012,11/2012,12/2012,01/2013,02/2013,03/2013,04/2013,05/2013,06/2013,07/2013,08/2013,09/2013,10/2013,11/2013,12/2013,01/2014,02/2014,03/2014,04/2014,05/2014,06/2014,07/2014,08/2014,09/2014,10/2014,11/2014,12/2014,01/2015,02/2015,03/2015,04/2015,05/2015,06/2015,07/2015,08/2015,09/2015,10/2015,11/2015,12/2015,01/2016,02/2016,03/2016,04/2016,05/2016,06/2016,07/2016,08/2016,09/2016,10/2016,11/2016,12/2016,01/2017,02/2017,03/2017,04/2017,05/2017,06/2017,07/2017,08/2017,09/2017,10/2017,11/2017,12/2017,01/2018,02/2018,03/2018,04/2018,
SCERM44_2015_2016_ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3854,1.2236,6.2109,35.6228,10.8473,24.0847,9.1466,10.0263,7.6917,11.6220,27.0530,43.2109,14.6763,,,,,,,,,,,,,,,,,,,,,,,,,
SCERM44_2015_2016_Capped_ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3721,1.1582,6.2083,35.6186,10.8472,24.0841,9.1442,10.0114,7.6746,11.6105,27.0527,43.2073,14.6763,,,,,,,,,,,,,,,,,,,,,,,,,
SCERM44_2015_2016_Dry_ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2481,1.0273,4.6198,25.2182,8.2746,17.5051,8.7432,10.6426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCERM44_2015_2016_Target_ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3841,1.2170,7.3939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCERM44_2017_2018_ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0461,4.9019,4.4995,3.2929,4.5983,1.0699,0.6833,4.0920,3.2813,3.6175,81.6972,19.9664,35.5651,
SCERM44_2017_2018_Wet_ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8956,4.7572,2.8393,2.3180,,,,,,,,,,
SCERM8_2015_2016_ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0211,26.0566,5.8679,33.0148,10.8763,24.1771,9.0077,9.7766,11.0779,33.6672,25.8860,28.7386,14.6290,,,,,,,,,,,,,,,,,,,,,,,,,
SCERM8_2017_2018_ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1958,5.0575,4.6713,3.3397,4.6041,1.0701,0.6803,3.9292,3.1087,6.9955,80.0540,23.6351,33.9259,


