Zone1


Zone2
Scenario,Type,01/2008,02/2008,03/2008,04/2008,05/2008,06/2008,07/2008,08/2008,09/2008,10/2008,11/2008,12/2008,01/2009,02/2009,03/2009,04/2009,05/2009,06/2009,07/2009,08/2009,09/2009,10/2009,11/2009,12/2009,01/2010,02/2010,03/2010,04/2010,05/2010,06/2010,07/2010,08/2010,09/2010,10/2010,11/2010,12/2010,01/2011,02/2011,03/2011,04/2011,05/2011,06/2011,07/2011,08/2011,09/2011,10/2011,11/2011,12/2011,01/2012,02/2012,03/2012,04/2012,05/2012,06/2012,07/2012,08/2012,09/2012,10/2012,11/2012,12/2012,01/2013,02/2013,03/2013,04/2013,05/2013,06/2013,07/2013,08/2013,09/2013,10/2013,11/2013,12/2013,01/2014,02/2014,03/2014,04/2014,05/2014,06/2014,07/2014,08/2014,09/2014,10/2014,11/2014,12/2014,01/2015,02/2015,03/2015,04/2015,05/2015,06/2015,07/2015,08/2015,09/2015,10/2015,11/2015,12/2015,01/2016,02/2016,03/2016,04/2016,05/2016,06/2016,07/2016,08/2016,09/2016,10/2016,11/2016,12/2016,01/2017,02/2017,03/2017,04/2017,05/2017,06/2017,07/2017,08/2017,09/2017,10/2017,11/2017,12/2017,01/2018,02/2018,03/2018,04/2018,
Capped_44,Local,0.0021,0.3335,0.1528,1.5434,0.8947,11.1757,49.8237,21.4417,6.0304,3.2053,2.2019,0.2009,0.0067,0.0618,0.1350,0.1219,0.7529,4.7670,44.7769,43.3375,34.5164,1.5940,0.6201,0.0075,0.0035,0.0017,0.4595,0.2486,1.1663,0.6138,9.3798,5.2835,2.3747,0.1991,0.1160,0.2210,0.3235,0.0068,0.1524,0.2756,0.7628,1.6170,22.7294,41.0178,21.0963,5.4806,3.3954,0.5964,0.3878,0.2817,0.0010,0.6625,0.5316,10.5641,3.0110,17.5377,12.5900,1.0665,1.0120,0.3381,0.0922,0.0260,0.9765,0.1187,1.4049,0.3604,3.1759,26.4336,45.4597,3.8850,0.0932,0.0137,0.0060,0.0005,0.0777,0.3689,1.8508,4.8008,21.0268,13.3626,19.3881,3.5129,0.4290,0.0161,0.0708,0.4586,0.2791,0.7631,0.7297,1.0001,3.3398,7.9249,7.0452,0.2651,0.1854,0.2163,0.3770,0.0221,0.4858,0.7170,1.6666,3.9617,24.5215,24.5400,11.5640,5.3486,0.1215,0.2003,0.7429,0.9688,0.2921,0.0001,0.9676,0.5239,8.5535,46.2065,9.1009,2.4753,0.0497,0.4396,2.1166,0.0045,0.0072,0.2632,
Capped_44,Upstream + Local,24.1328,32.5632,29.2852,448.8189,149.9725,287.7977,4264.8054,4959.1044,336.8452,263.2977,179.9504,52.4058,35.1813,158.4677,50.9226,35.1045,53.2379,178.9360,5564.2178,3541.2116,1436.0425,206.5892,104.5941,43.6219,29.7849,27.5881,114.4268,134.3278,81.6198,123.6126,344.2393,178.8349,112.2626,53.7041,35.0325,29.8121,23.2131,15.3097,17.2471,25.4480,49.7624,143.5372,1533.4184,5189.9688,670.4891,374.2511,904.7740,85.8790,55.8015,41.4417,24.8087,49.1273,53.3064,430.1904,138.9590,244.7127,229.8277,63.5309,60.9317,91.0343,25.7145,11.2489,51.6197,39.9591,152.2577,99.9164,364.4113,1343.0589,2340.0298,283.2628,64.8486,43.1350,22.9938,16.7469,22.8868,39.3386,385.5486,478.8566,1038.0598,843.6709,945.5573,216.1397,72.9693,37.2905,23.3617,37.7595,43.1180,53.8701,66.4251,86.9780,161.4685,1397.6499,324.8363,68.8153,41.2488,31.2680,37.8880,401.1932,957.6445,792.5261,658.4906,552.7635,3282.2754,2127.4162,830.4533,393.5853,76.3050,45.8693,44.8123,44138.4672,3310.1006,113.9265,121.7352,104.7658,495.5438,5327.2409,538.4019,239.6968,67.4939,54.2306,430.3767,54.2175,49.1601,43.2371,
Dry_44,Local,0.0001,1.1739,1.0459,6.4377,5.4097,13.5198,28.7660,12.9633,7.5666,2.6613,2.6275,1.2692,0.0025,0.1700,0.8264,0.4704,4.7719,11.6146,23.5950,42.1882,28.7935,1.2074,1.8761,0.0009,0.0001,0.0017,3.3282,0.9654,7.3338,4.0138,12.5815,6.0490,3.2923,0.8753,0.3970,1.4375,2.9347,0.0253,0.6578,1.0762,4.8514,10.3748,17.2498,36.9390,21.7601,4.6337,1.6891,4.0105,3.1407,1.0764,0.0005,2.6624,3.2846,16.8211,3.0283,17.4029,13.8943,0.6439,3.2572,2.2473,0.7323,0.1095,6.7163,0.4468,8.8535,2.4839,11.0790,24.0663,36.8428,3.4271,0.2464,0.0463,0.0322,0.0002,0.5252,1.5004,11.5508,8.7346,14.0614,16.5212,17.8888,2.6831,1.6093,0.0807,0.6968,1.8677,1.8133,3.0853,4.3874,6.7388,8.0770,8.5376,4.6086,1.0882,0.6919,1.4150,3.3066,0.0795,2.8664,2.7821,8.2988,6.8579,13.2091,26.1988,11.1428,2.9553,0.3819,1.2780,6.6240,3.7587,1.9482,0.0000,6.1283,3.5248,15.0400,37.2248,10.7316,1.9830,0.1647,2.8572,11.1062,0.0010,0.0244,1.0473,
Dry_44,Upstream + Local,3.6393,38.3231,36.9122,158.8004,166.8806,356.2642,734.3786,230.0695,219.4884,112.0688,84.3921,45.3621,35.6146,9.6023,30.4379,22.3633,114.8986,380.0472,712.6737,864.2028,559.9825,71.6798,74.4950,8.2941,3.9218,4.0641,68.1056,35.7650,199.1760,133.8564,364.3883,215.6535,129.7399,32.8410,19.5750,45.4698,55.6136,3.1925,11.3509,31.6303,135.9751,297.3355,481.0470,599.1717,378.5560,140.6989,65.7957,140.0332,41.5327,38.8820,3.2470,82.2081,94.2652,489.9525,101.8208,346.3370,274.4815,31.9702,97.2178,76.7841,30.6481,2.3700,177.3449,23.6465,245.6010,64.1911,352.3277,696.4393,1021.2726,148.3325,22.9893,8.4968,3.4003,1.7674,17.4672,45.3160,337.8008,284.5387,390.7793,376.9927,293.2772,80.9542,53.5102,6.9761,6.2897,51.4527,65.3728,86.7113,152.9238,177.1913,281.6975,342.1305,158.5225,39.2336,22.0550,44.8134,120.2889,3.8269,174.3281,113.0777,248.9140,240.6950,410.0825,595.7130,286.0856,112.2261,25.0135,42.1248,338.5349,1936.2046,85.8831,9.2976,152.9533,109.4924,439.0093,823.9383,334.9619,87.8103,12.7593,89.0998,305.7479,6.4765,7.8863,34.3815,
Flow_Catch,Local,0.0021,2.7775,1.4341,14.7787,8.0293,29.3033,79.0431,27.4167,14.2314,7.7858,8.0559,1.7744,0.0074,0.4119,1.1321,1.0842,7.0637,19.6311,66.8961,65.5122,49.4486,2.5048,4.6956,0.0076,0.0035,0.0045,4.5370,2.2396,10.8700,5.6457,26.1291,11.7565,6.3117,1.7238,0.9820,1.9830,3.0527,0.0611,0.8981,2.4817,7.1952,14.6322,45.0382,59.2231,35.2336,12.4898,7.4080,5.5351,3.2733,2.5509,0.0011,6.1168,4.8623,32.6477,7.1374,31.6807,24.2583,2.0683,8.0796,3.0959,0.7679,0.2602,9.1723,1.0490,13.1168,3.4919,17.3307,48.1827,70.6517,8.1806,0.6174,0.0702,0.0367,0.0005,0.7174,3.4366,17.1589,16.1880,39.2303,26.8883,31.3460,7.2389,3.9171,0.1166,0.7278,4.3896,2.4744,7.0958,6.5029,9.4800,13.7684,17.2168,12.5703,2.1613,1.6870,1.9448,3.4349,0.1930,3.9323,6.3975,12.6919,12.9278,41.4167,42.6249,19.1760,9.9481,0.9463,1.7611,6.8967,8.9350,2.6635,0.0001,9.0704,4.9631,28.2938,69.1232,18.9728,5.8990,0.4077,3.9415,11.8045,0.0052,0.0360,2.4179,
Flow_Catch,Upstream + Local,24.8140,107.7453,70.5147,772.5963,373.5321,766.5644,10500.1028,7567.2835,649.3431,497.2220,364.3124,112.1601,36.7098,168.3812,84.2279,71.3795,202.1818,622.4710,6875.5570,9520.0462,5820.9970,315.0107,263.4758,52.4095,30.4600,28.3423,185.5387,196.7420,348.0277,292.3758,824.4380,419.5997,279.5981,105.4621,69.0095,83.0425,74.1933,18.6264,28.9687,85.3135,225.9720,519.2267,2114.0245,5656.1262,1130.8948,615.0838,1041.6943,252.2593,93.0019,119.3194,25.5964,210.7690,177.5870,1051.7928,283.8984,633.1976,560.8865,117.6817,274.5269,187.7503,53.9430,14.8284,270.4527,79.5681,479.3168,178.6539,814.2469,3526.6296,14200.8605,530.3362,102.2630,50.8122,24.1613,16.8995,41.6121,123.0727,841.8901,849.9050,1617.8156,1609.5750,2183.1893,362.7825,185.5090,44.8207,27.4352,142.8652,121.5005,225.8010,272.0212,318.0965,539.3096,1745.1060,541.7284,136.4585,83.4046,82.9806,131.6517,404.6032,1168.6202,997.1776,982.8842,864.9642,6972.8112,9760.7894,2567.5650,1113.3486,125.0161,94.3763,225.0304,44440.5791,3390.1591,122.1725,328.8122,246.9583,1121.4807,13480.6070,1552.5707,423.4274,87.6640,165.6959,681.2845,57.4514,53.8307,102.7990,
