Zone1


Zone2
Scenario,Type,01/2008,02/2008,03/2008,04/2008,05/2008,06/2008,07/2008,08/2008,09/2008,10/2008,11/2008,12/2008,01/2009,02/2009,03/2009,04/2009,05/2009,06/2009,07/2009,08/2009,09/2009,10/2009,11/2009,12/2009,01/2010,02/2010,03/2010,04/2010,05/2010,06/2010,07/2010,08/2010,09/2010,10/2010,11/2010,12/2010,01/2011,02/2011,03/2011,04/2011,05/2011,06/2011,07/2011,08/2011,09/2011,10/2011,11/2011,12/2011,01/2012,02/2012,03/2012,04/2012,05/2012,06/2012,07/2012,08/2012,09/2012,10/2012,11/2012,12/2012,01/2013,02/2013,03/2013,04/2013,05/2013,06/2013,07/2013,08/2013,09/2013,10/2013,11/2013,12/2013,01/2014,02/2014,03/2014,04/2014,05/2014,06/2014,07/2014,08/2014,09/2014,10/2014,11/2014,12/2014,01/2015,02/2015,03/2015,04/2015,05/2015,06/2015,07/2015,08/2015,09/2015,10/2015,11/2015,12/2015,01/2016,02/2016,03/2016,04/2016,05/2016,06/2016,07/2016,08/2016,09/2016,10/2016,11/2016,12/2016,01/2017,02/2017,03/2017,04/2017,05/2017,06/2017,07/2017,08/2017,09/2017,10/2017,11/2017,12/2017,01/2018,02/2018,03/2018,04/2018,
Capped_44,Local,2.0045,57.8621,18.9562,175.4006,122.3942,771.7939,2748.1248,1233.2736,483.8314,279.9274,219.8275,27.2678,3.7498,17.0208,21.4963,17.2109,89.3635,414.0115,2430.0691,2466.7373,2128.1443,166.1731,99.7056,8.6832,2.4365,1.6243,45.6710,33.3936,138.8707,74.5718,673.9718,396.4032,199.2211,31.8038,19.4573,30.8880,38.8195,0.7171,43.2950,37.0915,84.8621,199.9382,1385.0266,2326.5274,1381.9766,450.3082,286.3210,77.6045,68.4461,37.9469,1.6502,81.2160,67.8413,784.0195,244.5120,1152.7142,859.5245,101.2867,130.4554,44.9539,15.2582,3.0672,114.6269,16.2173,165.6634,34.0157,292.1702,1589.7773,2604.3725,329.0890,23.4749,4.3114,1.7021,0.9677,10.3248,44.3837,224.7091,370.0339,1311.7421,876.1133,1235.3126,285.9494,55.5811,4.4237,6.8256,49.6541,40.6080,92.0938,99.4723,112.5360,293.1898,570.8880,488.1600,42.6211,25.3066,30.1968,49.5331,4.3200,82.5379,97.0358,187.3411,327.9139,1451.8570,1535.2675,813.5770,421.9603,27.0259,30.8362,90.2534,128.4336,38.2579,1.0022,115.1366,61.9229,640.6819,2511.3802,669.5914,232.6925,11.6294,60.9984,165.9658,3.0845,3.1536,32.7024,
Capped_44,Upstream + Local,325.0368,631.6963,452.7792,9301.2883,3679.6378,8665.9978,71633.5056,84528.4982,14621.2560,10295.9683,4794.9322,1102.3949,585.2045,3671.1706,1284.9149,501.8026,1082.9376,6567.8602,97878.0931,91558.7626,58631.9040,10911.8621,3953.1110,801.7747,328.3200,294.0883,1196.5968,1711.8346,1974.0240,3096.8438,12101.1322,8375.7283,4542.8342,1177.7357,518.5296,504.9821,447.9840,237.5222,302.6160,488.2118,1049.2848,3131.8790,24317.8589,79057.8144,24790.0003,12084.2064,7359.9754,2946.9485,2285.5651,813.6634,292.3344,965.2176,886.5245,10376.2339,5586.7450,11661.4426,10989.4493,2638.8202,1932.1978,2843.9078,860.0774,212.6131,1255.1328,772.9603,3001.1731,2453.4490,11239.2749,45995.4720,94908.1018,16950.5827,1934.4614,491.3136,286.8048,220.7174,337.9536,660.6490,6181.4707,14087.5546,50725.6301,28260.5587,26897.5987,7714.4746,1971.0173,644.5526,301.7520,718.8221,734.2704,1025.5248,1471.4093,2312.0208,4885.8941,34915.3459,9392.6563,1831.4208,864.5184,534.6000,829.6733,1626.0307,5423.5008,8624.0074,15948.6019,20334.6634,72059.4749,73385.9741,38457.7978,13600.7856,2055.8534,777.9802,1051.7818,249399.6653,30854.9347,2536.6435,3634.6320,4068.4723,20896.2374,117796.2134,33110.6486,12662.2310,2254.1242,1255.5907,8929.2758,1414.9555,1162.2701,738.5386,
Dry_44,Local,0.7603,25.1510,13.6858,78.1402,82.4602,167.4691,761.7974,569.9203,159.2179,55.2528,41.1696,14.7830,1.8317,7.2662,15.6643,7.6464,60.9811,185.3626,687.5626,1472.8003,1180.4141,74.5114,32.4778,1.9613,0.9245,0.7603,33.6528,14.8176,94.3834,52.8509,165.8275,87.5664,50.0947,15.2582,7.8883,22.3085,36.9965,0.3715,32.0803,16.4851,57.8275,140.6074,295.6176,1329.9811,767.3530,122.0400,30.5942,50.1898,62.3981,16.0704,0.8208,36.2966,46.0166,225.8410,40.4179,464.5642,404.4298,22.8528,46.8461,29.6957,13.1674,1.2442,84.4992,7.0934,112.4496,23.8896,141.2640,538.1683,1252.7827,117.3744,8.7869,2.1686,0.9418,0.5702,7.5427,19.9670,152.5046,111.9312,259.1482,409.5446,628.6723,82.9786,22.9133,1.6675,5.7370,21.7210,29.8598,41.1782,67.2278,79.7213,114.8947,122.9904,93.8822,19.6819,10.1434,21.5568,47.2090,1.8403,61.0589,43.2864,109.3306,94.3747,265.5072,755.0064,408.9226,86.6851,9.7114,20.8397,85.7174,54.5789,27.1123,0.2592,78.1834,43.9085,199.4630,1148.5152,291.8678,48.7642,3.7757,43.5024,149.3338,1.1318,2.0563,14.5411,
Dry_44,Upstream + Local,95.8003,262.9584,221.6160,721.6906,830.9002,1909.0339,10231.0646,6888.1968,2086.2490,1185.5894,610.3296,311.3078,790.6205,217.3824,199.2643,179.7725,552.1824,3063.3120,10842.6384,17098.3699,12382.5370,2071.1635,565.0646,166.7347,101.8397,96.2237,648.8986,271.4515,920.6525,828.6192,2384.8733,1801.1635,992.1830,275.0544,178.7098,254.4739,278.7005,74.4854,126.2909,191.1686,629.4758,1444.2883,4551.3965,10949.7830,6277.5216,1871.7264,791.9942,1791.2534,340.0704,270.1123,85.8038,401.7686,500.9299,3258.7747,771.9581,2588.9587,2623.3114,323.8963,497.5776,399.0730,212.5440,44.9971,811.7712,188.1878,1309.9018,489.7757,2675.4970,9869.3942,20971.4314,3847.2797,345.0643,148.5389,91.4198,62.0870,136.4602,302.4778,1779.4166,2087.1475,4111.9747,3634.0186,4418.1504,887.5008,365.1005,136.6848,97.8566,264.2803,394.8566,430.1338,766.3594,919.6589,1549.4285,4575.9341,1434.5597,303.7738,188.9222,350.7667,1365.6298,107.2829,1249.6637,1477.0944,1938.1334,2070.9216,5416.0013,9573.7594,6587.5075,1818.5472,300.5424,381.9312,3028.7952,24643.9066,1752.1056,260.2454,798.3619,739.3162,2759.0803,15079.6685,4612.5072,1098.9994,222.4195,456.8918,3051.8381,158.3021,126.5760,245.7821,
Flow_Catch,Local,2.0045,57.8621,18.9562,175.4006,122.3942,771.7939,2748.1248,1233.2736,483.8314,279.9274,219.8275,27.2678,3.7498,17.0208,21.4963,17.2109,89.3635,414.0115,2430.0691,2466.7373,2128.1443,166.1731,99.7056,8.6832,2.4365,1.6243,45.6710,33.3936,138.8707,74.5718,673.9718,396.4032,199.2211,31.8038,19.4573,30.8880,38.8195,0.7171,43.2950,37.0915,84.8621,199.9382,1385.0266,2326.5274,1381.9766,450.3082,286.3210,77.6045,68.4461,37.9469,1.6502,81.2160,67.8413,784.0195,244.5120,1152.7142,859.5245,101.2867,130.4554,44.9539,15.2582,3.0672,114.6269,16.2173,165.6634,34.0157,292.1702,1589.7773,2604.3725,329.0890,23.4749,4.3114,1.7021,0.9677,10.3248,44.3837,224.7091,370.0339,1311.7421,876.1133,1235.3126,285.9494,55.5811,4.4237,6.8256,49.6541,40.6080,92.0938,99.4723,112.5360,293.1898,570.8880,488.1600,42.6211,25.3066,30.1968,49.5331,4.3200,82.5379,97.0358,187.3411,327.9139,1451.8570,1535.2675,813.5770,421.9603,27.0259,30.8362,90.2534,128.4336,38.2579,1.0022,115.1366,61.9229,640.6819,2511.3802,669.5914,232.6925,11.6294,60.9984,165.9658,3.0845,3.1536,32.7024,
Flow_Catch,Upstream + Local,325.0368,631.6963,452.7792,9301.2883,3679.6378,8665.9978,71633.5056,84528.4982,14621.2560,10295.9683,4794.9322,1102.3949,585.2045,3671.1706,1284.9149,501.8026,1082.9376,6567.8602,97878.0931,91558.7626,58631.9040,10911.8621,3953.1110,801.7747,328.3200,294.0883,1196.5968,1711.8346,1974.0240,3096.8438,12101.1322,8375.7283,4542.8342,1177.7357,518.5296,504.9821,447.9840,237.5222,302.6160,488.2118,1049.2848,3131.8790,24317.8589,79057.8144,24790.0003,12084.2064,7359.9754,2946.9485,2285.5651,813.6634,292.3344,965.2176,886.5245,10376.2339,5586.7450,11661.4426,10989.4493,2638.8202,1932.1978,2843.9078,860.0774,212.6131,1255.1328,772.9603,3001.1731,2453.4490,11239.2749,45995.4720,94908.1018,16950.5827,1934.4614,491.3136,286.8048,220.7174,337.9536,660.6490,6181.4707,14087.5546,50725.6301,28260.5587,26897.5987,7714.4746,1971.0173,644.5526,301.7520,718.8221,734.2704,1025.5248,1471.4093,2312.0208,4885.8941,34915.3459,9392.6563,1831.4208,864.5184,534.6000,829.6733,1626.0307,5423.5008,8624.0074,15948.6019,20334.6634,72059.4749,73385.9741,38457.7978,13600.7856,2055.8534,777.9802,1051.7818,249399.6653,30854.9347,2536.6435,3634.6320,4068.4723,20896.2374,117796.2134,33110.6486,12662.2310,2254.1242,1255.5907,8929.2758,1414.9555,1162.2701,738.5386,
