Zone1,Surface
Simulations,01/2015,02/2015,03/2015,04/2015,05/2015,06/2015,07/2015,08/2015,09/2015,10/2015,11/2015,12/2015,01/2016,02/2016,03/2016,04/2016,05/2016,06/2016,07/2016,08/2016,09/2016,10/2016,11/2016,12/2016,01/2017,02/2017,03/2017,04/2017,05/2017,06/2017,07/2017,08/2017,09/2017,10/2017,11/2017,12/2017,01/2018,02/2018,03/2018,04/2018,05/2018,
SCERM44_2015_2016_ALL,,,,0.0908,0.0747,0.0612,0.0995,0.0512,0.0771,0.0498,0.0708,0.0881,0.0781,0.2325,0.2344,0.1944,,,,,,,,,,,,,,,,,,,,,,,,,,
SCERM44_2015_2016_Capped_ALL,,,,0.0326,0.0395,0.0317,0.0641,0.0477,0.0641,0.0410,0.0481,0.0500,0.0628,0.2288,0.2323,0.1939,,,,,,,,,,,,,,,,,,,,,,,,,,
SCERM44_2015_2016_Dry_ALL,,,,0.0881,0.0598,0.0672,0.1115,0.0410,0.0640,0.0659,0.0809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCERM44_2015_2016_Target_ALL,,,,0.0413,0.0489,0.0431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCERM44_2017_2018_ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0540,0.0522,0.0424,0.0471,0.0937,0.0280,0.0238,0.0316,0.0529,0.0666,0.1371,0.0563,0.0892,,
SCERM44_2017_2018_Wet_ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0382,0.0601,0.0346,0.0549,,,,,,,,,,,
SCERM8_2015_2016_ALL,,,,0.0954,0.0749,0.0153,0.0652,0.0532,0.0866,0.0539,0.0386,0.0422,0.0819,0.2385,0.3236,0.1971,,,,,,,,,,,,,,,,,,,,,,,,,,
SCERM8_2017_2018_ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0502,0.0390,0.0306,0.0311,0.0904,0.0490,0.0431,0.0377,0.0288,0.0374,0.1274,0.0549,0.0616,,


Zone1,Bottom
Simulations,01/2015,02/2015,03/2015,04/2015,05/2015,06/2015,07/2015,08/2015,09/2015,10/2015,11/2015,12/2015,01/2016,02/2016,03/2016,04/2016,05/2016,06/2016,07/2016,08/2016,09/2016,10/2016,11/2016,12/2016,01/2017,02/2017,03/2017,04/2017,05/2017,06/2017,07/2017,08/2017,09/2017,10/2017,11/2017,12/2017,01/2018,02/2018,03/2018,04/2018,05/2018,
SCERM44_2015_2016_ALL,,,,0.0905,0.0745,0.0608,0.0979,0.0509,0.0760,0.0491,0.0701,0.0875,0.0774,0.2305,0.2316,0.1937,,,,,,,,,,,,,,,,,,,,,,,,,,
SCERM44_2015_2016_Capped_ALL,,,,0.0325,0.0393,0.0315,0.0627,0.0475,0.0632,0.0404,0.0475,0.0495,0.0622,0.2268,0.2296,0.1932,,,,,,,,,,,,,,,,,,,,,,,,,,
