Depths,Sal,Temp,ones,zeroes,TSS,Oxy,Sil,Amm,Nit,FRP,DOC_T,POC_T,DON_T,PON_T,OP,CHLA,TN,TP
-0.2000,7.1998,23.3990,1.0000,0.0000,10.0000,188.4375,98.7544,9.7048,1.7429,0.5097,2083.3333,254.3333,67.3661,35.4720,1.0910,114.0000,114.2857,1.6516
-0.5000,7.2004,23.4030,1.0000,0.0000,10.0000,184.6875,97.4199,9.2619,1.7857,0.5000,2083.3333,254.3333,63.4152,39.8229,1.1113,150.0000,114.2857,1.6613
-1.0000,7.2010,23.3980,1.0000,0.0000,10.0000,181.2500,95.1957,8.5238,1.8571,0.4839,2083.3333,254.3333,56.8304,47.0744,1.1452,126.0000,114.2857,1.6774
-1.5000,7.2023,23.4070,1.0000,0.0000,10.0000,181.2500,92.9715,7.7857,1.9286,0.4677,2083.3333,254.3333,50.2455,54.3259,1.1790,102.0000,114.2857,1.6935
-2.0000,7.2029,23.4160,1.0000,0.0000,10.0000,181.8750,90.7473,7.0476,2.0000,0.4516,2083.3333,254.3333,43.6607,61.5774,1.2129,78.0000,114.2857,1.7097
-2.5000,7.2029,23.4160,1.0000,0.0000,10.0000,182.1875,88.5231,6.3095,2.0714,0.4355,2083.3333,254.3333,37.0759,68.8289,1.2468,114.0000,114.2857,1.7258
-3.0000,7.2029,23.4120,1.0000,0.0000,10.0000,181.5625,86.2989,5.5714,2.1429,0.4194,2083.3333,254.3333,30.4911,76.0804,1.2806,114.0000,114.2857,1.7419
-3.6000,7.2035,23.4050,1.0000,0.0000,10.0000,180.9375,92.5267,7.7857,1.9286,0.4677,2083.3333,254.3333,48.9286,55.6429,1.1790,114.0000,114.2857,1.6935
-4.0000,7.2035,23.3870,1.0000,0.0000,10.0000,178.7500,92.5267,7.7857,1.9286,0.4677,2083.3333,254.3333,48.9286,55.6429,1.1790,114.0000,114.2857,1.6935
-4.2000,7.2035,23.3790,1.0000,0.0000,10.0000,175.6250,92.5267,7.7857,1.9286,0.4677,2083.3333,254.3333,48.9286,55.6429,1.1790,114.0000,114.2857,1.6935
-4.5000,7.2029,23.3790,1.0000,0.0000,10.0000,175.0000,92.5267,7.7857,1.9286,0.4677,2083.3333,254.3333,48.9286,55.6429,1.1790,114.0000,114.2857,1.6935
