Depths,Sal,Temp,ones,zeroes,TSS,Oxy,Sil,Amm,Nit,FRP,DOC_T,POC_T,DON_T,PON_T,OP,CHLA,TN,TP
-0.2000,17.5921,22.1620,1.0000,0.0000,3.0000,223.4375,99.1049,4.7706,2.4199,0.8778,1333.3333,179.3333,69.9134,14.9740,1.4430,13.7200,92.0779,2.4086
-0.5000,17.5542,22.1650,1.0000,0.0000,3.0000,220.3125,98.2961,5.8193,2.9426,1.0332,1333.3333,179.3333,67.6407,14.5065,1.4011,13.3000,90.9091,2.5376
-1.0000,17.5725,22.1600,1.0000,0.0000,3.0000,219.6875,96.9481,7.5671,3.8139,1.2923,1333.3333,179.3333,63.8528,13.7273,1.3312,12.6000,88.9610,2.7527
-1.5000,17.6320,22.1450,1.0000,0.0000,3.0000,217.1875,95.6001,9.3149,4.6851,1.5513,1333.3333,179.3333,60.0649,12.9481,1.2613,11.9000,87.0130,2.9677
-2.0000,17.7546,22.1410,1.0000,0.0000,3.0000,215.0000,94.2521,11.0628,5.5563,1.8104,1333.3333,179.3333,56.2771,12.1688,1.1914,11.2000,85.0649,3.1828
-2.5000,17.9844,22.1500,1.0000,0.0000,3.0000,210.0000,92.9041,12.8106,6.4275,2.0694,1333.3333,179.3333,52.4892,11.3896,1.1215,10.5000,83.1169,3.3978
-3.0000,22.0658,22.7480,1.0000,0.0000,3.0000,107.1875,91.5561,14.5584,7.2987,2.3284,1333.3333,179.3333,48.7013,10.6104,1.0516,9.8000,81.1688,3.6129
-3.5000,29.6381,23.3290,1.0000,0.0000,3.0000,40.9375,90.2081,16.3063,8.1699,2.5875,1333.3333,179.3333,44.9134,9.8312,0.9817,9.1000,79.2208,3.8280
-4.0000,30.4675,23.3400,1.0000,0.0000,3.0000,29.6875,88.8601,18.0541,9.0411,2.8465,1333.3333,179.3333,41.1255,9.0519,0.9118,8.4000,77.2727,4.0430
-4.5000,31.2243,23.2210,1.0000,0.0000,3.0000,15.0000,87.5121,19.8019,9.9123,3.1056,1333.3333,179.3333,37.3377,8.2727,0.8419,7.7000,75.3247,4.2581
-5.0000,31.8113,23.0530,1.0000,0.0000,3.0000,5.6250,86.1641,21.5498,10.7835,3.3646,1333.3333,179.3333,33.5498,7.4935,0.7720,7.0000,73.3766,4.4731
-6.0000,32.3963,22.9610,1.0000,0.0000,3.0000,4.3750,83.4681,25.0455,12.5260,3.8827,1333.3333,179.3333,25.9740,5.9351,0.6323,10.5000,69.4805,4.9032
-6.6000,32.8007,22.9560,1.0000,0.0000,3.0000,3.7500,81.8505,27.1429,13.5714,4.1935,1333.3333,179.3333,21.4286,5.0000,0.5484,10.5000,67.1429,5.1613
-6.9000,32.8778,22.9600,1.0000,0.0000,3.0000,3.4375,90.7473,15.6071,7.8214,2.4839,1333.3333,179.3333,46.4286,10.1429,1.0097,10.5000,80.0000,3.7419
