Depths,Sal,Temp,ones,zeroes,TSS,Oxy,Sil,Amm,Nit,FRP,DOC_T,POC_T,DON_T,PON_T,OP,CHLA,TN,TP
-0.2000,7.2035,23.3770,1.0000,0.0000,10.0000,208.1250,71.1744,5.1968,3.0778,0.2552,2333.3333,279.3333,121.4286,6.3286,1.9702,25.9111,136.0317,2.2509
-0.5000,7.2060,23.3650,1.0000,0.0000,10.0000,192.8125,71.1744,5.0635,3.0873,0.2509,2333.3333,279.3333,121.4286,6.9286,1.9642,25.7778,136.5079,2.2401
-1.0000,7.2060,23.3650,1.0000,0.0000,10.0000,190.9375,71.1744,4.8413,3.1032,0.2437,2333.3333,279.3333,121.4286,7.9286,1.9541,25.5556,137.3016,2.2222
-1.5000,7.2060,23.3620,1.0000,0.0000,10.0000,190.0000,71.1744,4.6190,3.1190,0.2366,2333.3333,279.3333,121.4286,8.9286,1.9441,25.3333,138.0952,2.2043
-2.0000,7.2060,23.3630,1.0000,0.0000,10.0000,188.7500,71.1744,4.3968,3.1349,0.2294,2333.3333,279.3333,121.4286,9.9286,1.9341,25.1111,138.8889,2.1864
-2.5000,7.2060,23.3620,1.0000,0.0000,10.0000,187.8125,71.1744,4.1746,3.1508,0.2222,2333.3333,279.3333,121.4286,10.9286,1.9240,24.8889,139.6825,2.1685
-3.0000,7.2060,23.3640,1.0000,0.0000,10.0000,187.8125,71.1744,3.9524,3.1667,0.2151,2333.3333,279.3333,121.4286,11.9286,1.9140,24.6667,140.4762,2.1505
-3.5000,7.2054,23.3670,1.0000,0.0000,10.0000,188.4375,71.1744,3.7302,3.1825,0.2079,2333.3333,279.3333,121.4286,12.9286,1.9039,24.4444,141.2698,2.1326
-4.0000,7.2060,23.3640,1.0000,0.0000,10.0000,188.4375,71.1744,3.5079,3.1984,0.2007,2333.3333,279.3333,121.4286,13.9286,1.8939,24.2222,142.0635,2.1147
-4.5000,7.2060,23.3640,1.0000,0.0000,10.0000,188.4375,71.1744,3.2857,3.2143,0.1935,2333.3333,279.3333,121.4286,14.9286,1.8839,24.0000,142.8571,2.0968
-4.8000,7.2060,23.3640,1.0000,0.0000,10.0000,188.4375,71.1744,4.2857,3.1429,0.2258,2333.3333,279.3333,121.4286,10.4286,1.9290,25.0000,139.2857,2.1774
