Depths,Sal,Temp,ones,zeroes,TSS,Oxy,Sil,Amm,Nit,FRP,DOC_T,POC_T,DON_T,PON_T,OP,CHLA,TN,TP
-0.2000,17.1441,22.2010,1.0000,0.0000,3.0000,222.1875,95.5859,2.7719,2.6942,0.5088,1416.6667,187.6667,68.9850,17.6416,1.2870,12.7108,92.0927,1.8466
-0.5000,17.1515,22.2050,1.0000,0.0000,3.0000,221.2500,94.8367,2.7513,3.5213,0.5461,1416.6667,187.6667,67.4624,17.2112,1.2578,12.2769,90.9461,1.8585
-1.0000,17.1400,22.2000,1.0000,0.0000,3.0000,220.9375,93.5881,2.7168,4.8997,0.6084,1416.6667,187.6667,64.9248,16.4937,1.2091,11.5538,89.0351,1.8783
-1.5000,17.2656,22.1930,1.0000,0.0000,3.0000,218.4375,92.3394,2.6823,6.2782,0.6706,1416.6667,187.6667,62.3872,15.7763,1.1604,10.8308,87.1241,1.8981
-2.0000,19.6197,22.6610,1.0000,0.0000,3.0000,159.3750,91.0907,2.6479,7.6566,0.7329,1416.6667,187.6667,59.8496,15.0589,1.1118,10.1077,85.2130,1.9179
-2.5000,30.2997,23.6160,1.0000,0.0000,3.0000,128.4375,89.8420,2.6134,9.0351,0.7951,1416.6667,187.6667,57.3120,14.3415,1.0631,9.3846,83.3020,1.9377
-3.0000,31.4658,23.6760,1.0000,0.0000,3.0000,116.8750,88.5934,2.5789,10.4135,0.8574,1416.6667,187.6667,54.7744,13.6241,1.0144,8.6615,81.3910,1.9576
-3.5000,31.8830,23.6690,1.0000,0.0000,3.0000,109.6875,87.3447,2.5445,11.7920,0.9196,1416.6667,187.6667,52.2368,12.9066,0.9658,7.9385,79.4799,1.9774
-4.0000,32.1589,23.4820,1.0000,0.0000,3.0000,80.9375,86.0960,2.5100,13.1704,0.9819,1416.6667,187.6667,49.6992,12.1892,0.9171,7.2154,77.5689,1.9972
-4.5000,32.1926,23.2680,1.0000,0.0000,3.0000,40.0000,84.8473,2.4756,14.5489,1.0441,1416.6667,187.6667,47.1617,11.4718,0.8684,6.4923,75.6579,2.0170
-5.0000,32.4080,23.2370,1.0000,0.0000,3.0000,31.2500,83.5987,2.4411,15.9273,1.1064,1416.6667,187.6667,44.6241,10.7544,0.8198,5.7692,73.7469,2.0368
-6.0000,32.7588,23.2600,1.0000,0.0000,3.0000,35.9375,81.1013,2.3722,18.6842,1.2309,1416.6667,187.6667,39.5489,9.3195,0.7224,4.3231,69.9248,2.0764
-7.0000,33.0189,23.3480,1.0000,0.0000,3.0000,47.1875,78.6040,2.3033,21.4411,1.3554,1416.6667,187.6667,34.4737,7.8847,0.6251,8.3000,66.1028,2.1160
-8.1000,33.4230,23.2490,1.0000,0.0000,3.0000,23.1250,75.8569,2.2274,24.4737,1.4924,1416.6667,187.6667,28.8910,6.3064,0.5180,8.3000,61.8985,2.1596
-9.1000,33.5807,23.1950,1.0000,0.0000,3.0000,6.5625,73.3596,2.1585,27.2306,1.6169,1416.6667,187.6667,23.8158,4.8716,0.4207,8.3000,58.0764,2.1992
-10.0000,33.6655,23.1940,1.0000,0.0000,3.0000,4.6875,71.1119,2.0965,29.7118,1.7289,1416.6667,187.6667,19.2481,3.5802,0.3331,8.3000,54.6366,2.2349
-11.1000,33.8374,23.2000,1.0000,0.0000,3.0000,3.4375,68.3649,2.0207,32.7444,1.8659,1416.6667,187.6667,13.6654,2.0019,0.2260,8.3000,50.4323,2.2784
-11.4000,33.8552,23.2040,1.0000,0.0000,3.0000,3.4375,67.6157,2.0000,33.5714,1.9032,1416.6667,187.6667,12.1429,1.5714,0.1968,8.3000,49.2857,2.2903
-11.7000,33.8958,23.2240,1.0000,0.0000,3.0000,5.0000,81.8505,2.3929,17.8571,1.1935,1416.6667,187.6667,41.0714,9.7500,0.7516,8.3000,71.0714,2.0645
