Depths,Sal,Temp,ones,zeroes,TSS,Oxy,Sil,Amm,Nit,FRP,DOC_T,POC_T,DON_T,PON_T,OP,CHLA,TN,TP
-0.2000,6.5522,23.7170,1.0000,0.0000,19.0000,236.8750,15.8653,2.4983,1.1545,0.4876,2250.0000,271.0000,113.6213,25.9153,3.0870,87.7150,143.1894,3.6234
-0.5000,6.5454,23.7220,1.0000,0.0000,19.0000,237.8125,19.9123,3.6744,1.2791,0.5416,2250.0000,271.0000,112.6246,26.1096,3.1401,81.2875,143.6877,3.7359
-1.0000,6.5509,23.7140,1.0000,0.0000,19.0000,235.3125,26.6573,5.6346,1.4867,0.6317,2250.0000,271.0000,110.9635,26.4336,3.2287,70.5750,144.5183,3.9235
-1.5000,6.5552,23.6970,1.0000,0.0000,19.0000,233.1250,33.4023,7.5947,1.6944,0.7217,2250.0000,271.0000,109.3023,26.7575,3.3172,59.8625,145.3488,4.1110
-2.0000,6.5614,23.6650,1.0000,0.0000,19.0000,229.6875,40.1473,9.5548,1.9020,0.8117,2250.0000,271.0000,107.6412,27.0814,3.4057,49.1500,146.1794,4.2986
-2.4000,6.5632,23.6560,1.0000,0.0000,19.0000,229.6875,45.5433,11.1229,2.0681,0.8837,2250.0000,271.0000,106.3123,27.3405,3.4765,40.5800,146.8439,4.4486
-3.0000,6.5786,23.6260,1.0000,0.0000,19.0000,224.6875,53.6373,13.4751,2.3173,0.9917,2250.0000,271.0000,104.3189,27.7292,3.5827,27.7250,147.8405,4.6737
-3.5000,6.7143,23.5820,1.0000,0.0000,19.0000,204.3750,60.3824,15.4352,2.5249,1.0818,2250.0000,271.0000,102.6578,28.0532,3.6713,17.0125,148.6711,4.8612
-4.1000,8.7610,23.7330,1.0000,0.0000,19.0000,112.1875,68.4764,17.7874,2.7741,1.1898,2250.0000,271.0000,100.6645,28.4419,3.7775,49.1500,149.6678,5.0863
-4.3000,10.8711,24.0350,1.0000,0.0000,19.0000,25.3125,71.1744,18.5714,2.8571,1.2258,2250.0000,271.0000,100.0000,28.5714,3.8129,49.1500,150.0000,5.1613
-4.6000,10.8820,24.0270,1.0000,0.0000,19.0000,25.9375,42.1708,10.1429,1.9643,0.8387,2250.0000,271.0000,107.1429,27.1786,3.4323,49.1500,146.4286,4.3548
