Depths,Sal,Temp,ones,zeroes,TSS,Oxy,Sil,Amm,Nit,FRP,DOC_T,POC_T,DON_T,PON_T,OP,CHLA,TN,TP
-0.2000,17.2649,22.3160,1.0000,0.0000,2.0000,216.2500,88.0588,2.9323,1.7115,0.2907,1333.3333,179.3333,63.6221,16.5636,0.8964,4.7354,84.8295,1.2162
-0.5000,17.2244,22.3370,1.0000,0.0000,2.0000,216.5625,86.6950,2.9378,1.7074,0.2914,1333.3333,179.3333,62.6267,16.2304,0.8814,4.6385,83.5023,1.2019
-1.0000,17.2777,22.2920,1.0000,0.0000,2.0000,215.3125,84.4220,2.9470,1.7005,0.2924,1333.3333,179.3333,60.9677,15.6751,0.8563,4.4769,81.2903,1.1779
-1.5000,17.2744,22.2940,1.0000,0.0000,2.0000,215.0000,82.1490,2.9562,1.6935,0.2934,1333.3333,179.3333,59.3088,15.1198,0.8312,4.3154,79.0783,1.1540
-2.0000,18.0991,22.3160,1.0000,0.0000,2.0000,208.1250,79.8760,2.9654,1.6866,0.2945,1333.3333,179.3333,57.6498,14.5645,0.8061,4.1538,76.8664,1.1301
-2.5000,27.7937,23.0750,1.0000,0.0000,2.0000,190.3125,77.6030,2.9747,1.6797,0.2955,1333.3333,179.3333,55.9908,14.0092,0.7811,3.9923,74.6544,1.1061
-3.0000,29.3800,23.2870,1.0000,0.0000,2.0000,175.9375,75.3300,2.9839,1.6728,0.2966,1333.3333,179.3333,54.3318,13.4539,0.7560,3.8308,72.4424,1.0822
-3.5000,30.6848,23.5510,1.0000,0.0000,2.0000,159.6875,73.0571,2.9931,1.6659,0.2976,1333.3333,179.3333,52.6728,12.8986,0.7309,3.6692,70.2304,1.0583
-4.0000,31.8355,23.5870,1.0000,0.0000,2.0000,151.2500,70.7841,3.0023,1.6590,0.2986,1333.3333,179.3333,51.0138,12.3433,0.7058,3.5077,68.0184,1.0343
-4.5000,31.8852,23.5760,1.0000,0.0000,2.0000,153.1250,68.5111,3.0115,1.6521,0.2997,1333.3333,179.3333,49.3548,11.7880,0.6807,3.3462,65.8065,1.0104
-5.0000,32.3135,23.7200,1.0000,0.0000,2.0000,123.4375,66.2381,3.0207,1.6452,0.3007,1333.3333,179.3333,47.6959,11.2327,0.6557,3.1846,63.5945,0.9865
-6.0000,32.8161,23.4540,1.0000,0.0000,2.0000,168.1250,61.6921,3.0392,1.6313,0.3028,1333.3333,179.3333,44.3779,10.1221,0.6055,2.8615,59.1705,0.9386
-7.0000,33.1388,23.4290,1.0000,0.0000,2.0000,171.2500,57.1461,3.0576,1.6175,0.3049,1333.3333,179.3333,41.0599,9.0115,0.5554,3.7500,54.7465,0.8907
-8.0000,33.3516,23.4020,1.0000,0.0000,2.0000,172.8125,52.6002,3.0760,1.6037,0.3070,1333.3333,179.3333,37.7419,7.9009,0.5052,3.7500,50.3226,0.8429
-9.0000,33.6220,23.4220,1.0000,0.0000,2.0000,169.0625,48.0542,3.0945,1.5899,0.3091,1333.3333,179.3333,34.4240,6.7903,0.4550,3.7500,45.8986,0.7950
-10.0000,33.7880,23.3920,1.0000,0.0000,2.0000,173.1250,43.5082,3.1129,1.5760,0.3111,1333.3333,179.3333,31.1060,5.6797,0.4049,3.7500,41.4747,0.7471
-11.0000,33.9305,23.3530,1.0000,0.0000,2.0000,178.1250,38.9622,3.1313,1.5622,0.3132,1333.3333,179.3333,27.7880,4.5691,0.3547,3.7500,37.0507,0.6993
-12.0000,34.0272,23.2910,1.0000,0.0000,2.0000,186.8750,34.4163,3.1498,1.5484,0.3153,1333.3333,179.3333,24.4700,3.4585,0.3046,3.7500,32.6267,0.6514
-12.9000,34.0649,23.2620,1.0000,0.0000,2.0000,190.3125,30.3249,3.1664,1.5359,0.3172,1333.3333,179.3333,21.4839,2.4590,0.2594,3.7500,28.6452,0.6083
-14.0000,34.4014,23.2310,1.0000,0.0000,2.0000,191.8750,25.3243,3.1866,1.5207,0.3195,1333.3333,179.3333,17.8341,1.2373,0.2043,3.7500,23.7788,0.5557
-15.0000,34.5828,23.2270,1.0000,0.0000,2.0000,192.5000,20.7783,3.2051,1.5069,0.3215,1333.3333,179.3333,14.5161,0.1267,0.1541,3.7500,19.3548,0.5078
-15.5000,34.8058,23.2140,1.0000,0.0000,2.0000,190.9375,18.5053,3.2143,1.5000,0.3226,1333.3333,179.3333,12.8571,-0.4286,0.1290,3.7500,17.1429,0.4839
-15.8000,34.8266,23.2130,1.0000,0.0000,2.0000,190.6250,53.7367,3.0714,1.6071,0.3065,1333.3333,179.3333,38.5714,8.1786,0.5177,3.7500,51.4286,0.8548
