Depths,Sal,Temp,ones,zeroes,TSS,Oxy,Sil,Amm,Nit,FRP,DOC_T,POC_T,DON_T,PON_T,OP,CHLA,TN,TP
-0.2000,7.1441,23.6680,1.0000,0.0000,10.0000,195.0000,67.6157,3.4800,2.2486,0.1935,2250.0000,271.0000,114.2857,23.1286,2.1523,29.8400,143.1429,2.3652
-0.5000,7.1515,23.6400,1.0000,0.0000,10.0000,189.0625,67.6157,3.6643,2.3000,0.1935,2250.0000,271.0000,114.2857,23.3214,2.1677,29.6000,143.5714,2.3806
-1.0000,7.1590,23.6100,1.0000,0.0000,10.0000,185.0000,67.6157,3.9714,2.3857,0.1935,2250.0000,271.0000,114.2857,23.6429,2.1935,29.2000,144.2857,2.4065
-1.5000,7.1608,23.5910,1.0000,0.0000,10.0000,174.0625,67.6157,4.2786,2.4714,0.1935,2250.0000,271.0000,114.2857,23.9643,2.2194,28.8000,145.0000,2.4323
-2.0000,7.1620,23.5840,1.0000,0.0000,10.0000,171.2500,67.6157,4.5857,2.5571,0.1935,2250.0000,271.0000,114.2857,24.2857,2.2452,28.4000,145.7143,2.4581
-2.5000,7.1627,23.5850,1.0000,0.0000,10.0000,171.2500,67.6157,4.8929,2.6429,0.1935,2250.0000,271.0000,114.2857,24.6071,2.2710,28.0000,146.4286,2.4839
-3.0000,7.1664,23.5700,1.0000,0.0000,10.0000,168.7500,67.6157,5.2000,2.7286,0.1935,2250.0000,271.0000,114.2857,24.9286,2.2968,27.6000,147.1429,2.5097
-3.5000,7.1701,23.5490,1.0000,0.0000,10.0000,169.0625,67.6157,5.5071,2.8143,0.1935,2250.0000,271.0000,114.2857,25.2500,2.3226,27.2000,147.8571,2.5355
-4.0000,7.1695,23.5510,1.0000,0.0000,10.0000,170.0000,67.6157,5.8143,2.9000,0.1935,2250.0000,271.0000,114.2857,25.5714,2.3484,26.8000,148.5714,2.5613
-4.5000,7.1701,23.5470,1.0000,0.0000,10.0000,169.6875,67.6157,6.1214,2.9857,0.1935,2250.0000,271.0000,114.2857,25.8929,2.3742,26.4000,149.2857,2.5871
-5.0000,7.1707,23.5460,1.0000,0.0000,10.0000,168.4375,67.6157,6.4286,3.0714,0.1935,2250.0000,271.0000,114.2857,26.2143,2.4000,26.0000,150.0000,2.6129
-5.3000,7.1713,23.5460,1.0000,0.0000,10.0000,168.1250,67.6157,4.8929,2.6429,0.1935,2250.0000,271.0000,114.2857,24.6071,2.2710,28.0000,146.4286,2.4839
