Depths,Sal,Temp,ones,zeroes,TSS,Oxy,Sil,Amm,Nit,FRP,DOC_T,POC_T,DON_T,PON_T,OP,CHLA,TN,TP
-0.2000,7.1441,23.9700,1.0000,0.0000,6.0000,210.3125,58.7189,17.5000,0.8214,1.0645,1333.3333,179.3333,67.3661,-11.4018,1.0226,27.7333,74.2857,2.1935
-0.5000,7.1441,23.9910,1.0000,0.0000,6.0000,213.1250,58.7189,17.5000,0.8214,1.0645,1333.3333,179.3333,63.4152,0.0491,1.9419,25.8333,81.7857,3.1129
-1.0000,7.1441,23.9640,1.0000,0.0000,6.0000,211.8750,58.7189,17.5000,0.8214,1.0645,1333.3333,179.3333,56.8304,19.1339,3.4742,22.6667,94.2857,4.6452
-1.6000,7.1435,23.7410,1.0000,0.0000,6.0000,202.5000,58.7189,17.5000,0.8214,1.0645,1333.3333,179.3333,48.9286,42.0357,5.3129,18.8667,109.2857,6.4839
-2.0000,7.1478,23.6580,1.0000,0.0000,6.0000,189.3750,67.6157,15.7143,0.7857,1.0645,1333.3333,179.3333,43.6607,31.6250,3.1677,16.3333,91.7857,4.3387
-2.5000,7.1515,23.6400,1.0000,0.0000,6.0000,185.3125,53.3808,17.8571,0.8571,1.3871,1333.3333,179.3333,37.0759,35.9955,2.8129,13.1667,91.7857,4.3387
-3.0000,7.1515,23.6400,1.0000,0.0000,6.0000,183.4375,49.8221,19.2857,0.7143,0.5484,1333.3333,179.3333,30.4911,41.2946,3.7355,10.0000,91.7857,4.3387
-3.5000,7.1522,23.6390,1.0000,0.0000,6.0000,182.8125,58.7189,17.5000,0.8214,1.0645,1333.3333,179.3333,48.9286,24.5357,3.1677,19.5000,91.7857,4.3387
-3.6000,7.1522,23.6370,1.0000,0.0000,6.0000,182.5000,58.7189,17.5000,0.8214,1.0645,1333.3333,179.3333,48.9286,24.5357,3.1677,19.5000,91.7857,4.3387
-3.9000,7.1522,23.6370,1.0000,0.0000,6.0000,182.5000,58.7189,17.5000,0.8214,1.0645,1333.3333,179.3333,48.9286,24.5357,3.1677,19.5000,91.7857,4.3387
