Depths,Sal,Temp,ones,zeroes,TSS,Oxy,Sil,Amm,Nit,FRP,DOC_T,POC_T,DON_T,PON_T,OP,CHLA,TN,TP
-0.2000,7.1083,23.9940,1.0000,0.0000,11.0000,222.8125,60.4982,3.0886,1.9743,0.2258,2250.0000,271.0000,114.2857,23.5086,2.3581,41.2400,142.8571,2.6065
-0.5000,7.1144,24.0400,1.0000,0.0000,11.0000,224.3750,60.4982,3.3286,2.0429,0.2258,2250.0000,271.0000,114.2857,23.2000,2.3484,40.1000,142.8571,2.5968
-1.0000,7.1181,24.0440,1.0000,0.0000,11.0000,225.6250,60.4982,3.7286,2.1571,0.2258,2250.0000,271.0000,114.2857,22.6857,2.3323,38.2000,142.8571,2.5806
-1.5000,7.1200,23.9540,1.0000,0.0000,11.0000,222.1875,60.4982,4.1286,2.2714,0.2258,2250.0000,271.0000,114.2857,22.1714,2.3161,36.3000,142.8571,2.5645
-2.0000,7.1181,23.8430,1.0000,0.0000,11.0000,207.1875,60.4982,4.5286,2.3857,0.2258,2250.0000,271.0000,114.2857,21.6571,2.3000,34.4000,142.8571,2.5484
-2.5000,7.1268,23.7910,1.0000,0.0000,11.0000,200.3125,60.4982,4.9286,2.5000,0.2258,2250.0000,271.0000,114.2857,21.1429,2.2839,32.5000,142.8571,2.5323
-3.0000,7.1317,23.7820,1.0000,0.0000,11.0000,194.0625,60.4982,5.3286,2.6143,0.2258,2250.0000,271.0000,114.2857,20.6286,2.2677,30.6000,142.8571,2.5161
-3.5000,7.1410,23.7850,1.0000,0.0000,11.0000,192.1875,60.4982,5.7286,2.7286,0.2258,2250.0000,271.0000,114.2857,20.1143,2.2516,28.7000,142.8571,2.5000
-4.0000,7.1484,23.7790,1.0000,0.0000,11.0000,189.3750,60.4982,6.1286,2.8429,0.2258,2250.0000,271.0000,114.2857,19.6000,2.2355,26.8000,142.8571,2.4839
-4.5000,7.1491,23.7630,1.0000,0.0000,11.0000,187.8125,60.4982,6.5286,2.9571,0.2258,2250.0000,271.0000,114.2857,19.0857,2.2194,24.9000,142.8571,2.4677
-5.0000,7.1491,23.7420,1.0000,0.0000,11.0000,185.3125,60.4982,6.9286,3.0714,0.2258,2250.0000,271.0000,114.2857,18.5714,2.2032,23.0000,142.8571,2.4516
-5.3000,7.1478,23.7340,1.0000,0.0000,11.0000,182.8125,60.4982,4.9286,2.5000,0.2258,2250.0000,271.0000,114.2857,21.1429,2.2839,32.5000,142.8571,2.5323
