Sites: BLA,,Summer,Autumn,Winter,Spring
,,Ceratium furca (WQ_PHY_DINO) 59.63%,Skeletonema costatum (WQ_PHY_MDIAT) 65.50%,Cyclotella (WQ_PHY_MDIAT) 67.53%,Skeletonema costatum (WQ_PHY_MDIAT) 52.43%)
,,Cyclotella (WQ_PHY_MDIAT) 12.12%,Gyrodinium (>10um) (WQ_PHY_DINO) 4.73%,Skeletonema costatum (WQ_PHY_MDIAT) 28.55%,Cyclotella (WQ_PHY_MDIAT) 32.30%)
,,Coscinodiscus (WQ_PHY_MDIAT) 4.12%,Ceratium furca (WQ_PHY_DINO) 3.18%,Plagioselmis  (Other) 0.56%,GKC (WQ_PHY_DINO) 4.12%)
,,Prorocentrum micans (WQ_PHY_DINO) 2.97%,Chaetoceros curvateus (WQ_PHY_MDIAT) 3.17%,GKC (WQ_PHY_DINO) 0.53%,Polykrikos (WQ_PHY_DINO) 1.79%)
,,Prorocentrum dentatum (WQ_PHY_DINO) 2.39%,GKC (WQ_PHY_DINO) 3.01%,Cyclotella / Thalassiosira (WQ_PHY_MDIAT) 0.36%,Scrippsiella  trochoidea (WQ_PHY_DINO) 1.65%)
,,Katodinium (small) (WQ_PHY_DINO) 1.88%,passive chlorophyte (<3um) (WQ_PHY_GRN) 2.61%,Heterocapsa (>10um) (WQ_PHY_DINO) 0.31%,Cyclotella / Thalassiosira (WQ_PHY_MDIAT) 1.51%)
,,Thalassiosira (WQ_PHY_MDIAT) 1.86%,Protoperidium pentagonum (WQ_PHY_DINO) 2.59%,Gyrodinium (>10um) (WQ_PHY_DINO) 0.27%,Chaetoceros (chains ) (WQ_PHY_MDIAT) 1.15%)
,,Peridinium (WQ_PHY_DINO) 1.68%,Naviculoid (>10um) (WQ_PHY_FDIAT) 2.15%,Coscinodiscus (WQ_PHY_MDIAT) 0.24%,Gymnodinium (small) (WQ_PHY_DINO) 1.04%)
,,Naviculoid (>10um) (WQ_PHY_FDIAT) 1.60%,Peridinium (WQ_PHY_DINO) 1.74%,Teleaulax  (Other) 0.18%,Peridinium (WQ_PHY_DINO) 0.71%)
