,,passive chlorophyte (<3um) (WQ_PHY_GRN) 1.71%,Skeletonema costatum (WQ_PHY_MDIAT) 4.37%,Cyclotella (WQ_PHY_MDIAT) 14.73%,Scrippsiella  trochoidea (WQ_PHY_DINO) 4.90%)
,,Cylindrotheca  closterium  (WQ_PHY_MDIAT) 1.62%,GKC (WQ_PHY_DINO) 3.92%,Cyclotella / Thalassiosira (WQ_PHY_MDIAT) 7.49%,small cryptophytes  (Other) 3.70%)
,,Cyclotella / Thalassiosira (WQ_PHY_MDIAT) 1.39%,Plagioselmis  (Other) 3.17%,Cylindrotheca  closterium  (WQ_PHY_MDIAT) 1.50%,Heterocapsa (<10um) (WQ_PHY_DINO) 3.43%)
,,Scrippsiella  trochoidea (WQ_PHY_DINO) 0.84%,Cyclotella / Thalassiosira (WQ_PHY_MDIAT) 1.94%,Gymnodinium (Medium) (WQ_PHY_DINO) 1.43%,Cyclotella / Thalassiosira (WQ_PHY_MDIAT) 3.21%)
,,Gymnodinium (Medium) (WQ_PHY_DINO) 0.73%,others (Hetero/Gymno - shrunk) (WQ_PHY_DINO) 1.88%,Naviculoid (>10um) (WQ_PHY_FDIAT) 1.09%,others (Hetero/Gymno - shrunk) (WQ_PHY_DINO) 2.44%)
,,Thalassionema (WQ_PHY_MDIAT) 0.71%,Scrippsiella  trochoidea (WQ_PHY_DINO) 1.74%,Plagioselmis  (Other) 1.01%,Cyclotella (WQ_PHY_MDIAT) 2.34%)
,,Chaetoceros (single ) (WQ_PHY_MDIAT) 0.51%,Cylindrotheca  closterium  (WQ_PHY_MDIAT) 1.59%,Oscillatoria  (WQ_PHY_BGA) 0.97%,Plagioselmis  (Other) 1.86%)


Sites: STJ,,Summer,Autumn,Winter,Spring
,,Skeletonema costatum (WQ_PHY_MDIAT) 66.51%,Prorocentrum dentatum (WQ_PHY_DINO) 52.59%,Gymnodinium (small) (WQ_PHY_DINO) 42.41%,Skeletonema costatum (WQ_PHY_MDIAT) 47.98%)
,,Chlamydomonas  (WQ_PHY_GRN) 17.07%,Skeletonema costatum (WQ_PHY_MDIAT) 17.05%,small cryptophytes  (Other) 23.93%,Plagioselmis  (Other) 13.58%)
,,Gymnodinium (small) (WQ_PHY_DINO) 3.97%,Cyclotella / Thalassiosira (WQ_PHY_MDIAT) 6.57%,Cyclotella (WQ_PHY_MDIAT) 9.90%,Cyclotella (WQ_PHY_MDIAT) 11.17%)
,,Euglena (Other) 3.01%,Plagioselmis  (Other) 4.02%,Cyclotella / Thalassiosira (WQ_PHY_MDIAT) 7.61%,Gymnodinium (small) (WQ_PHY_DINO) 11.12%)
,,Thalassiosira (WQ_PHY_MDIAT) 1.75%,Gymnodinium (small) (WQ_PHY_DINO) 3.32%,Naviculoid (>10um) (WQ_PHY_FDIAT) 4.31%,Gymnodinium (Medium) (WQ_PHY_DINO) 2.78%)
,,Scrippsiella  trochoidea (WQ_PHY_DINO) 1.61%,Prorocentrum micans (WQ_PHY_DINO) 2.55%,Cylindrotheca  closterium  (WQ_PHY_MDIAT) 2.29%,Cryptomonas  (Other) 2.03%)
,,Peridinium (WQ_PHY_DINO) 0.62%,Gymnodinium (Medium) (WQ_PHY_DINO) 1.85%,Gymnodinium (Medium) (WQ_PHY_DINO) 2.16%,Entomoneis (WQ_PHY_MDIAT) 1.67%)
,,Gyrodinium (>10um) (WQ_PHY_DINO) 0.58%,Scrippsiella  trochoidea (WQ_PHY_DINO) 1.52%,Plagioselmis  (Other) 1.06%,Cyclotella / Thalassiosira (WQ_PHY_MDIAT) 1.27%)
,,Oscillatoria  (WQ_PHY_BGA) 0.58%,Teleaulax  (Other) 1.15%,Navicula sp. (<10um) (WQ_PHY_FDIAT) 0.98%,Pyramimonas  (WQ_PHY_GRN) 1.10%)
,,Naviculoid (>10um) (WQ_PHY_FDIAT) 0.57%,Euglena (Other) 1.01%,Skeletonema costatum (WQ_PHY_MDIAT) 0.87%,Chaetoceros (chains ) (WQ_PHY_MDIAT) 1.07%)


Sites: KIN,,Summer,Autumn,Winter,Spring
,,Chlamydomonas  (WQ_PHY_GRN) 90.75%,Cyclotella / Thalassiosira (WQ_PHY_MDIAT) 16.80%,Gymnodinium (small) (WQ_PHY_DINO) 38.09%,Gymnodinium (small) (WQ_PHY_DINO) 27.03%)
,,Euglena (Other) 2.88%,Gymnodinium (small) (WQ_PHY_DINO) 13.82%,small cryptophytes  (Other) 26.20%,Cryptomonas  (Other) 13.31%)
,,Scrippsiella  trochoidea (WQ_PHY_DINO) 1.91%,Plagioselmis  (Other) 12.69%,Cyclotella (WQ_PHY_MDIAT) 10.41%,small cryptophytes  (Other) 10.25%)
,,Gymnodinium (Medium) (WQ_PHY_DINO) 1.14%,Pyramimonas  (WQ_PHY_GRN) 10.91%,Cyclotella / Thalassiosira (WQ_PHY_MDIAT) 7.08%,Gymnodinium (Medium) (WQ_PHY_DINO) 9.86%)
,,Thalassiosira (WQ_PHY_MDIAT) 1.07%,Prorocentrum dentatum (WQ_PHY_DINO) 9.21%,Cylindrotheca  closterium  (WQ_PHY_MDIAT) 5.15%,Scrippsiella  trochoidea (WQ_PHY_DINO) 9.33%)
,,Skeletonema costatum (WQ_PHY_MDIAT) 0.94%,Euglena (Other) 4.33%,Plagioselmis  (Other) 4.67%,Naviculoid (>10um) (WQ_PHY_FDIAT) 6.18%)
,,Gymnodinium (small) (WQ_PHY_DINO) 0.28%,Akashiwo sanguineum (WQ_PHY_DINO) 3.99%,Naviculoid (>10um) (WQ_PHY_FDIAT) 3.16%,passive chlorophyte (<3um) (WQ_PHY_GRN) 5.98%)
,,Gyrodinium (>10um) (WQ_PHY_DINO) 0.13%,Gymnodinium (Medium) (WQ_PHY_DINO) 3.28%,Navicula sp. (<10um) (WQ_PHY_FDIAT) 1.33%,Pyramimonas  (WQ_PHY_GRN) 5.39%)
