BLA	15/12/2008	S	10.34	4.35	1.6
BLA	15/12/2008	B	8.64	NaN	0.8
BLA	29/12/2008	S	11.47	8.7	0.7
BLA	29/12/2008	B	11	NaN	0.6
BLA	12/01/2009	S	11.03	3.57	0.6
BLA	12/01/2009	B	10	NaN	0.7
BLA	27/01/2009	S	12.92	47.06	0.6
BLA	27/01/2009	B	7	NaN	0.5
BLA	09/02/2009	S	8.46	31.25	0.6
BLA	09/02/2009	B	9.05	NaN	0.7
BLA	02/03/2009	S	10	9.52	0.6
BLA	02/03/2009	B	10	NaN	0.7
BLA	09/03/2009	S	13.33	5.26	0.4
BLA	09/03/2009	B	11.25	NaN	0.8
BLA	23/03/2009	S	10	4.76	0.5
BLA	23/03/2009	B	8	NaN	1
BLA	06/04/2009	S	14.29	10.53	0.8
BLA	06/04/2009	B	10	NaN	0.7
BLA	20/04/2009	S	9.55	12.5	0.6
BLA	20/04/2009	B	8.26	NaN	0.8
BLA	04/05/2009	S	11.05	18.75	0.8
BLA	04/05/2009	B	15	NaN	0.7
BLA	18/05/2009	S	8.24	36.36	1.5
BLA	18/05/2009	B	8.4	NaN	1.7
BLA	02/06/2009	S	10	13.33	1
BLA	02/06/2009	B	9.13	NaN	1.3
BLA	15/06/2009	S	13.33	9.09	0.8
BLA	15/06/2009	B	12.27	NaN	0.9
BLA	30/06/2009	S	10.42	11.11	2.1
BLA	30/06/2009	B	12.86	NaN	2.6
BLA	13/07/2009	S	22.86	12.5	1.6
BLA	13/07/2009	B	12.4	NaN	2.2
BLA	27/07/2009	S	56.76	16	2.5
BLA	27/07/2009	B	33.91	NaN	1.8
BLA	10/08/2009	S	52	16.67	8.4
BLA	10/08/2009	B	20	NaN	9.6
BLA	24/08/2009	S	40.59	24.32	2.8
BLA	24/08/2009	B	10.45	NaN	2.7
BLA	07/09/2009	S	33.2	18.03	2.6
BLA	07/09/2009	B	13.75	NaN	3.5
BLA	21/09/2009	S	33.33	18.37	0.9
BLA	21/09/2009	B	12.35	NaN	2.9
BLA	05/10/2009	S	25.42	16	1.6
BLA	05/10/2009	B	10.53	NaN	2.2
BLA	19/10/2009	S	16	17.24	2.2
BLA	19/10/2009	B	7.22	NaN	2.6
BLA	02/11/2009	S	14.09	18.18	2.5
BLA	02/11/2009	B	8.42	NaN	3.5
BLA	16/11/2009	S	11.67	23.08	1.1
BLA	16/11/2009	B	6.96	NaN	0.9
BLA	30/11/2009	S	11.3	22.22	2.4
BLA	30/11/2009	B	5.79	NaN	3.2
BLA	14/12/2009	S	11.82	13.04	1.6
BLA	14/12/2009	B	11.43	NaN	1.6
ARM	15/12/2008	S	8.89	3.57	1
ARM	15/12/2008	B	5	NaN	1.6
ARM	29/12/2008	S	10	7.14	1
ARM	29/12/2008	B	9.17	NaN	0.4
ARM	12/01/2009	S	11	11.54	0.6
ARM	12/01/2009	B	10.37	NaN	0.7
ARM	27/01/2009	S	7.71	27.27	0.6
ARM	27/01/2009	B	7.5	NaN	0.5
ARM	09/02/2009	S	8	30	2.3
ARM	09/02/2009	B	7.86	NaN	0.6
ARM	02/03/2009	S	8.48	8	0.7
ARM	02/03/2009	B	10.71	NaN	0.6
ARM	09/03/2009	S	8.75	4.76	0.3
ARM	09/03/2009	B	8.33	NaN	0.7
ARM	23/03/2009	S	7.78	4	0.6
ARM	23/03/2009	B	7.63	NaN	0.5
ARM	06/04/2009	S	9.63	8.7	1
ARM	06/04/2009	B	10.38	NaN	0.7
ARM	20/04/2009	S	8.89	15	0.7
ARM	20/04/2009	B	6.77	NaN	0.6
ARM	04/05/2009	S	10.37	19.05	0.8
ARM	04/05/2009	B	10	NaN	0.7
ARM	18/05/2009	S	10	15	1.5
ARM	18/05/2009	B	10	NaN	1.2
ARM	02/06/2009	S	10.87	13.64	1.1
ARM	02/06/2009	B	8.8	NaN	1
ARM	15/06/2009	S	11.92	11.11	0.7
ARM	15/06/2009	B	11.54	NaN	1
ARM	30/06/2009	S	11.67	7.41	2
ARM	30/06/2009	B	10.8	NaN	2.5
ARM	13/07/2009	S	21.6	12.9	1.7
ARM	13/07/2009	B	11.29	NaN	2.2
ARM	27/07/2009	S	47.73	20.31	2.6
ARM	27/07/2009	B	33.33	NaN	1.6
ARM	10/08/2009	S	56	18.37	4.2
ARM	10/08/2009	B	12.26	NaN	8.9
ARM	24/08/2009	S	30.32	27.27	2.3
ARM	24/08/2009	B	9.14	NaN	4.1
ARM	07/09/2009	S	29.67	19.12	2.2
ARM	07/09/2009	B	12.65	NaN	3.4
ARM	21/09/2009	S	39.23	15.79	0.7
ARM	21/09/2009	B	9.71	NaN	2.9
ARM	05/10/2009	S	25.56	16.67	1.2
ARM	05/10/2009	B	8.48	NaN	1.6
ARM	19/10/2009	S	17.14	17.65	1.2
ARM	19/10/2009	B	8	NaN	2.1
ARM	02/11/2009	S	11.21	18.18	2.3
ARM	02/11/2009	B	6	NaN	2.8
ARM	16/11/2009	S	10.48	28.57	4.1
ARM	16/11/2009	B	5.14	NaN	2.6
ARM	30/11/2009	S	8.89	21.05	2.6
ARM	30/11/2009	B	6.18	NaN	2.1
ARM	14/12/2009	S	11.25	16.67	1.1
ARM	14/12/2009	B	8.85	NaN	1.6
NAR	15/12/2008	S	8.89	19.35	0.8
