STJ	02/06/2009	06	2009	Grab	B	4.300	4.8	NaN	51190	64.9	33650	33.65	15.88	7.63	NaN	0.32	0.014	0.35	0.37	0.024	0.044	0.021	1.8	NaN	NaN
STJ	08/06/2009	06	2009	Grab	S	0.517	NaN	2.5	46510	77.7	30240	30.24	15.75	7.61	0.0028	0.39	0.039	0.52	0.56	0.05	0.047	0.019	2	130	5
STJ	08/06/2009	06	2009	Grab	B	4.000	4.5	NaN	48490	46.5	31690	31.69	16.7	7.45	NaN	0.34	0.045	0.56	0.61	0.17	0.063	0.033	2.1	NaN	NaN
STJ	15/06/2009	06	2009	Grab	S	0.502	NaN	2	40850	67.9	26180	26.18	15.31	7.54	0.0033	0.44	0.081	0.73	0.81	0.12	0.049	0.017	2.3	130	7
STJ	15/06/2009	06	2009	Grab	B	4.000	4.5	NaN	48850	38.9	31950	31.95	16.46	7.55	NaN	0.32	0.052	0.6	0.65	0.11	0.057	0.028	1.9	NaN	NaN
STJ	22/06/2009	06	2009	Grab	S	0.501	NaN	2.2	40410	72.3	25870	25.87	15.01	7.38	0.0024	0.39	0.073	0.53	0.6	0.12	0.051	0.023	1.9	120	5
STJ	22/06/2009	06	2009	Grab	B	4.500	5	NaN	44910	63.6	29090	29.09	15.6	7.41	NaN	0.34	0.057	0.47	0.53	0.11	0.055	0.027	0.72	NaN	NaN
STJ	30/06/2009	06	2009	Grab	S	0.482	NaN	1.8	13990	79.8	8130	8.13	13.59	7.51	0.0021	0.5	0.25	0.72	0.97	0.11	0.036	0.011	3	85	10
STJ	30/06/2009	06	2009	Grab	B	4.500	5	NaN	44180	34.2	28550	28.55	15.1	7.37	NaN	0.27	0.11	0.55	0.66	0.18	0.06	0.032	1.9	NaN	NaN
STJ	06/07/2009	07	2009	Grab	S	0.500	NaN	1.2	17370	80.4	10200	10.2	13.98	7.64	0.0046	0.55	0.77	0.65	1.4	0.091	0.043	0.018	4.2	110	12
STJ	06/07/2009	07	2009	Grab	B	4.500	4.5	NaN	41600	55.8	26710	26.71	15.32	7.62	NaN	0.3	0.16	0.43	0.59	0.12	0.041	0.025	1.9	NaN	NaN
STJ	13/07/2009	07	2009	Grab	S	0.504	NaN	1.1	9415	77.8	5310	5.31	12.8	7.27	0.0028	0.77	0.97	0.93	1.9	0.061	0.046	0.01	4.3	74	13
STJ	13/07/2009	07	2009	Grab	B	4.500	5	NaN	39280	25.6	25070	25.07	15.32	7.24	NaN	0.4	0.29	0.64	0.94	0.2	0.069	0.029	2.5	NaN	NaN
STJ	20/07/2009	07	2009	Grab	S	0.510	NaN	0.3	7259	82.7	4040	4.04	13.52	7.59	0.0061	0.56	0.61	0.69	1.3	0.065	0.048	0.009	3.9	63	13
STJ	20/07/2009	07	2009	Grab	B	4.500	5	NaN	36270	9.4	22920	22.92	15.65	7.27	NaN	0.35	0.27	0.76	1	0.41	0.065	0.04	2.8	NaN	NaN
STJ	27/07/2009	07	2009	Grab	S	0.497	NaN	0.4	6878	88.3	3790	3.79	12.1	7.39	0.003	1	2.1	1.2	3.4	0.088	0.071	0.027	5.3	69	17
STJ	27/07/2009	07	2009	Grab	B	4.000	4.4	NaN	6950	89.6	3830	3.83	12.07	7.38	NaN	0.83	2.1	0.94	3.1	0.087	0.12	0.027	5.2	NaN	NaN
STJ	03/08/2009	08	2009	Grab	S	0.506	NaN	0.8	7912	90.1	4410	4.41	13.97	7.48	0.0053	0.79	1.5	1.1	2.6	0.042	0.037	0.011	4.6	80	15
STJ	03/08/2009	08	2009	Grab	B	4.000	4.5	NaN	8051	82.7	4490	4.49	12.59	7.42	NaN	0.75	1.6	0.91	2.5	0.06	0.038	0.012	4.6	NaN	NaN
STJ	10/08/2009	08	2009	Grab	S	0.520	NaN	1	8048	81.6	4490	4.49	15.42	7.53	0.0058	0.5	0.85	0.82	1.7	0.053	0.032	0.006	3.1	84	14
STJ	10/08/2009	08	2009	Grab	B	4.000	4.5	NaN	17270	47	10210	10.21	15.45	7.36	NaN	0.53	0.93	0.94	1.9	0.23	0.041	0.014	3.7	NaN	NaN
STJ	18/08/2009	08	2009	Grab	S	0.501	NaN	0.5	4881	83.4	2630	2.63	14.91	7.34	0.0011	0.4	0.42	0.48	0.9	0.065	0.068	0.029	3.2	65	16
STJ	18/08/2009	08	2009	Grab	B	4.500	5	NaN	4886	82.7	2630	2.63	14.8	7.31	NaN	0.49	0.41	0.57	0.98	0.069	0.069	0.031	3.2	NaN	NaN
STJ	24/08/2009	08	2009	Grab	S	0.513	NaN	0.5	5122	85.8	2770	2.77	15.18	7.51	0.0019	0.71	0.41	0.96	1.4	0.05	0.091	0.042	4.3	71	17
STJ	24/08/2009	08	2009	Grab	B	5.000	4.5	NaN	5129	84.8	2780	2.78	15.18	7.48	NaN	0.58	0.4	0.89	1.3	0.054	0.09	0.043	4.2	NaN	NaN
STJ	31/08/2009	08	2009	Grab	S	0.507	NaN	0.7	6921	83.4	3820	3.82	15.09	7.55	0.0005	0.69	0.34	0.82	1.2	0.078	0.058	0.025	3.5	90	16
STJ	31/08/2009	08	2009	Grab	B	4.200	4.7	NaN	6951	82.6	3840	3.84	14.35	7.56	NaN	0.66	0.34	0.85	1.2	0.074	0.056	0.025	3.4	NaN	NaN
STJ	07/09/2009	09	2009	Grab	S	0.500	NaN	0.7	6617	82	3640	3.64	15.61	7.68	0.0005	0.76	0.31	0.86	1.2	0.075	0.046	0.02	2.6	92	15
STJ	07/09/2009	09	2009	Grab	B	4.000	4.5	NaN	6866	78.7	3790	3.79	15.02	7.66	NaN	0.75	0.32	0.86	1.2	0.075	0.048	0.021	2.6	NaN	NaN
STJ	14/09/2009	09	2009	Grab	S	0.523	NaN	0.5	3647	83.3	1930	1.93	15.4	7.46	0.0011	0.75	0.26	0.93	1.2	0.055	0.091	0.03	3.3	54	17
STJ	14/09/2009	09	2009	Grab	B	4.500	5	NaN	3637	82.6	1930	1.93	15.39	7.37	NaN	0.73	0.26	0.92	1.2	0.057	0.091	0.035	3.3	NaN	NaN
STJ	21/09/2009	09	2009	Grab	S	0.544	NaN	0.5	5916	85.4	3230	3.23	15.85	7.54	0.0005	0.72	0.22	0.87	1.1	0.058	0.062	0.03	2.8	76	15
STJ	21/09/2009	09	2009	Grab	B	3.600	4.1	NaN	5916	84.8	3230	3.23	15.84	7.52	NaN	0.73	0.22	0.86	1.1	0.063	0.066	0.028	2.8	NaN	NaN
STJ	29/09/2009	09	2009	Grab	S	0.511	NaN	0.6	5955	83.4	3250	3.25	16.65	7.49	0.002	0.59	0.17	0.72	0.89	0.087	0.057	0.022	2.4	86	13
STJ	29/09/2009	09	2009	Grab	B	4.500	5	NaN	6821	80	3760	3.76	17.06	7.47	NaN	0.61	0.15	0.73	0.88	0.081	0.055	0.024	2.3	NaN	NaN
STJ	05/10/2009	10	2009	Grab	S	0.507	NaN	0.8	6306	NaN	3450	3.45	18.86	7.5	0.0048	0.7	0.13	0.82	0.96	0.07	0.051	0.019	2.1	93	13
STJ	05/10/2009	10	2009	Grab	B	3.800	4.3	NaN	6305	NaN	3460	3.46	17.52	7.41	NaN	0.7	0.14	0.86	1	0.074	0.056	0.022	2.2	NaN	NaN
STJ	12/10/2009	10	2009	Grab	S	0.485	NaN	1.2	6444	78.8	3530	3.53	19.27	NaN	0.0057	0.5	0.11	0.67	0.78	0.084	0.053	0.017	1.9	93	13
STJ	12/10/2009	10	2009	Grab	B	4.000	4.5	NaN	6494	76	3560	3.56	19.05	NaN	NaN	0.53	0.11	0.63	0.74	0.096	0.053	0.02	1.9	NaN	NaN
STJ	19/10/2009	10	2009	Grab	S	0.496	NaN	1	8287	74.8	4610	4.61	22.1	7.59	0.0044	0.51	0.11	0.77	0.88	0.11	0.053	0.017	2	100	13
STJ	19/10/2009	10	2009	Grab	B	4.000	4.4	NaN	28690	23.1	17740	17.74	20.73	7.41	NaN	0.36	0.011	0.55	0.56	0.086	0.054	0.023	2	NaN	NaN
STJ	26/10/2009	10	2009	Grab	S	0.438	NaN	0.8	12260	87	7030	7.03	21.8	7.74	0.0089	0.47	0.015	0.63	0.64	0.021	0.044	0.006	1.9	110	11
STJ	26/10/2009	10	2009	Grab	B	3.800	4.3	NaN	34230	61.1	21540	21.54	20.36	7.72	NaN	0.29	0.01	0.41	0.41	0.01	0.047	0.01	1.5	NaN	NaN
STJ	02/11/2009	11	2009	Grab	S	0.533	NaN	0.6	17340	83.9	10240	10.24	20.3	7.69	0.0052	0.53	0.016	0.64	0.66	0.05	0.039	0.005	1.9	110	10
STJ	02/11/2009	11	2009	Grab	B	3.500	4	NaN	31100	13.7	19380	19.38	20.88	7.25	NaN	0.4	0.014	0.83	0.84	0.27	0.077	0.009	1.9	NaN	NaN
STJ	09/11/2009	11	2009	Grab	S	0.536	NaN	1.1	20460	84.2	12230	12.23	23.41	7.69	0.0083	0.44	0.01	0.65	0.66	0.01	0.037	0.007	1.6	110	10
STJ	09/11/2009	11	2009	Grab	B	4.000	4.5	NaN	35870	17	22660	22.66	22.73	7.32	NaN	0.27	0.016	0.57	0.58	0.1	0.043	0.025	1.6	NaN	NaN
STJ	16/11/2009	11	2009	Grab	S	0.517	NaN	1	28550	83.8	17580	17.58	25.73	7.58	0.0058	0.4	0.022	0.72	0.74	0.061	0.075	0.019	2	120	9
STJ	16/11/2009	11	2009	Grab	B	4.500	5	NaN	36970	11.1	23380	23.38	25.23	7.26	NaN	0.3	0.02	0.71	0.73	0.32	0.072	0.035	2	NaN	NaN
STJ	23/11/2009	11	2009	Grab	S	0.503	NaN	1	14150	88.1	8180	8.18	25.31	7.66	0.033	0.59	0.01	1	1	0.015	0.081	0.01	2.9	120	11
STJ	23/11/2009	11	2009	Grab	B	3.600	4.1	NaN	31890	2.8	19900	19.9	22.63	7.17	NaN	0.46	0.01	0.7	0.7	0.097	0.09	0.04	2.5	NaN	NaN
STJ	30/11/2009	11	2009	Grab	S	0.524	NaN	0.7	23390	114.1	14130	14.13	25.97	7.98	0.015	0.33	0.01	0.78	0.79	0.024	0.099	0.019	2.4	120	10
STJ	30/11/2009	11	2009	Grab	B	4.300	4.6	NaN	35040	13	22060	22.06	23.82	7.32	NaN	0.43	0.01	0.57	0.58	0.013	0.11	0.037	2.4	NaN	NaN
STJ	07/12/2009	12	2009	Grab	S	0.511	NaN	0.9	24000	84.6	14520	14.52	26.69	7.7	0.017	0.55	0.01	0.83	0.84	0.024	0.097	0.031	2.8	120	10
STJ	07/12/2009	12	2009	Grab	B	3.000	3.5	NaN	35550	15.2	22360	22.36	26.95	7.33	NaN	0.42	0.01	0.59	0.59	0.046	0.12	0.054	2.6	NaN	NaN
STJ	14/12/2009	12	2009	Grab	S	0.466	NaN	1.1	28960	86.6	17830	17.83	27.15	7.86	0.011	0.55	0.01	0.82	0.83	0.01	0.1	0.025	2.8	120	9
STJ	14/12/2009	12	2009	Grab	B	4.000	4.5	NaN	40170	40.3	25620	25.62	26.23	7.55	NaN	0.39	0.01	0.66	0.67	0.01	0.15	0.034	2.3	NaN	NaN
STJ	21/12/2009	12	2009	Grab	S	0.526	NaN	1.1	30430	110.2	18790	18.79	28.86	7.87	0.011	0.49	0.01	0.81	0.82	0.01	0.1	0.03	2.6	120	10
STJ	21/12/2009	12	2009	Grab	B	4.000	4.5	NaN	42220	37	27060	27.06	26.8	7.47	NaN	0.37	0.01	0.6	0.6	0.01	0.12	0.039	2.2	NaN	NaN
STJ	29/12/2009	12	2009	Grab	S	0.514	NaN	0.5	35760	96.8	22480	22.48	27.98	7.74	0.027	0.42	0.01	0.86	0.86	0.01	0.14	0.027	2	120	8
STJ	29/12/2009	12	2009	Grab	B	3.500	NaN	NaN	41670	67.8	26640	26.64	27.74	7.67	NaN	0.37	0.01	0.63	0.63	0.01	0.12	0.026	1.9	NaN	NaN
MAY	15/12/2008	12	2008	Grab	S	0.589	NaN	1	23640	64.6	14280	14.28	26.73	7.35	0.016	0.52	0.01	0.96	0.96	0.062	0.092	0.018	2.3	110	18
MAY	15/12/2008	12	2008	Grab	B	2.900	3.4	NaN	27820	48.1	17060	17.06	26.61	7.28	NaN	0.59	0.01	0.72	0.73	0.011	0.085	0.012	2.4	NaN	NaN
MAY	22/12/2008	12	2008	Grab	S	0.515	NaN	1.1	21470	81.6	12880	12.88	24.76	7.7	0.0048	0.58	0.01	0.67	0.67	0.01	0.056	0.007	2.7	110	13
MAY	22/12/2008	12	2008	Grab	B	2.800	3.3	NaN	31830	36.9	19360	19.36	25.24	7.42	NaN	0.55	0.015	0.67	0.68	0.047	0.12	0.028	2.6	NaN	NaN
MAY	29/12/2008	12	2008	Grab	S	0.506	NaN	NaN	25040	89.9	15190	15.19	27.71	7.56	0.016	0.73	0.01	1	1	0.01	0.092	0.019	2.9	120	11
MAY	29/12/2008	12	2008	Grab	B	3.300	3.8	NaN	28270	53.1	17380	17.38	26.36	7.28	NaN	0.66	0.01	0.77	0.77	0.01	0.095	0.014	2.8	NaN	NaN
MAY	05/01/2009	01	2009	Grab	S	0.523	NaN	1.2	29930	91.7	18450	18.45	28.79	8.19	0.0045	0.63	0.01	0.67	0.67	0.01	0.066	0.025	3.2	120	13
MAY	05/01/2009	01	2009	Grab	B	2.900	2.900	NaN	37680	21.8	23810	23.81	28.57	7.78	NaN	0.5	0.01	0.63	0.63	0.012	0.11	0.043	NaN	NaN	NaN
MAY	12/01/2009	01	2009	Grab	S	0.501	NaN	1.2	32990	64.4	20530	20.53	29.18	7.3	0.0038	0.71	0.027	0.89	0.91	0.14	0.097	0.049	3.4	120	5
MAY	12/01/2009	01	2009	Grab	B	2.700	3.1	NaN	35330	50.2	22170	22.17	28.43	7.21	NaN	0.67	0.017	0.79	0.81	0.11	0.098	0.057	3.3	NaN	NaN
MAY	19/01/2009	01	2009	Grab	S	0.523	NaN	1.2	33520	68.2	20980	20.98	25.3	7.61	0.0025	0.54	0.014	0.72	0.74	0.048	0.076	0.031	3	120	12
MAY	19/01/2009	01	2009	Grab	B	2.400	2.8	NaN	37820	39.5	23970	23.97	25.81	7.38	NaN	0.47	0.015	0.75	0.77	0.16	0.096	0.051	2.9	NaN	NaN
MAY	27/01/2009	01	2009	Grab	S	0.515	NaN	1.2	36390	62.1	22920	22.92	27.91	7.53	0.0081	0.47	0.01	0.71	0.72	0.01	0.093	0.034	3	120	14
MAY	27/01/2009	01	2009	Grab	B	3.000	3.5	NaN	38350	40.1	24300	24.3	27.3	7.37	NaN	0.47	0.013	0.64	0.65	0.06	0.12	0.049	3.1	NaN	NaN
MAY	02/02/2009	02	2009	Grab	S	0.498	NaN	0.9	22090	105	13220	13.22	29.33	7.73	0.0092	0.55	0.01	0.8	0.81	0.01	0.06	0.007	5	140	11
MAY	02/02/2009	02	2009	Grab	B	2.500	3	NaN	44310	21.3	28550	28.55	27.32	7.2	NaN	0.43	0.01	0.65	0.65	0.13	0.13	0.061	3.3	NaN	NaN
MAY	09/02/2009	02	2009	Grab	S	0.510	NaN	0.5	23530	97.4	14230	14.23	24.82	7.86	0.03	0.99	0.012	1.6	1.6	0.01	0.15	0.008	1.6	140	21
MAY	09/02/2009	02	2009	Grab	B	2.500	3	NaN	26520	60.5	16230	16.23	24.56	7.58	NaN	0.96	0.017	1.2	1.2	0.064	0.11	0.013	1.4	NaN	NaN
MAY	16/02/2009	02	2009	Grab	S	0.505	NaN	0.2	34610	53.1	21740	21.74	25.4	8.01	0.04	0.65	0.01	1.1	1.1	0.01	0.15	0.036	2.5	130	14
MAY	16/02/2009	02	2009	Grab	B	3.200	3.7	NaN	43510	7.7	28030	28.03	24.98	7.44	NaN	0.43	0.01	0.58	0.59	0.08	0.13	0.077	2.2	NaN	NaN
MAY	23/02/2009	02	2009	Grab	S	0.494	NaN	NaN	36960	69.9	23390	23.39	24.33	7.57	0.0061	0.66	0.011	0.86	0.87	0.066	0.12	0.059	3.1	130	13
MAY	23/02/2009	02	2009	Insitu	B	2.500	3.2	NaN	37250	60.6	23600	23.6	24.27	7.52	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
MAY	02/03/2009	03	2009	Grab	S	0.486	NaN	1.1	38690	74.4	24640	24.64	22.36	7.58	0.005	0.7	0.01	0.74	0.75	0.021	0.11	0.051	2.8	130	10
MAY	02/03/2009	03	2009	Grab	B	2.700	3.2	NaN	42400	67.9	27260	27.26	23.45	7.59	NaN	0.61	0.01	0.67	0.67	0.017	0.11	0.059	2.5	NaN	NaN
MAY	09/03/2009	03	2009	Grab	S	0.503	NaN	1.3	37140	78.8	23530	23.53	23.62	7.56	0.0056	0.68	0.01	0.84	0.84	0.028	0.087	0.02	3.1	140	10
MAY	09/03/2009	03	2009	Grab	B	3.000	3.5	NaN	43450	55.6	28000	28	23.87	7.46	NaN	0.52	0.01	0.6	0.61	0.087	0.1	0.049	2.6	NaN	NaN
MAY	16/03/2009	03	2009	Grab	S	0.515	NaN	1.1	38190	96.2	24260	24.26	23.78	7.64	0.023	0.7	0.01	0.98	0.99	0.01	0.12	0.046	3.5	140	9
MAY	16/03/2009	03	2009	Grab	B	3.700	3.7	NaN	47060	59.4	30630	30.63	23.03	7.52	NaN	0.37	0.01	0.6	0.61	0.031	0.093	0.057	2.8	NaN	NaN
MAY	23/03/2009	03	2009	Grab	S	0.605	NaN	1.3	40140	79.3	25670	25.67	22.53	7.63	0.0084	0.62	0.01	0.79	0.79	0.01	0.095	0.043	3	140	7
MAY	23/03/2009	03	2009	Grab	B	3.000	3.5	NaN	45990	42	29850	29.85	23.1	7.49	NaN	0.5	0.01	0.68	0.68	0.041	0.12	0.072	3.1	NaN	NaN
MAY	30/03/2009	03	2009	Grab	S	0.558	NaN	0.5	44500	83.7	28770	28.77	23.29	7.58	0.007	0.52	0.013	0.8	0.81	0.056	0.13	0.084	2.8	140	6
MAY	30/03/2009	03	2009	Grab	B	3.200	3.7	NaN	44560	78.4	28810	28.81	23.19	7.54	NaN	0.59	0.014	0.73	0.74	0.068	0.12	0.085	2.8	NaN	NaN
MAY	06/04/2009	04	2009	Grab	S	0.504	NaN	1.6	42910	89.6	27660	27.66	20.73	7.66	0.0075	0.61	0.035	0.79	0.82	0.082	0.095	0.059	2.8	140	8
MAY	06/04/2009	04	2009	Grab	B	3.000	3.5	NaN	45210	78.6	29320	29.32	20.58	7.61	NaN	0.51	0.018	0.95	0.97	0.087	0.18	0.065	2.8	NaN	NaN
MAY	14/04/2009	04	2009	Grab	S	0.578	NaN	1.6	46500	68.3	30240	30.24	20.84	7.53	0.0056	0.53	0.013	0.67	0.68	0.071	0.085	0.052	2.5	130	7
MAY	14/04/2009	04	2009	Grab	B	3.500	3.8	NaN	48600	61	31770	31.77	21.14	7.52	NaN	0.45	0.011	0.57	0.58	0.11	0.086	0.05	2.3	NaN	NaN
MAY	20/04/2009	04	2009	Grab	S	0.503	NaN	1.8	46370	96.9	30130	30.13	22.36	7.62	0.013	0.44	0.027	0.61	0.63	0.014	0.085	0.043	2.3	130	8
MAY	20/04/2009	04	2009	Grab	B	3.100	3.6	NaN	50120	48.5	32880	32.88	21.42	7.44	NaN	0.34	0.035	0.54	0.58	0.13	0.077	0.06	2.3	NaN	NaN
MAY	27/04/2009	04	2009	Grab	S	0.507	NaN	2	47880	77	31240	31.24	21.31	7.57	0.0051	0.46	0.02	0.54	0.56	0.049	0.082	0.068	2.3	130	10
MAY	27/04/2009	04	2009	Grab	B	3.500	4	NaN	48180	68.6	31470	31.47	21.01	7.53	NaN	0.4	0.02	0.5	0.52	0.055	0.079	0.07	2.2	NaN	NaN
MAY	04/05/2009	05	2009	Grab	S	0.504	NaN	1.5	46300	87.4	30110	30.11	18.23	7.49	0.007	0.48	0.035	0.65	0.68	0.031	0.077	0.063	2.2	130	9
MAY	04/05/2009	05	2009	Grab	B	3.000	3.5	NaN	50220	59.1	32970	32.97	19.37	7.42	NaN	0.34	0.015	0.41	0.42	0.022	0.066	0.056	2.4	NaN	NaN
MAY	11/05/2009	05	2009	Grab	S	0.540	NaN	1.5	49870	86.8	32710	32.71	20.08	7.69	0.0013	0.38	0.014	0.43	0.44	0.01	0.061	0.039	2.2	130	7
MAY	11/05/2009	05	2009	Grab	B	3.500	4	NaN	50260	63.7	33000	33	19.24	7.57	NaN	0.39	0.015	0.45	0.46	0.011	0.07	0.043	2.2	NaN	NaN
MAY	18/05/2009	05	2009	Grab	S	0.500	NaN	2.5	50770	64.9	33360	33.36	17.3	7.49	0.0054	0.44	0.023	0.56	0.58	0.044	0.081	0.043	2.4	130	7
MAY	18/05/2009	05	2009	Grab	B	3.500	4	NaN	52310	43.6	34510	34.51	18.26	7.43	NaN	0.4	0.025	0.56	0.58	0.092	0.085	0.048	2.4	NaN	NaN
MAY	25/05/2009	05	2009	Grab	S	0.501	NaN	1.8	45030	72.6	29180	29.18	16.26	7.4	0.0056	0.48	0.049	0.68	0.73	0.1	0.076	0.04	2.5	130	6
MAY	25/05/2009	05	2009	Grab	B	3.500	4	NaN	48000	5.4	31330	31.33	16.64	7.35	NaN	0.42	0.043	0.58	0.62	0.12	0.075	0.046	2.5	NaN	NaN
MAY	02/06/2009	06	2009	Grab	S	0.517	NaN	1.3	40090	88.6	25650	25.65	16.07	7.57	0.025	0.55	0.086	0.73	0.82	0.077	0.062	0.014	2.7	130	7
MAY	02/06/2009	06	2009	Grab	B	3.500	4	NaN	50760	51.8	33340	33.34	15.92	7.55	NaN	0.32	0.023	0.38	0.4	0.05	0.046	0.023	1.9	NaN	NaN
MAY	08/06/2009	06	2009	Grab	S	0.501	NaN	2.3	45810	75.1	29740	29.74	16.15	7.53	NaN	0.4	0.046	0.54	0.59	0.07	0.052	0.026	2	130	5
MAY	08/06/2009	06	2009	Grab	B	3.300	3.8	NaN	47990	50.9	31320	31.32	16.74	7.43	NaN	0.41	0.041	0.53	0.57	0.11	0.052	0.029	2.1	NaN	NaN
MAY	15/06/2009	06	2009	Grab	S	0.513	NaN	2	36660	58	23220	23.22	14.63	7.37	0.0053	0.58	0.084	0.83	0.91	0.13	0.06	0.022	2.5	130	6
MAY	15/06/2009	06	2009	Grab	B	3.000	3.5	NaN	48540	34	31730	31.73	16.61	7.49	NaN	0.45	0.053	0.59	0.64	0.13	0.057	0.032	1.9	NaN	NaN
MAY	22/06/2009	06	2009	Grab	S	0.509	NaN	2	39160	76.9	24980	24.98	14.89	7.36	0.0028	0.39	0.079	0.57	0.65	0.11	0.054	0.023	1.9	120	5
MAY	22/06/2009	06	2009	Grab	B	3.500	4	NaN	44500	65.7	28790	28.79	15.7	7.39	NaN	0.34	0.058	0.46	0.52	0.12	0.053	0.028	1.8	NaN	NaN
MAY	30/06/2009	06	2009	Grab	S	0.515	NaN	1.2	11660	80	6680	6.68	13.79	7.48	0.0045	0.45	0.32	0.65	0.97	0.087	0.036	0.011	3.2	85	10
MAY	30/06/2009	06	2009	Grab	B	3.500	4	NaN	39600	51.2	25290	25.29	15.09	7.44	NaN	0.31	0.1	0.6	0.71	0.17	0.061	0.026	2	NaN	NaN
MAY	06/07/2009	07	2009	Grab	S	0.550	NaN	1.2	16770	78.8	9820	9.82	13.83	7.65	0.0027	0.46	0.81	0.57	1.4	0.085	0.04	0.017	4.2	110	13
MAY	06/07/2009	07	2009	Grab	B	4.000	4	NaN	40990	45.2	26280	26.28	15.33	7.51	NaN	0.28	0.15	0.47	0.62	0.19	0.048	0.029	2	NaN	NaN
MAY	13/07/2009	07	2009	Grab	S	0.505	NaN	0.7	9280	81.2	5230	5.23	13.09	7.3	0.0024	0.68	1.1	0.83	1.9	0.041	0.043	0.012	4.7	72	13
MAY	13/07/2009	07	2009	Grab	B	3.000	3.5	NaN	38190	24.3	24300	24.3	15.18	7.2	NaN	0.39	0.31	0.7	1	0.2	0.077	0.03	2.6	NaN	NaN
MAY	20/07/2009	07	2009	Grab	S	0.500	NaN	0.3	6411	83.1	3870	3.87	13.55	7.61	0.0078	0.65	0.7	0.77	1.5	0.042	0.064	0.016	3.8	58	13
MAY	20/07/2009	07	2009	Grab	B	3.800	4.3	NaN	6530	82.2	3620	3.62	13.58	7.48	NaN	0.66	0.66	0.79	1.4	0.054	0.066	0.014	3.9	NaN	NaN
MAY	27/07/2009	07	2009	Grab	S	0.508	NaN	0.4	7014	90.6	3870	3.87	12.13	7.41	0.0034	0.99	2.1	1.1	3.2	0.085	0.076	0.027	5.3	71	18
MAY	27/07/2009	07	2009	Grab	B	3.000	3.5	NaN	7011	90	3870	3.87	12.12	7.38	NaN	0.92	2.2	1.1	3.3	0.086	0.071	0.026	5.2	NaN	NaN
MAY	03/08/2009	08	2009	Grab	S	0.499	NaN	0.8	7912	87.5	4340	4.34	13.33	7.47	0.0071	0.95	1.5	1.1	2.6	0.058	0.034	0.011	4.7	80	15
MAY	03/08/2009	08	2009	Grab	B	3.000	3.5	NaN	8122	82.3	4530	4.53	12.52	7.44	NaN	0.75	1.5	0.84	2.4	0.052	0.034	0.01	4.5	NaN	NaN
MAY	10/08/2009	08	2009	Grab	S	0.504	NaN	1	7794	84.2	2970	2.97	15.36	7.52	0.005	0.67	0.84	0.75	1.6	0.062	0.027	0.007	3	81	14
MAY	10/08/2009	08	2009	Grab	B	3.500	4	NaN	15760	43.3	2970	2.97	15.21	7.3	NaN	0.6	0.98	0.94	1.9	0.26	0.039	0.014	3.9	NaN	NaN
MAY	18/08/2009	08	2009	Grab	S	0.492	NaN	0.5	5460	84.6	2730	2.73	15.07	7.35	0.001	0.41	0.39	0.55	0.94	0.061	0.062	0.029	3.2	67	16
MAY	18/08/2009	08	2009	Grab	B	3.800	4.2	NaN	5473	83	2970	2.97	14.66	7.34	NaN	0.49	0.39	0.58	0.97	0.06	0.064	0.029	3.2	NaN	NaN
MAY	24/08/2009	08	2009	Grab	S	0.512	NaN	0.5	5041	86.4	2730	2.73	15.27	7.51	0.0021	0.66	0.39	0.85	1.2	0.051	0.092	0.044	4.2	70	18
MAY	24/08/2009	08	2009	Grab	B	3.500	4	NaN	5048	85.9	3830	3.83	15.25	7.47	NaN	0.67	0.39	0.96	1.3	0.055	0.098	0.046	4.3	NaN	NaN
MAY	31/08/2009	08	2009	Grab	S	0.496	NaN	0.7	6932	86.9	3850	3.85	14.92	7.57	0.0005	0.6	0.33	0.84	1.2	0.075	0.05	0.017	3.4	88	16
MAY	31/08/2009	08	2009	Grab	B	3.200	3.7	NaN	6965	85.5	3750	3.75	14.4	7.57	NaN	0.67	0.34	0.86	1.2	0.073	0.052	0.021	3.4	NaN	NaN
MAY	07/09/2009	09	2009	Grab	S	0.506	NaN	0.6	6804	83	3780	3.78	15.16	7.69	0.0005	0.74	0.3	0.82	1.1	0.066	0.04	0.019	2.6	89	14
MAY	07/09/2009	09	2009	Grab	B	3.000	3.5	NaN	6847	81.5	1890	1.89	15.01	7.67	NaN	0.78	0.31	0.88	1.2	0.07	0.042	0.02	2.5	NaN	NaN
MAY	14/09/2009	09	2009	Grab	S	0.509	NaN	0.4	3573	84.2	1890	1.89	15.29	7.38	0.0011	0.81	0.25	0.95	1.2	0.047	0.097	0.039	3.4	52	18
MAY	14/09/2009	09	2009	Grab	B	3.500	4	NaN	3576	83.5	3160	3.16	15.27	7.35	NaN	0.79	0.25	0.95	1.2	0.045	0.098	0.041	NaN	NaN	NaN
MAY	21/09/2009	09	2009	Grab	S	0.499	NaN	0.5	5788	86.6	3160	3.16	16.02	7.53	0.0005	0.74	0.21	0.86	1.1	0.054	0.062	0.028	2.7	75	15
MAY	21/09/2009	09	2009	Grab	B	3.200	3.7	NaN	5812	85.9	3170	3.17	15.75	7.52	NaN	0.73	0.21	0.86	1.1	0.056	0.064	0.028	2.7	NaN	NaN
