BLA	34.58	21.64	20.03	24.68
ARM	38.52	30.89	22.50	27.67
NAR	84.10	57.67	25.48	46.29
STJ	123.41	103.87	31.55	63.47
KIN 	83.55	79.06	30.65	50.30
SUC	72.62	70.17	27.86	45.77
