Site 
Collect Date
Month
Year
 Depth 
Depth (m)
Secchi depth (m)
Conductivity
O - DO (%)
Salinity (ppt)
Temperature (degC)
pH 
Chl a (mg/L)
DON (mg/L)
NO3 (mg/L)
N {TKN} (mg/L)
TN (mg/L)
NH3-N/NH4-N (mg/L)
TP  (mg/L)
PO4 (mg/L)
SiO2 (mg/L)
Alk(mg/L)
DOC(mg/L)
Nutrients limitation 
SYNE
HL- Synechococcus (cells/mL)
LL- Synechococcus (cells/mL)
Pico-total 
Nanoplankton-FCM (cells/mL)
log FCM 
Nanplankton-Microscopy (cells/mL)
log microscopy
Bacteria 
VLPs
VLP-1 (cells/mL)
VLP-2  (cells/mL)
Diatoms 
Dinoglagellates
Chlorophytes
Cryptophytes
Chrysophytes
Euglenophytes
Dicthoyophytes
Raphidophytes 
Haptophytes
Blue-green algae
Asterionellopsis glacialis
Ankistrodesmus 
Bacteristrum
Chaetoceros (single )
Chaetoceros (chains )
Chaetoceros curvateus
Chaetoceros radians
Coscinodiscus
Cyclotella
Cyclotella / Thalassiosira
Cylindrotheca  closterium 
Dactyliosolen
Guinardia 
Lioloma
Leptocylindricus
Melosira
Odontella 
Pseudonitzschia
Skeletonema costatum
Rhizosolenia
Thalassionema
Thalassiosira
Triceratium 
Amphora
Bacillaria paxilifera
Cocconeis 
Fragilaria
Gyrosigma
Entomoneis
Navicula sp. (<10um)
Naviculoid (>10um)
Nitzschia
Pleurosigma
Pseusonitzschia
pennate diatom
Synedra
Akashiwo sanguineum
Alexandrium
Ceratium furca
Dinophysis acuminata
Dinophysis caudata
Dinophysis norvegica
Ensiculifera
GKC
Gonyaulax
Gymnodinium (small)
Gymnodinium (Medium)
Gyrodinium (<10um)
Gyrodinium (>10um)
Heterocapsa (<10um)
Heterocapsa (>10um)
Karlodinium
Katodinium (small)
Katodinium (medium)
Oxyrrhis marina
Peridinium
Phalacroma
Polykrikos
Prorocentrum cordatum
Prorocentrum dentatum
Prorocentrum micans
Prorocentrum sigmoides
Prorocentrum triestinum
Protoperidinium bipes
Protoperidinium globulum
Protoperidium (big star shaped)
Scrippsiella
others (Hetero/Gymno - shrunk)
Carteria 
Chlamydomonas 
Oltmannsiella
Pyramimonas 
Pyramimonas longicauda
Scenedesmus
Tetraselmis
prasinophyte
passive chlorophyte (<3um)
Phacus 
Ankistrodesmus 
Cosmarium
Crucigenia
Cryptomonas 
Plagioselmis 
Teleaulax 
Hemiselmis
Leucocryptos
small cryptophytes 
Apedinella spinifera
Pseudopedinella
Eutreptiella 
Euglena
Dictyoca 
Fibrocapsa 
Heterosigma akashiwo
Cricosphaera
Prymnesium
Anabaenopsis 
Anabaena 
Merismopedia
Oscillatoria 
Phormidium
Pseudoanabaena
Nodularia
