BLA	0.25	0.08	0.02	0.05
ARM	0.19	0.12	0.03	0.06
NAR	0.23	0.13	0.07	0.09
STJ	0.11	0.04	0.06	0.05
KIN 	0.16	0.05	0.05	0.06
SUC	0.13	0.07	0.05	0.07
