Site Code,Project,Name,Region,Type,Region,Year,mm,dd,ID,area,num_cells,num_outputs,SAL Surf,SAL Bottom,TEMP Surf,TEMP Bottom,WQ_DIAG_TOT_TN Surf,WQ_DIAG_TOT_TN Bottom,WQ_DIAG_TOT_TP Surf,WQ_DIAG_TOT_TP Bottom,WQ_NIT_AMM Surf,WQ_NIT_AMM Bottom,WQ_NIT_NIT Surf,WQ_NIT_NIT Bottom,WQ_PHS_FRP Surf,WQ_PHS_FRP Bottom,WQ_TRC_AGE Surf,WQ_TRC_AGE Bottom,WQ_OXY_OXY Surf,WQ_OXY_OXY Bottom,WQ_PHY_GRN Surf,WQ_PHY_GRN Bottom,WQ_PHY_BGA Surf,WQ_PHY_BGA Bottom,WQ_PHY_CRYPT Surf,WQ_PHY_CRYPT Bottom,WQ_PHY_DIATOM Surf,WQ_PHY_DIATOM Bottom,WQ_PHY_DINO Surf,WQ_PHY_DINO Bottom,WQ_PHY_DIATOM Surf,WQ_PHY_DIATOM Bottom,WQ_DIAG_MAC_GPP Surf,WQ_DIAG_MAC_GPP Bottom,WQ_DIAG_NCS_D_TAUB Surf,WQ_DIAG_NCS_D_TAUB Bottom,WQ_DIAG_OXY_ATM_OXY_FLUX Surf,WQ_DIAG_OXY_ATM_OXY_FLUX Bottom,WQ_DIAG_OXY_SAT Surf,WQ_DIAG_OXY_SAT Bottom,WQ_DIAG_MAC_MAC Surf,WQ_DIAG_MAC_MAC Bottom,WQ_DIAG_OXY_SED_OXY Surf,WQ_DIAG_OXY_SED_OXY Bottom,WQ_DIAG_PHY_GPP Surf,WQ_DIAG_PHY_GPP Bottom,WQ_DIAG_PHY_NCP Surf,WQ_DIAG_PHY_NCP Bottom,WQ_DIAG_PHY_TPHYS Surf,WQ_DIAG_PHY_TPHYS Bottom,WQ_DIAG_PHY_MPB Surf,WQ_DIAG_PHY_MPB Bottom,WQ_DIAG_PHY_BPP Surf,WQ_DIAG_PHY_BPP Bottom,WQ_DIAG_TOT_TSS Surf,WQ_DIAG_TOT_TSS Bottom,WQ_DIAG_TOT_TURBIDITY Surf,WQ_DIAG_TOT_TURBIDITY Bottom,WQ_DIAG_TOT_LIGHT Surf,WQ_DIAG_TOT_LIGHT Bottom,WQ_DIAG_TOT_PAR Surf,WQ_DIAG_TOT_PAR Bottom,sal_strat,sal_strat_area,lowoxygen_area,hypoxia_area,temp_surface_avg,temp_surface_max,sal_strat_history,lowoxygen_frequency,hypoxia_frequency,anoxia_frequency,
NS_LH,Prawns,Leach Highway (Upper Canning; 9),Nearshore,Nearshore,Nearshore,2007,04,01,NS_LH,402291.4950,136.0000,,
NS_LH,Prawns,Leach Highway (Upper Canning; 9),Nearshore,Nearshore,Nearshore,2009,04,01,NS_LH,402291.4950,136.0000,,30.32577,30.46460,21.00136,21.16097,0.51087,0.50855,0.02823,0.02819,0.00782,0.00920,0.00007,0.00003,0.00318,0.00326,15.94808,15.98925,4.57775,4.39353,0.36371,0.36429,0.20004,0.20002,1.68926,1.71086,4.11454,4.14774,1.12324,1.14458,4.11454,4.14774,0.00000,0.00000,0.00000,0.00315,0.00000,13.60038,61.49059,59.21889,0.00000,0.00000,0.00000,-1.00997,-1.37782,-0.65651,-1.98020,-1.23679,31.18999,31.40178,0.00000,358.81456,0.00000,35.20419,4.14644,4.14001,1.27513,1.27452,217.16288,120.51121,97.72329,54.23004,0.1388,0.0000,12.3791,0.0000,23.2904,28.7315,0.0000,4.1673,0.0000,0.0000,
NS_LH,Prawns,Leach Highway (Upper Canning; 9),Nearshore,Nearshore,Nearshore,2009,05,01,NS_LH,402291.4950,136.0000,,29.86343,30.60106,16.81100,17.65481,0.51587,0.50655,0.04657,0.04559,0.02280,0.02754,0.00117,0.00199,0.01670,0.01694,43.15603,43.74612,2.80222,2.38743,0.44403,0.40768,0.20007,0.20003,14.04760,12.45549,5.07767,5.07744,1.08421,1.02087,5.07767,5.07744,0.00000,0.00000,0.00000,0.00304,0.00000,10.40120,34.70632,30.15998,0.00000,0.00000,0.00000,-0.56323,-4.32974,-2.63140,-5.42234,-3.68251,86.87193,79.66372,0.00000,558.23584,0.00000,28.96819,3.27924,3.16072,0.91039,0.89018,177.38755,108.95094,79.82440,49.02792,0.7376,0.0000,100.0000,22.0922,19.1141,22.9929,0.0000,18.8360,1.3335,0.0000,
NS_LH,Prawns,Leach Highway (Upper Canning; 9),Nearshore,Nearshore,Nearshore,2009,06,01,NS_LH,402291.4950,136.0000,,28.60118,30.39698,15.24396,15.81086,0.47042,0.43761,0.05287,0.04832,0.00801,0.01886,0.00036,0.00005,0.02319,0.02276,62.40340,63.72142,5.11661,4.08712,0.36589,0.27701,0.20014,0.20003,20.81486,15.92136,3.11645,2.94063,1.31750,0.95819,3.11645,2.94063,0.00000,0.00000,0.00000,0.00137,0.00000,5.63356,60.87538,49.72533,0.00000,0.00000,0.00000,-0.64724,-2.00826,-1.57423,-3.19240,-2.53822,107.56196,84.45580,0.00000,531.07487,0.00000,17.80955,2.57369,2.32505,0.65258,0.61847,83.73763,55.74884,37.68193,25.08698,1.7958,0.0000,43.3972,0.0605,14.0789,16.4657,0.0000,11.3349,0.0000,0.0000,
NS_LH,Prawns,Leach Highway (Upper Canning; 9),Nearshore,Nearshore,Nearshore,2009,07,01,NS_LH,402291.4950,136.0000,,14.32687,23.87543,12.02065,13.70916,0.59508,0.40248,0.06007,0.05133,0.05853,0.03944,0.05147,0.00651,0.01962,0.02525,38.17093,59.74873,8.18217,6.23279,3.04118,1.21132,1.59009,0.42488,15.27107,15.12423,3.07965,1.63700,11.17489,4.92842,3.07965,1.63700,0.00000,0.00000,0.00000,0.00207,0.00000,17.25528,83.22123,69.69485,0.00000,0.00000,0.00000,-0.64999,-2.87931,-1.61730,-4.04683,-2.55380,142.31116,97.10146,0.00000,468.38557,0.00000,12.53339,6.82195,2.78780,1.54998,0.70459,70.02753,41.20268,31.51239,18.54121,9.5486,93.4062,0.4325,0.0000,11.7487,14.2550,4.6673,12.6685,0.0000,0.0000,
NS_LH,Prawns,Leach Highway (Upper Canning; 9),Nearshore,Nearshore,Nearshore,2009,08,01,NS_LH,402291.4950,136.0000,,6.72315,9.73394,10.06046,12.67951,0.83020,0.55466,0.04353,0.04137,0.05977,0.04544,0.20201,0.06090,0.01563,0.01751,27.53528,38.40151,6.26510,4.98966,0.61554,0.49208,0.51778,0.40065,13.02289,16.50972,0.47868,0.34644,2.86414,2.91292,0.47868,0.34644,0.00000,0.00000,0.00000,0.00211,0.00000,3.66993,58.13454,50.01297,0.00000,0.00000,0.00000,-0.55347,-2.87318,-2.66150,-3.37275,-3.38595,72.88172,86.04432,0.00000,470.44770,0.00000,19.69839,5.49796,4.02721,1.53934,1.17107,152.04048,88.73218,68.41822,39.92948,3.0108,0.0000,1.9193,0.0000,10.8864,13.9820,11.1683,0.6668,0.0000,0.0000,
NS_LH,Prawns,Leach Highway (Upper Canning; 9),Nearshore,Nearshore,Nearshore,2009,09,01,NS_LH,402291.4950,136.0000,,3.03556,5.60465,12.23508,16.31368,0.91420,0.72669,0.05667,0.05652,0.02733,0.03834,0.24926,0.09838,0.01696,0.01991,19.74231,32.44258,6.88653,4.43256,0.45158,0.44042,0.98799,1.06570,15.04601,19.53496,0.25706,0.20974,2.20186,2.58270,0.25706,0.20974,0.00000,0.00000,0.00000,0.00195,0.00000,7.57210,65.67438,46.73646,0.00000,0.00000,0.00000,-0.69308,-4.03558,-4.21905,-4.67558,-5.32454,78.91159,99.26156,0.00000,450.10785,0.00000,22.60882,6.83999,5.80071,1.87773,1.70543,188.49327,87.81982,84.82197,39.51892,2.5691,0.0000,34.3418,0.1225,13.5271,16.4243,2.5004,5.1674,0.0000,0.0000,
NS_LH,Prawns,Leach Highway (Upper Canning; 9),Nearshore,Nearshore,Nearshore,2009,10,01,NS_LH,402291.4950,136.0000,,3.84664,8.34062,14.04635,19.23930,0.69804,0.56469,0.04693,0.04843,0.01261,0.01994,0.02918,0.00151,0.01202,0.01623,23.80041,42.87456,6.75894,4.05915,0.42374,0.23925,0.50378,0.29579,16.97920,21.60147,0.38529,0.22426,1.46799,1.07113,0.38529,0.22426,0.00000,0.00000,0.00000,0.00145,0.00000,9.34818,67.41454,46.20118,0.00000,0.00000,0.00000,-0.83363,-5.42422,-2.67749,-6.21059,-4.06986,82.29775,97.59756,0.00000,492.87845,0.00000,34.63069,7.53659,5.79168,2.03594,1.70280,270.12539,120.23397,121.55643,54.10529,4.4940,2.5847,52.2796,0.6956,14.6307,18.2532,0.0000,1.0001,0.0000,0.0000,
NS_LH,Prawns,Leach Highway (Upper Canning; 9),Nearshore,Nearshore,Nearshore,2009,11,01,NS_LH,402291.4950,136.0000,,13.55359,16.95950,20.34013,24.12624,0.51844,0.49201,0.05472,0.05342,0.00736,0.02630,0.00033,0.00127,0.02052,0.02425,50.85593,55.14799,5.43654,3.25923,0.55721,0.42069,0.24235,0.20565,36.56240,35.49985,0.46657,0.33560,1.83124,1.97588,0.46657,0.33560,0.00000,0.00000,0.00000,0.00144,0.00000,25.17798,65.49413,42.75132,0.00000,0.00000,0.00000,-1.07524,-6.55800,-6.79790,-9.15786,-10.14637,165.19764,160.11950,0.00000,644.05024,0.00000,50.20644,4.62211,3.73629,1.20952,0.96647,326.80670,175.31345,147.06302,78.89105,3.4059,0.0000,78.1050,14.7924,20.6438,24.5320,0.0000,17.3358,0.8335,0.0000,
NS_LH,Prawns,Leach Highway (Upper Canning; 9),Nearshore,Nearshore,Nearshore,2009,12,01,NS_LH,402291.4950,136.0000,,19.28658,21.60802,28.39310,30.21575,0.49219,0.47646,0.06763,0.06705,0.00989,0.04173,0.00038,0.00425,0.03219,0.03621,57.22214,59.53460,3.99629,2.45751,0.26356,0.25091,0.20004,0.20003,45.66714,40.00063,0.43401,0.46695,0.58520,0.70498,0.43401,0.46695,0.00000,0.00000,0.00000,0.00243,0.00000,19.88675,57.58460,36.83906,0.00000,0.00000,0.00000,-1.46234,-14.80203,-14.72584,-20.63907,-20.62840,196.44368,173.35259,0.00000,729.72351,0.00000,62.62569,3.25866,2.88424,0.75278,0.67823,353.93722,197.26735,159.27175,88.77031,2.3214,0.0000,96.5010,28.9946,25.3315,29.6820,0.1667,18.3359,3.8339,0.0000,
NS_LH,Prawns,Leach Highway (Upper Canning; 9),Nearshore,Nearshore,Nearshore,2010,01,01,NS_LH,402291.4950,136.0000,,25.25207,25.66283,28.26669,28.72189,0.57092,0.55773,0.11430,0.11262,0.00981,0.01146,0.00010,0.00006,0.07107,0.07066,75.14696,74.76813,4.10373,3.88878,0.31431,0.31773,0.20004,0.20002,51.82003,50.05668,1.22401,1.26948,0.31237,0.33469,1.22401,1.26948,0.00000,0.00000,0.00000,0.00550,0.00000,27.35196,60.87688,58.20918,0.00000,0.00000,0.00000,-1.72225,-14.23692,-9.36065,-20.89144,-16.00526,224.45203,217.27491,0.00000,726.25112,0.00000,60.25133,2.64318,2.57451,0.52116,0.51265,384.62481,228.27775,173.08116,102.72499,0.4108,0.0000,60.1402,0.5656,29.6519,32.2197,0.0000,18.6693,4.0006,0.0000,
