ID,wl,U,V,Sal,Temp,TRACE_1,x,y
1,0.81,0,0,20,18,0,391178.32346284,6462901.8432754995
2,0.81,0,0,20,18,0,391175.58325789,6462952.0957542
3,0.81,0,0,20,18,0,391172.83192126,6463002.3661693
4,0.81,0,0,20,18,0,391170.08684432,6463052.6533003
5,0.81,0,0,20,18,0,391167.34049635,6463102.954443799
6,0.81,0,0,20,18,0,391164.59022983,6463153.2710044
7,0.81,0,0,20,18,0,391294.50018602,6462803.7436175
8,0.81,0,0,20,18,0,391290.99133649,6462891.694255
9,0.81,0,0,20,18,0,391287.4913888,6462979.490095099
10,0.81,0,0,20,18,0,391283.99573127,6463067.153892
11,0.81,0,0,20,18,0,391280.50591828,6463154.694238599
12,0.81,0,0,20,18,0,391277.01859355,6463242.117451
13,0.81,0,0,20,18,0,391364.2508598,6462672.1766622
14,0.81,0,0,20,18,0,391366.83284616,6462806.3588748
15,0.81,0,0,20,18,0,391369.40308622,6462939.9141558
16,0.81,0,0,20,18,0,391371.96489551,6463073.0638512
17,0.81,0,0,20,18,0,391374.521795,6463205.9261894
18,0.81,0,0,20,18,0,391377.07463253,6463338.5816378
19,0.81,0,0,20,18,0,391440.35973846,6462541.0846087
20,0.81,0,0,20,18,0,391451.93828378,6462714.4486485
21,0.81,0,0,20,18,0,391463.51089509,6462887.7508679
22,0.81,0,0,20,18,0,391475.08203994,6463061.001429
23,0.81,0,0,20,18,0,391486.6498965,6463234.2047550995
24,0.81,0,0,20,18,0,391498.21250715,6463407.363188299
25,0.81,0,0,20,18,0,391542.05595129,6462416.6155600995
26,0.81,0,0,20,18,0,391561.88738685,6462621.3310026
27,0.81,0,0,20,18,0,391581.71500036,6462826.0004174
28,0.81,0,0,20,18,0,391601.53834784,6463030.6331903
29,0.81,0,0,20,18,0,391621.35897139,6463235.236483901
30,0.81,0,0,20,18,0,391641.17704022,6463439.8094209
31,0.81,0,0,20,18,0,391670.72635411,6462318.605015
32,0.81,0,0,20,18,0,391695.46486044,6462543.695784
33,0.81,0,0,20,18,0,391720.20214991,6462768.7879892
34,0.81,0,0,20,18,0,391744.9411427,6462993.8807876
35,0.81,0,0,20,18,0,391769.67891028,6463218.974901699
36,0.81,0,0,20,18,0,391794.41735114,6463444.0696
37,0.81,0,0,20,18,0,391823.84287571,6462246.391381
38,0.81,0,0,20,18,0,391847.76014501,6462478.4436057
39,0.81,0,0,20,18,0,391871.67704191,6462710.4954535
40,0.81,0,0,20,18,0,391895.59371946,6462942.545192201
41,0.81,0,0,20,18,0,391919.51187286,6463174.5962208
42,0.81,0,0,20,18,0,391943.42756257,6463406.6486697
43,0.81,0,0,20,18,0,391977.14672231,6462169.4337705
44,0.81,0,0,20,18,0,392000.25109285,6462406.008245599
45,0.81,0,0,20,18,0,392023.35551604,6462642.5828553
46,0.81,0,0,20,18,0,392046.46043023,6462879.1548275
47,0.81,0,0,20,18,0,392069.56412892,6463115.730449599
48,0.81,0,0,20,18,0,392092.66932364,6463352.304867201
49,0.81,0,0,20,18,0,392128.36909535,6462090.5649293
50,0.81,0,0,20,18,0,392152.54434434,6462338.7347854
51,0.81,0,0,20,18,0,392176.72090039,6462586.9040071
52,0.81,0,0,20,18,0,392200.89629958,6462835.0729999
53,0.81,0,0,20,18,0,392225.07275318,6463083.2414318
54,0.81,0,0,20,18,0,392249.24788848,6463331.4100772
55,0.81,0,0,20,18,0,392285.96326809,6462030.6473494
56,0.81,0,0,20,18,0,392309.67804431,6462285.009949201
57,0.81,0,0,20,18,0,392333.39303683,6462539.3723518
58,0.81,0,0,20,18,0,392357.10779988,6462793.7347984
59,0.81,0,0,20,18,0,392380.82233205,6463048.0972957
60,0.81,0,0,20,18,0,392404.53707927,6463302.4595844
61,0.81,0,0,20,18,0,392452.19084022,6461989.088948901
62,0.81,0,0,20,18,0,392473.1379746,6462241.1296179
63,0.81,0,0,20,18,0,392494.08383018,6462493.1708678
64,0.81,0,0,20,18,0,392515.03025419,6462745.2095742
65,0.81,0,0,20,18,0,392535.97684441,6462997.2478588
66,0.81,0,0,20,18,0,392556.92342986,6463249.2860829
67,0.81,0,0,20,18,0,392618.34695231,6461964.386172401
68,0.81,0,0,20,18,0,392636.41930584,6462210.7545476
69,0.81,0,0,20,18,0,392654.49334502,6462457.1227149
70,0.81,0,0,20,18,0,392672.56662135,6462703.4919399
71,0.81,0,0,20,18,0,392690.63992929,6462949.859617299
72,0.81,0,0,20,18,0,392708.71409744,6463196.227641
73,0.81,0,0,20,18,0,392784.27866989,6461976.212940901
74,0.81,0,0,20,18,0,392799.48289289,6462210.2274952
75,0.81,0,0,20,18,0,392814.68587613,6462444.2441585995
76,0.81,0,0,20,18,0,392829.8897941,6462678.2652604
77,0.81,0,0,20,18,0,392845.09404421,6462912.2833506
78,0.81,0,0,20,18,0,392860.2982781,6463146.3036953
79,0.81,0,0,20,18,0,392950.52325912,6462008.6241751
80,0.81,0,0,20,18,0,392962.86365805,6462226.5151249
81,0.81,0,0,20,18,0,392975.20548143,6462444.408569001
82,0.81,0,0,20,18,0,392987.54702223,6462662.306502599
83,0.81,0,0,20,18,0,392999.88844179,6462880.2022436
84,0.81,0,0,20,18,0,393012.22982793,6463098.1003665
85,0.81,0,0,20,18,0,393098.77555846,6462072.2051667
86,0.81,0,0,20,18,0,393111.40642709,6462268.4951895
87,0.81,0,0,20,18,0,393124.03561038,6462464.756361799
88,0.81,0,0,20,18,0,393136.66265195,6462660.9943062
89,0.81,0,0,20,18,0,393149.28980885,6462857.2063454
90,0.81,0,0,20,18,0,393161.91292528,6463053.398118701
91,0.81,0,0,20,18,0,393228.801017,6462170.1796307
92,0.81,0,0,20,18,0,393245.10755551,6462338.4604647
93,0.81,0,0,20,18,0,393261.40865108,6462506.691728
94,0.81,0,0,20,18,0,393277.7054468,6462674.8788252
