Site ID,Catchment,Name,Name 2,Var,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,
6160118,Esturary,Caversham Avenue Jetty - Unnamed,Unnamed,Flow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6160118,Esturary,Caversham Avenue Jetty - Unnamed,Unnamed,SAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,5,53,328,312,312,317,333,365,356,342,352,334,333,348,283,
6160118,Esturary,Caversham Avenue Jetty - Unnamed,Unnamed,TEMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,5,53,328,316,312,317,333,365,356,342,352,334,333,348,283,
6160118,Esturary,Caversham Avenue Jetty - Unnamed,Unnamed,WQ_NIT_NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,,,,,1,,,,,,,,,
6160118,Esturary,Caversham Avenue Jetty - Unnamed,Unnamed,WQ_NIT_AMM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,1,,,,17,,,,,,,,,
6160118,Esturary,Caversham Avenue Jetty - Unnamed,Unnamed,WQ_OXY_OXY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,5,53,355,312,298,317,333,365,356,342,352,334,333,348,283,
6160118,Esturary,Caversham Avenue Jetty - Unnamed,Unnamed,WQ_DIAG_TOT_TN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,,,,,,,,,,,,,,
6160118,Esturary,Caversham Avenue Jetty - Unnamed,Unnamed,WQ_DIAG_TOT_TP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,,,,,,,,,,,,,,
6160118,Esturary,Caversham Avenue Jetty - Unnamed,Unnamed,WQ_OGM_DON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6160118,Esturary,Caversham Avenue Jetty - Unnamed,Unnamed,WQ_OGM_DOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6160118,Esturary,Caversham Avenue Jetty - Unnamed,Unnamed,WQ_OGM_PON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6160118,Esturary,Caversham Avenue Jetty - Unnamed,Unnamed,WQ_OGM_POP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6160119,Esturary,Swan-Canning Estuary - Uprswn - Reg Bond Park,Reg Bond Park,Flow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6160119,Esturary,Swan-Canning Estuary - Uprswn - Reg Bond Park,Reg Bond Park,SAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,58,369,336,314,323,338,377,354,364,374,363,356,368,307,
6160119,Esturary,Swan-Canning Estuary - Uprswn - Reg Bond Park,Reg Bond Park,TEMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,58,369,340,314,323,338,377,354,364,374,363,356,368,307,
6160119,Esturary,Swan-Canning Estuary - Uprswn - Reg Bond Park,Reg Bond Park,WQ_NIT_NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,
6160119,Esturary,Swan-Canning Estuary - Uprswn - Reg Bond Park,Reg Bond Park,WQ_NIT_AMM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,12,,,,,,,,,,,,
6160119,Esturary,Swan-Canning Estuary - Uprswn - Reg Bond Park,Reg Bond Park,WQ_OXY_OXY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,58,395,336,295,323,338,377,354,364,374,363,356,368,307,
6160119,Esturary,Swan-Canning Estuary - Uprswn - Reg Bond Park,Reg Bond Park,WQ_DIAG_TOT_TN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,
6160119,Esturary,Swan-Canning Estuary - Uprswn - Reg Bond Park,Reg Bond Park,WQ_DIAG_TOT_TP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,
6160119,Esturary,Swan-Canning Estuary - Uprswn - Reg Bond Park,Reg Bond Park,WQ_OGM_DON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6160119,Esturary,Swan-Canning Estuary - Uprswn - Reg Bond Park,Reg Bond Park,WQ_OGM_DOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6160119,Esturary,Swan-Canning Estuary - Uprswn - Reg Bond Park,Reg Bond Park,WQ_OGM_PON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6160119,Esturary,Swan-Canning Estuary - Uprswn - Reg Bond Park,Reg Bond Park,WQ_OGM_POP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6160258,Esturary,Swan-Canning Estuary - Lwrswn - Bla,Bla,Flow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6160258,Esturary,Swan-Canning Estuary - Lwrswn - Bla,Bla,SAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,1040,1163,1157,1113,1148,1189,1163,1134,1151,1157,1115,1101,1133,1164,1133,1153,1146,1144,887,
6160258,Esturary,Swan-Canning Estuary - Lwrswn - Bla,Bla,TEMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,913,1149,1163,1157,1113,1148,1189,1163,1134,1151,1157,1115,1101,1158,1164,1133,1153,1146,1144,887,
6160258,Esturary,Swan-Canning Estuary - Lwrswn - Bla,Bla,WQ_NIT_NIT,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,103,104,95,95,78,72,51,55,72,70,57,36,35,38,28,33,32,44,28,24,
6160258,Esturary,Swan-Canning Estuary - Lwrswn - Bla,Bla,WQ_NIT_AMM,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,100,88,90,84,79,94,87,61,60,63,52,33,14,22,36,38,41,53,35,11,
6160258,Esturary,Swan-Canning Estuary - Lwrswn - Bla,Bla,WQ_OXY_OXY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,913,1149,1163,1157,1113,1148,1189,1163,1134,1129,1157,1115,1101,1158,1164,1133,1153,1146,1144,887,
6160258,Esturary,Swan-Canning Estuary - Lwrswn - Bla,Bla,WQ_DIAG_TOT_TN,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,105,106,104,104,102,104,106,105,102,103,78,50,54,52,52,52,50,57,52,40,
6160258,Esturary,Swan-Canning Estuary - Lwrswn - Bla,Bla,WQ_DIAG_TOT_TP,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,99,92,104,104,102,101,98,104,104,103,78,50,49,51,47,44,50,57,49,37,
6160258,Esturary,Swan-Canning Estuary - Lwrswn - Bla,Bla,WQ_OGM_DON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,49,101,78,49,52,52,52,52,50,56,52,40,
6160258,Esturary,Swan-Canning Estuary - Lwrswn - Bla,Bla,WQ_OGM_DOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6160258,Esturary,Swan-Canning Estuary - Lwrswn - Bla,Bla,WQ_OGM_PON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6160258,Esturary,Swan-Canning Estuary - Lwrswn - Bla,Bla,WQ_OGM_POP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6160259,Esturary,Swan-Canning Estuary - Lwrswn - Arm,Arm,Flow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6160259,Esturary,Swan-Canning Estuary - Lwrswn - Arm,Arm,SAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,854,924,936,924,930,969,938,916,920,942,940,921,928,947,958,930,926,933,714,
6160259,Esturary,Swan-Canning Estuary - Lwrswn - Arm,Arm,TEMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,775,945,924,936,924,930,969,938,916,920,942,940,921,946,947,958,930,926,933,714,
6160259,Esturary,Swan-Canning Estuary - Lwrswn - Arm,Arm,WQ_NIT_NIT,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,96,84,74,75,50,50,24,40,55,53,32,22,18,26,19,35,26,44,30,21,
6160259,Esturary,Swan-Canning Estuary - Lwrswn - Arm,Arm,WQ_NIT_AMM,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,97,85,85,86,72,88,83,68,65,56,40,24,14,21,30,39,35,52,38,14,
6160259,Esturary,Swan-Canning Estuary - Lwrswn - Arm,Arm,WQ_OXY_OXY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,775,945,924,936,924,930,969,938,916,901,942,940,921,946,947,958,930,926,933,714,
6160259,Esturary,Swan-Canning Estuary - Lwrswn - Arm,Arm,WQ_DIAG_TOT_TN,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,103,106,104,104,102,104,106,104,104,102,78,50,54,52,52,52,49,58,52,40,
6160259,Esturary,Swan-Canning Estuary - Lwrswn - Arm,Arm,WQ_DIAG_TOT_TP,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,102,103,104,104,102,103,102,105,104,102,78,50,53,52,51,50,49,58,52,37,
6160259,Esturary,Swan-Canning Estuary - Lwrswn - Arm,Arm,WQ_OGM_DON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,49,102,78,50,52,52,52,52,49,58,51,40,
6160259,Esturary,Swan-Canning Estuary - Lwrswn - Arm,Arm,WQ_OGM_DOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6160259,Esturary,Swan-Canning Estuary - Lwrswn - Arm,Arm,WQ_OGM_PON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6160259,Esturary,Swan-Canning Estuary - Lwrswn - Arm,Arm,WQ_OGM_POP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6160262,Esturary,Swan-Canning - Midswn - Nar,Nar,Flow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6160262,Esturary,Swan-Canning - Midswn - Nar,Nar,SAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,484,517,511,522,501,525,516,492,490,504,525,559,520,519,525,489,488,471,370,
6160262,Esturary,Swan-Canning - Midswn - Nar,Nar,TEMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,457,530,517,511,522,501,525,516,492,490,504,525,559,530,519,525,489,488,471,370,
6160262,Esturary,Swan-Canning - Midswn - Nar,Nar,WQ_NIT_NIT,,,,,,,,,,,,,,,,,,,,,,,,,37,,,,,,95,89,93,78,70,69,28,53,63,50,38,23,10,28,20,36,19,48,25,21,
6160262,Esturary,Swan-Canning - Midswn - Nar,Nar,WQ_NIT_AMM,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,102,87,97,90,81,87,85,81,69,61,48,30,7,27,36,44,43,56,36,17,
6160262,Esturary,Swan-Canning - Midswn - Nar,Nar,WQ_OXY_OXY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,457,530,517,511,522,501,525,516,492,482,504,525,559,530,519,525,489,488,471,370,
6160262,Esturary,Swan-Canning - Midswn - Nar,Nar,WQ_DIAG_TOT_TN,,,,,,,,,,,,,,,,,,,,,,,,,39,,,,,,105,106,106,104,102,104,106,106,104,103,78,51,54,53,52,51,50,58,52,40,
6160262,Esturary,Swan-Canning - Midswn - Nar,Nar,WQ_DIAG_TOT_TP,,,,,,,,,,,,,,,,,,,,,,,,,39,,,,,,105,104,106,104,102,104,103,106,104,103,78,51,54,53,52,51,50,58,52,40,
6160262,Esturary,Swan-Canning - Midswn - Nar,Nar,WQ_OGM_DON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,49,103,78,51,52,53,52,52,50,58,52,40,
6160262,Esturary,Swan-Canning - Midswn - Nar,Nar,WQ_OGM_DOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6160262,Esturary,Swan-Canning - Midswn - Nar,Nar,WQ_OGM_PON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6160262,Esturary,Swan-Canning - Midswn - Nar,Nar,WQ_OGM_POP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6160263,Esturary,Swan-Canning Estuary - Midswn - NIL,NIL,Flow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6160263,Esturary,Swan-Canning Estuary - Midswn - NIL,NIL,SAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,333,355,349,346,340,353,330,331,346,335,361,390,370,373,380,356,338,332,271,
6160263,Esturary,Swan-Canning Estuary - Midswn - NIL,NIL,TEMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303,372,355,349,346,340,353,330,331,346,335,361,390,377,373,380,356,338,332,271,
6160263,Esturary,Swan-Canning Estuary - Midswn - NIL,NIL,WQ_NIT_NIT,,,,,,,,,,,,,,,,,,,,,,,21,28,29,,,,,,95,87,87,84,61,67,42,61,64,61,29,21,9,35,24,36,25,41,22,23,
6160263,Esturary,Swan-Canning Estuary - Midswn - NIL,NIL,WQ_NIT_AMM,,,,,,,,,,,,,,,,,,,,,,,26,30,21,,,,,,99,84,93,90,80,85,85,73,71,59,40,31,11,31,41,42,43,54,43,23,
6160263,Esturary,Swan-Canning Estuary - Midswn - NIL,NIL,WQ_OXY_OXY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301,372,355,349,346,340,353,330,331,339,335,361,390,377,373,380,356,338,332,271,
6160263,Esturary,Swan-Canning Estuary - Midswn - NIL,NIL,WQ_DIAG_TOT_TN,,,,,,,,,,,,,,,,,,,,,,,29,30,30,,,,,,105,106,106,104,102,104,106,106,104,103,78,54,57,59,56,55,54,59,55,40,
6160263,Esturary,Swan-Canning Estuary - Midswn - NIL,NIL,WQ_DIAG_TOT_TP,,,,,,,,,,,,,,,,,,,,,,,28,30,30,,,,,,104,103,106,104,102,104,104,106,104,103,78,54,57,59,56,55,54,59,55,40,
