ISOTime,Flow,Sal,Temp,TRACE_1,AGE,SS1,SS2,Oxy,Sil,Amm,Nit,FRP,FRP_ADS,DOC,POC,DON,PON,DOP,POP,DOCR,DONR,DOPR,CPOM,GRN,BGA,CRYPT,DIATOM,DINO,DINO_IN
15/04/2017 00:00:00,0.000000,0.379721,15.117234,1.000000,0.000000,14.937919,1.659769,183.913324,96.413995,2.785222,23.401587,0.699295,0.069930,66.666667,225.333333,8.357143,20.895153,0.000000,0.000000,600.000000,19.500000,0.000000,22.533333,0.471291,0.314194,0.314194,0.471291,1.570971,0.237128
16/04/2017 00:00:00,0.000000,0.379581,15.106330,1.000000,0.000000,15.018277,1.668697,184.225885,97.363646,2.782161,23.431131,0.701599,0.070160,66.666667,225.333333,8.357143,20.871356,0.000000,0.000000,600.000000,19.500000,0.000000,22.533333,0.500311,0.333541,0.333541,0.500311,1.667704,0.251729
17/04/2017 00:00:00,0.000000,0.379440,15.095426,1.000000,0.000000,15.098635,1.677626,184.538445,98.313298,2.779100,23.460675,0.703904,0.070390,66.666667,225.333333,8.357143,20.847560,0.000000,0.000000,600.000000,19.500000,0.000000,22.533333,0.529331,0.352888,0.352888,0.529331,1.764438,0.266330
18/04/2017 00:00:00,0.000000,0.379300,15.084521,1.000000,0.000000,15.178994,1.686555,184.851005,99.262949,2.776038,23.490219,0.706208,0.070621,66.666667,225.333333,8.357143,20.823763,0.000000,0.000000,600.000000,19.500000,0.000000,22.533333,0.558352,0.372234,0.372234,0.558352,1.861172,0.280932
19/04/2017 00:00:00,0.000000,0.379160,15.073617,1.000000,0.000000,15.259352,1.695484,185.163565,99.153571,2.772977,23.519762,0.708512,0.070851,66.666667,225.333333,8.357143,20.799966,0.000000,0.000000,600.000000,19.500000,0.000000,22.533333,0.558972,0.372648,0.372648,0.558972,1.863241,0.281244
20/04/2017 00:00:00,0.000000,0.379019,15.062713,1.000000,0.000000,15.339710,1.704412,185.476125,98.334079,2.769916,23.549306,0.710816,0.071082,66.666667,225.333333,8.357143,20.776169,0.000000,0.000000,600.000000,19.500000,0.000000,22.533333,0.540550,0.360367,0.360367,0.540550,1.801834,0.271975
21/04/2017 00:00:00,0.000000,0.378879,15.051808,1.000000,0.000000,15.420069,1.713341,185.788685,97.514588,2.766855,23.578850,0.713120,0.071312,66.666667,225.333333,8.357143,20.752373,0.000000,0.000000,600.000000,19.500000,0.000000,22.533333,0.522128,0.348085,0.348085,0.522128,1.740426,0.262706
22/04/2017 00:00:00,0.000000,0.378739,15.040904,1.000000,0.000000,15.500427,1.722270,186.101245,96.695096,2.763793,23.608394,0.715424,0.071542,66.666667,225.333333,8.357143,20.728576,0.000000,0.000000,600.000000,19.500000,0.000000,22.533333,0.503706,0.335804,0.335804,0.503706,1.679019,0.253437
23/04/2017 00:00:00,0.000000,0.378598,15.030000,1.000000,0.000000,15.580785,1.731198,186.413805,95.875604,2.760732,23.637937,0.717729,0.071773,66.666667,225.333333,8.357143,20.704779,0.000000,0.000000,600.000000,19.500000,0.000000,22.533333,0.485284,0.323522,0.323522,0.485284,1.617612,0.244168
24/04/2017 00:00:00,0.000000,0.378458,15.019095,1.000000,0.000000,15.661144,1.740127,186.726365,95.056112,2.757671,23.667481,0.720033,0.072003,66.666667,225.333333,8.357143,20.680983,0.000000,0.000000,600.000000,19.500000,0.000000,22.533333,0.466861,0.311241,0.311241,0.466861,1.556205,0.234899
25/04/2017 00:00:00,0.000000,0.378318,15.008191,1.000000,0.000000,15.741502,1.749056,187.038925,94.236621,2.754609,23.697025,0.722337,0.072234,66.666667,225.333333,8.357143,20.657186,0.000000,0.000000,600.000000,19.500000,0.000000,22.533333,0.448439,0.298959,0.298959,0.448439,1.494797,0.225630
26/04/2017 00:00:00,0.000000,0.378177,14.997287,1.000000,0.000000,15.821860,1.757984,187.351485,93.417129,2.751548,23.726569,0.724641,0.072464,66.666667,225.333333,8.357143,20.633389,0.000000,0.000000,600.000000,19.500000,0.000000,22.533333,0.430017,0.286678,0.286678,0.430017,1.433390,0.216361
27/04/2017 00:00:00,0.000000,0.378037,14.986382,1.000000,0.000000,15.902219,1.766913,187.664045,92.597637,2.748487,23.756113,0.726945,0.072695,66.666667,225.333333,8.357143,20.609593,0.000000,0.000000,600.000000,19.500000,0.000000,22.533333,0.411595,0.274397,0.274397,0.411595,1.371983,0.207092
28/04/2017 00:00:00,0.000000,0.377896,14.975478,1.000000,0.000000,15.982577,1.775842,187.976606,91.778145,2.745426,23.785656,0.729250,0.072925,66.666667,225.333333,8.357143,20.585796,0.000000,0.000000,600.000000,19.500000,0.000000,22.533333,0.393173,0.262115,0.262115,0.393173,1.310576,0.197823
29/04/2017 00:00:00,0.000000,0.377756,14.964573,1.000000,0.000000,16.062935,1.784771,188.289166,90.958654,2.742364,23.815200,0.731554,0.073155,66.666667,225.333333,8.357143,20.561999,0.000000,0.000000,600.000000,19.500000,0.000000,22.533333,0.374751,0.249834,0.249834,0.374751,1.249168,0.188554
30/04/2017 00:00:00,0.000000,0.377616,14.953669,1.000000,0.000000,16.143294,1.793699,188.601726,90.139162,2.739303,23.844744,0.733858,0.073386,66.666667,225.333333,8.357143,20.538203,0.000000,0.000000,600.000000,19.500000,0.000000,22.533333,0.356328,0.237552,0.237552,0.356328,1.187761,0.179285
01/05/2017 00:00:00,0.000000,0.377475,14.942765,1.000000,0.000000,16.223652,1.802628,188.914286,89.319670,2.736242,23.874288,0.736162,0.073616,66.666667,225.333333,8.357143,20.514406,0.000000,0.000000,600.000000,19.500000,0.000000,22.533333,0.337906,0.225271,0.225271,0.337906,1.126354,0.170016
02/05/2017 00:00:00,0.000000,0.377335,14.931860,1.000000,0.000000,16.304010,1.811557,189.226846,89.403950,2.733181,23.903831,0.738466,0.073847,66.666667,225.333333,8.357143,20.490609,0.000000,0.000000,600.000000,19.500000,0.000000,22.533333,0.322037,0.214691,0.214691,0.322037,1.073456,0.162031
03/05/2017 00:00:00,0.000000,0.377195,14.920956,1.000000,0.000000,16.384369,1.820485,189.539406,90.167707,2.730119,23.933375,0.740770,0.074077,66.666667,225.333333,8.357143,20.466812,0.000000,0.000000,600.000000,19.500000,0.000000,22.533333,0.308087,0.205391,0.205391,0.308087,1.026956,0.155012
04/05/2017 00:00:00,0.000000,0.377054,14.910052,1.000000,0.000000,16.464727,1.829414,189.851966,90.931464,2.727058,23.962919,0.743075,0.074307,66.666667,225.333333,8.357143,20.443016,0.000000,0.000000,600.000000,19.500000,0.000000,22.533333,0.294137,0.196091,0.196091,0.294137,0.980456,0.147993
05/05/2017 00:00:00,0.000000,0.376914,14.899147,1.000000,0.000000,16.545085,1.838343,190.164526,91.695221,2.723997,23.992463,0.745379,0.074538,66.666667,225.333333,8.357143,20.419219,0.000000,0.000000,600.000000,19.500000,0.000000,22.533333,0.280187,0.186791,0.186791,0.280187,0.933956,0.140974
06/05/2017 00:00:00,0.000000,0.376774,14.888243,1.000000,0.000000,16.625444,1.847272,190.477086,92.458978,2.720935,24.022006,0.747683,0.074768,66.666667,225.333333,8.357143,20.395422,0.000000,0.000000,600.000000,19.500000,0.000000,22.533333,0.266237,0.177491,0.177491,0.266237,0.887456,0.133956
07/05/2017 00:00:00,0.000000,0.376633,14.877339,1.000000,0.000000,16.705802,1.856200,190.789646,93.222735,2.717874,24.051550,0.749987,0.074999,66.666667,225.333333,8.357143,20.371626,0.000000,0.000000,600.000000,19.500000,0.000000,22.533333,0.252287,0.168191,0.168191,0.252287,0.840956,0.126937
08/05/2017 00:00:00,0.000000,0.376493,14.866434,1.000000,0.000000,16.786161,1.865129,191.102206,93.986492,2.714813,24.081094,0.752291,0.075229,66.666667,225.333333,8.357143,20.347829,0.000000,0.000000,600.000000,19.500000,0.000000,22.533333,0.238337,0.158891,0.158891,0.238337,0.794456,0.119918
09/05/2017 00:00:00,0.000000,0.376353,14.855530,1.000000,0.000000,16.866519,1.874058,191.414767,94.750249,2.711752,24.110638,0.754596,0.075460,66.666667,225.333333,8.357143,20.324032,0.000000,0.000000,600.000000,19.500000,0.000000,22.533333,0.224387,0.149591,0.149591,0.224387,0.747956,0.112899
10/05/2017 00:00:00,0.000000,0.376212,14.844626,1.000000,0.000000,16.946877,1.882986,191.727327,95.514006,2.708690,24.140181,0.756900,0.075690,66.666667,225.333333,8.357143,20.300236,0.000000,0.000000,600.000000,19.500000,0.000000,22.533333,0.210437,0.140291,0.140291,0.210437,0.701456,0.105880
11/05/2017 00:00:00,0.000000,0.376072,14.833721,1.000000,0.000000,17.027236,1.891915,192.039887,96.277763,2.705629,24.169725,0.759204,0.075920,66.666667,225.333333,8.357143,20.276439,0.000000,0.000000,600.000000,19.500000,0.000000,22.533333,0.196487,0.130991,0.130991,0.196487,0.654956,0.098861
12/05/2017 00:00:00,0.000000,0.375932,14.822817,1.000000,0.000000,17.107594,1.900844,192.352447,97.041520,2.702568,24.199269,0.761508,0.076151,66.666667,225.333333,8.357143,20.252642,0.000000,0.000000,600.000000,19.500000,0.000000,22.533333,0.182537,0.121691,0.121691,0.182537,0.608455,0.091842
