id,ctrd_x,ctrd_y,cfl_dt_min,cfl_dt_mean
          96,  0.3919471E+06,  0.6462674E+07,    17.978,    23.841
          97,  0.3920114E+06,  0.6462525E+07,    26.565,    36.313
          98,  0.3919701E+06,  0.6462906E+07,    17.139,    22.177
          99,  0.3920345E+06,  0.6462761E+07,    26.359,    35.268
         100,  0.3919930E+06,  0.6463139E+07,    16.449,    20.953
         101,  0.3920576E+06,  0.6462998E+07,    26.158,    34.452
         102,  0.3920159E+06,  0.6463371E+07,    16.172,    20.526
         103,  0.3920807E+06,  0.6463234E+07,    26.219,    34.356
         104,  0.3921038E+06,  0.6463471E+07,    26.507,    34.749
         105,  0.3920521E+06,  0.6462130E+07,    18.869,    26.892
         106,  0.3920754E+06,  0.6462371E+07,    18.475,    25.867
         107,  0.3921397E+06,  0.6462215E+07,    28.887,    41.342
         108,  0.3921155E+06,  0.6461967E+07,    28.229,    40.842
         109,  0.3920987E+06,  0.6462612E+07,    18.171,    24.765
         110,  0.3921639E+06,  0.6462463E+07,    29.177,    41.003
         111,  0.3921220E+06,  0.6462852E+07,    17.754,    23.823
         112,  0.3921880E+06,  0.6462711E+07,    29.357,    40.653
         113,  0.3921453E+06,  0.6463093E+07,    17.518,    23.422
         114,  0.3922122E+06,  0.6462959E+07,    29.565,    40.798
         115,  0.3921685E+06,  0.6463334E+07,    17.584,    23.608
         116,  0.3922364E+06,  0.6463207E+07,    29.824,    41.453
         117,  0.3922605E+06,  0.6463455E+07,    29.809,    41.702
         118,  0.3922031E+06,  0.6462052E+07,    18.915,    27.387
         119,  0.3922282E+06,  0.6462307E+07,    18.674,    26.622
         120,  0.3922980E+06,  0.6462158E+07,    30.980,    44.738
         121,  0.3922743E+06,  0.6461904E+07,    31.210,    45.458
         122,  0.3922532E+06,  0.6462563E+07,    18.597,    25.924
         123,  0.3923217E+06,  0.6462412E+07,    30.615,    43.638
         124,  0.3922783E+06,  0.6462818E+07,    18.485,    25.626
         125,  0.3923454E+06,  0.6462667E+07,    30.379,    43.051
         126,  0.3923033E+06,  0.6463073E+07,    18.548,    25.938
         127,  0.3923691E+06,  0.6462921E+07,    30.394,    43.322
         128,  0.3923284E+06,  0.6463329E+07,    18.833,    26.652
         129,  0.3923929E+06,  0.6463176E+07,    30.595,    44.215
         130,  0.3924166E+06,  0.6463430E+07,    31.157,    45.376
         131,  0.3923691E+06,  0.6462010E+07,    20.786,    30.135
         132,  0.3923915E+06,  0.6462263E+07,    20.260,    29.087
         133,  0.3924629E+06,  0.6462115E+07,    30.634,    44.291
         134,  0.3924419E+06,  0.6461863E+07,    30.800,    44.717
         135,  0.3924139E+06,  0.6462517E+07,    19.987,    28.286
         136,  0.3924838E+06,  0.6462367E+07,    30.462,    43.844
         137,  0.3924363E+06,  0.6462770E+07,    19.651,    27.876
         138,  0.3925048E+06,  0.6462619E+07,    30.417,    43.870
         139,  0.3924586E+06,  0.6463023E+07,    19.401,    27.904
         140,  0.3925257E+06,  0.6462872E+07,    30.469,    44.362
         141,  0.3924810E+06,  0.6463277E+07,    19.320,    28.145
         142,  0.3925467E+06,  0.6463124E+07,    30.574,    45.059
         143,  0.3925676E+06,  0.6463376E+07,    31.068,    46.082
         144,  0.3925357E+06,  0.6461969E+07,    20.192,    29.263
         145,  0.3925552E+06,  0.6462220E+07,    19.828,    28.641
         146,  0.3926279E+06,  0.6462088E+07,    30.525,    44.411
         147,  0.3926098E+06,  0.6461841E+07,    30.484,    44.389
         148,  0.3925747E+06,  0.6462470E+07,    19.766,    28.384
         149,  0.3926460E+06,  0.6462334E+07,    30.583,    44.626
         150,  0.3925942E+06,  0.6462721E+07,    19.563,    28.317
         151,  0.3926640E+06,  0.6462580E+07,    30.655,    45.124
         152,  0.3926137E+06,  0.6462972E+07,    19.317,    28.350
         153,  0.3926821E+06,  0.6462827E+07,    30.634,    45.559
         154,  0.3926332E+06,  0.6463222E+07,    19.218,    28.464
         155,  0.3927002E+06,  0.6463073E+07,    30.455,    45.710
         156,  0.3927183E+06,  0.6463320E+07,    30.535,    46.031
         157,  0.3927021E+06,  0.6461960E+07,    19.662,    28.732
         158,  0.3927187E+06,  0.6462202E+07,    19.427,    28.421
         159,  0.3927928E+06,  0.6462094E+07,    28.723,    42.477
         160,  0.3927776E+06,  0.6461860E+07,    28.018,    41.426
         161,  0.3927353E+06,  0.6462444E+07,    19.514,    28.529
         162,  0.3928080E+06,  0.6462328E+07,    29.344,    43.652
         163,  0.3927519E+06,  0.6462686E+07,    19.392,    28.647
         164,  0.3928232E+06,  0.6462561E+07,    29.760,    44.746
         165,  0.3927686E+06,  0.6462928E+07,    19.132,    28.596
         166,  0.3928384E+06,  0.6462795E+07,    29.822,    45.233
         167,  0.3927852E+06,  0.6463170E+07,    19.022,    28.565
         168,  0.3928536E+06,  0.6463029E+07,    29.488,    44.933
         169,  0.3928688E+06,  0.6463263E+07,    29.137,    44.505
         170,  0.3928684E+06,  0.6461993E+07,    19.851,    29.426
         171,  0.3928822E+06,  0.6462219E+07,    19.595,    29.083
         172,  0.3929577E+06,  0.6462118E+07,    27.038,    40.574
         173,  0.3929454E+06,  0.6461900E+07,    26.424,    39.678
         174,  0.3928959E+06,  0.6462445E+07,    19.690,    29.203
         175,  0.3929700E+06,  0.6462336E+07,    27.535,    41.463
         176,  0.3929097E+06,  0.6462670E+07,    19.530,    29.238
         177,  0.3929824E+06,  0.6462554E+07,    27.837,    42.245
         178,  0.3929235E+06,  0.6462896E+07,    19.170,    28.929
         179,  0.3929947E+06,  0.6462771E+07,    27.800,    42.372
         180,  0.3929372E+06,  0.6463122E+07,    18.984,    28.643
         181,  0.3930070E+06,  0.6462989E+07,    27.384,    41.714
         182,  0.3930194E+06,  0.6463207E+07,    27.010,    41.165
         183,  0.3930347E+06,  0.6462025E+07,    14.718,    21.916
         184,  0.3930456E+06,  0.6462235E+07,    15.258,    22.647
         185,  0.3931068E+06,  0.6462171E+07,    19.936,    29.580
         186,  0.3930942E+06,  0.6461975E+07,    18.401,    27.477
         187,  0.3930565E+06,  0.6462445E+07,    16.124,    23.851
         188,  0.3931194E+06,  0.6462367E+07,    22.059,    32.693
         189,  0.3930674E+06,  0.6462654E+07,    16.791,    25.027
         190,  0.3931320E+06,  0.6462563E+07,    23.729,    35.385
         191,  0.3930783E+06,  0.6462864E+07,    17.223,    25.753
         192,  0.3931446E+06,  0.6462758E+07,    24.488,    36.633
         193,  0.3930892E+06,  0.6463074E+07,    17.823,    26.511
         194,  0.3931572E+06,  0.6462954E+07,    24.250,    36.100
         195,  0.3931698E+06,  0.6463150E+07,    23.355,    34.672
