id,ctrd_x,ctrd_y,cfl_dt_min,cfl_dt_mean
          92,  0.3919013E+06,  0.6462210E+07,   650.512,  5837.797
          93,  0.3919242E+06,  0.6462442E+07,   539.310,  3741.753
          94,  0.3919883E+06,  0.6462288E+07,  5187.868,  9973.455
          95,  0.3919652E+06,  0.6462051E+07,  9999.000,  9999.000
          96,  0.3919471E+06,  0.6462674E+07,   415.950,  2976.106
          97,  0.3920114E+06,  0.6462525E+07,  3142.457,  9513.870
          98,  0.3919701E+06,  0.6462906E+07,   355.179,  2645.589
          99,  0.3920345E+06,  0.6462761E+07,  3460.098,  9760.022
         100,  0.3919930E+06,  0.6463139E+07,   363.482,  2651.997
         101,  0.3920576E+06,  0.6462998E+07,  5275.509,  9995.603
         102,  0.3920159E+06,  0.6463371E+07,   420.782,  2971.764
         103,  0.3920807E+06,  0.6463234E+07,  5633.517,  9998.984
         104,  0.3921038E+06,  0.6463471E+07,  9999.000,  9999.000
         105,  0.3920521E+06,  0.6462130E+07,   583.098,  5083.869
         106,  0.3920754E+06,  0.6462371E+07,   506.845,  3406.218
         107,  0.3921397E+06,  0.6462215E+07,  7315.095,  9998.791
         108,  0.3921155E+06,  0.6461967E+07,  9999.000,  9999.000
         109,  0.3920987E+06,  0.6462612E+07,   417.267,  2859.254
         110,  0.3921639E+06,  0.6462463E+07,  3529.498,  9783.650
         111,  0.3921220E+06,  0.6462852E+07,   356.765,  2504.798
         112,  0.3921880E+06,  0.6462711E+07,  3016.216,  9715.693
         113,  0.3921453E+06,  0.6463093E+07,   345.019,  2398.708
         114,  0.3922122E+06,  0.6462959E+07,  3517.955,  9918.938
         115,  0.3921685E+06,  0.6463334E+07,   374.436,  2621.593
         116,  0.3922364E+06,  0.6463207E+07,  5511.863,  9997.875
         117,  0.3922605E+06,  0.6463455E+07,  9999.000,  9999.000
         118,  0.3922031E+06,  0.6462052E+07,   581.330,  4662.039
         119,  0.3922282E+06,  0.6462307E+07,   511.416,  3245.308
         120,  0.3922980E+06,  0.6462158E+07,  5857.987,  9997.567
         121,  0.3922743E+06,  0.6461904E+07,  9999.000,  9999.000
         122,  0.3922532E+06,  0.6462563E+07,   436.031,  2862.880
         123,  0.3923217E+06,  0.6462412E+07,  3808.259,  9861.914
         124,  0.3922783E+06,  0.6462818E+07,   378.837,  2477.516
         125,  0.3923454E+06,  0.6462667E+07,  4194.999,  9962.132
         126,  0.3923033E+06,  0.6463073E+07,   359.775,  2276.003
         127,  0.3923691E+06,  0.6462921E+07,  8020.947,  9998.987
         128,  0.3923284E+06,  0.6463329E+07,   380.827,  2442.032
         129,  0.3923929E+06,  0.6463176E+07,  5880.511,  9998.983
         130,  0.3924166E+06,  0.6463430E+07,  9999.000,  9999.000
         131,  0.3923691E+06,  0.6462010E+07,   687.287,  4640.736
         132,  0.3923915E+06,  0.6462263E+07,   586.639,  3320.224
         133,  0.3924629E+06,  0.6462115E+07,  8437.478,  9998.992
         134,  0.3924419E+06,  0.6461863E+07,  9999.000,  9999.000
