id,ctrd_x,ctrd_y,cfl_dt_min,cfl_dt_mean
          92,  0.3919013E+06,  0.6462210E+07,   650.512,  5871.692
          93,  0.3919242E+06,  0.6462442E+07,   539.310,  3758.714
          94,  0.3919883E+06,  0.6462288E+07,  5187.867,  9973.058
          95,  0.3919652E+06,  0.6462051E+07,  9999.000,  9999.000
          96,  0.3919471E+06,  0.6462674E+07,   415.950,  2990.453
          97,  0.3920114E+06,  0.6462525E+07,  3142.456,  9513.047
          98,  0.3919701E+06,  0.6462906E+07,   355.179,  2655.334
          99,  0.3920345E+06,  0.6462761E+07,  3460.097,  9758.817
         100,  0.3919930E+06,  0.6463139E+07,   363.482,  2657.767
         101,  0.3920576E+06,  0.6462998E+07,  5275.519,  9995.421
         102,  0.3920159E+06,  0.6463371E+07,   420.781,  2978.144
         103,  0.3920807E+06,  0.6463234E+07,  5633.525,  9998.985
         104,  0.3921038E+06,  0.6463471E+07,  9999.000,  9999.000
         105,  0.3920521E+06,  0.6462130E+07,   583.097,  5118.147
         106,  0.3920754E+06,  0.6462371E+07,   506.845,  3422.094
         107,  0.3921397E+06,  0.6462215E+07,  7315.092,  9998.732
         108,  0.3921155E+06,  0.6461967E+07,  9999.000,  9999.000
         109,  0.3920987E+06,  0.6462612E+07,   417.266,  2874.457
         110,  0.3921639E+06,  0.6462463E+07,  3529.500,  9783.337
         111,  0.3921220E+06,  0.6462852E+07,   356.765,  2515.416
         112,  0.3921880E+06,  0.6462711E+07,  3016.216,  9716.333
         113,  0.3921453E+06,  0.6463093E+07,   345.019,  2405.069
         114,  0.3922122E+06,  0.6462959E+07,  3517.958,  9918.963
         115,  0.3921685E+06,  0.6463334E+07,   374.436,  2628.249
         116,  0.3922364E+06,  0.6463207E+07,  5511.870,  9997.890
         117,  0.3922605E+06,  0.6463455E+07,  9999.000,  9999.000
         118,  0.3922031E+06,  0.6462052E+07,   581.330,  4695.807
         119,  0.3922282E+06,  0.6462307E+07,   511.416,  3260.139
         120,  0.3922980E+06,  0.6462158E+07,  5857.993,  9997.462
         121,  0.3922743E+06,  0.6461904E+07,  9999.000,  9999.000
         122,  0.3922532E+06,  0.6462563E+07,   436.030,  2879.100
         123,  0.3923217E+06,  0.6462412E+07,  3808.260,  9859.910
         124,  0.3922783E+06,  0.6462818E+07,   378.836,  2489.063
         125,  0.3923454E+06,  0.6462667E+07,  4195.004,  9960.521
         126,  0.3923033E+06,  0.6463073E+07,   359.775,  2282.644
         127,  0.3923691E+06,  0.6462921E+07,  8020.993,  9998.987
         128,  0.3923284E+06,  0.6463329E+07,   380.827,  2448.890
         129,  0.3923929E+06,  0.6463176E+07,  5880.510,  9998.984
         130,  0.3924166E+06,  0.6463430E+07,  9999.000,  9999.000
         131,  0.3923691E+06,  0.6462010E+07,   687.287,  4673.892
         132,  0.3923915E+06,  0.6462263E+07,   586.638,  3334.748
         133,  0.3924629E+06,  0.6462115E+07,  8437.521,  9998.992
         134,  0.3924419E+06,  0.6461863E+07,  9999.000,  9999.000
         135,  0.3924139E+06,  0.6462517E+07,   495.525,  3044.784
         136,  0.3924838E+06,  0.6462367E+07,  5433.029,  9995.831
         137,  0.3924363E+06,  0.6462770E+07,   429.923,  2577.631
         138,  0.3925048E+06,  0.6462619E+07,  6239.946,  9998.785
         139,  0.3924586E+06,  0.6463023E+07,   403.460,  2269.711
         140,  0.3925257E+06,  0.6462872E+07,  9332.320,  9998.933
         141,  0.3924810E+06,  0.6463277E+07,   414.522,  2389.122
         142,  0.3925467E+06,  0.6463124E+07,  6451.671,  9996.571
         143,  0.3925676E+06,  0.6463376E+07,  9999.000,  9999.000
         144,  0.3925357E+06,  0.6461969E+07,   658.908,  4291.250
         145,  0.3925552E+06,  0.6462220E+07,   556.336,  3122.826
         146,  0.3926279E+06,  0.6462088E+07,  6670.663,  9998.938
         147,  0.3926098E+06,  0.6461841E+07,  9999.000,  9999.000
         148,  0.3925747E+06,  0.6462470E+07,   513.710,  3006.192
         149,  0.3926460E+06,  0.6462334E+07,  4625.246,  9993.887
         150,  0.3925942E+06,  0.6462721E+07,   456.486,  2547.792
         151,  0.3926640E+06,  0.6462580E+07,  5263.738,  9998.065
         152,  0.3926137E+06,  0.6462972E+07,   433.399,  2184.820
         153,  0.3926821E+06,  0.6462827E+07,  8359.631,  9997.826
         154,  0.3926332E+06,  0.6463222E+07,   441.025,  2300.910
         155,  0.3927002E+06,  0.6463073E+07,  6137.638,  9989.705
         156,  0.3927183E+06,  0.6463320E+07,  9999.000,  9999.000
         157,  0.3927021E+06,  0.6461960E+07,   597.688,  3802.371
         158,  0.3927187E+06,  0.6462202E+07,   497.523,  2826.106
         159,  0.3927928E+06,  0.6462094E+07,  4803.561,  9993.933
         160,  0.3927776E+06,  0.6461860E+07,  9999.000,  9999.000
         161,  0.3927353E+06,  0.6462444E+07,   473.522,  2921.145
         162,  0.3928080E+06,  0.6462328E+07,  3535.598,  9935.922
         163,  0.3927519E+06,  0.6462686E+07,   441.201,  2499.069
         164,  0.3928232E+06,  0.6462561E+07,  3927.216,  9987.184
         165,  0.3927686E+06,  0.6462928E+07,   405.895,  2071.907
         166,  0.3928384E+06,  0.6462795E+07,  6679.955,  9998.865
         167,  0.3927852E+06,  0.6463170E+07,   416.461,  2185.257
         168,  0.3928536E+06,  0.6463029E+07,  6309.516,  9986.985
         169,  0.3928688E+06,  0.6463263E+07,  9999.000,  9999.000
         170,  0.3928684E+06,  0.6461993E+07,   546.506,  3344.694
         171,  0.3928822E+06,  0.6462219E+07,   449.532,  2563.510
         172,  0.3929577E+06,  0.6462118E+07,  6235.034,  9998.910
         173,  0.3929454E+06,  0.6461900E+07,  9999.000,  9999.000
         174,  0.3928959E+06,  0.6462445E+07,   448.452,  2909.534
         175,  0.3929700E+06,  0.6462336E+07,  4670.764,  9992.173
         176,  0.3929097E+06,  0.6462670E+07,   425.561,  2526.054
         177,  0.3929824E+06,  0.6462554E+07,  5183.206,  9997.230
         178,  0.3929235E+06,  0.6462896E+07,   379.907,  1991.810
         179,  0.3929947E+06,  0.6462771E+07,  6770.544,  9969.713
         180,  0.3929372E+06,  0.6463122E+07,   385.887,  2098.227
         181,  0.3930070E+06,  0.6462989E+07,  5497.911,  9934.193
         182,  0.3930194E+06,  0.6463207E+07,  9999.000,  9999.000
         183,  0.3930347E+06,  0.6462025E+07,   364.744,  2310.762
         184,  0.3930456E+06,  0.6462235E+07,   316.859,  1933.386
         185,  0.3931068E+06,  0.6462171E+07,  2014.268,  7574.644
         186,  0.3930942E+06,  0.6461975E+07,  9999.000,  9999.000
         187,  0.3930565E+06,  0.6462445E+07,   357.271,  2570.316
         188,  0.3931194E+06,  0.6462367E+07,  2252.238,  7638.751
         189,  0.3930674E+06,  0.6462654E+07,   364.201,  2355.054
         190,  0.3931320E+06,  0.6462563E+07,  2829.501,  9154.665
         191,  0.3930783E+06,  0.6462864E+07,   326.622,  1805.873
         192,  0.3931446E+06,  0.6462758E+07,  4411.392,  9995.356
         193,  0.3930892E+06,  0.6463074E+07,   347.797,  1986.320
         194,  0.3931572E+06,  0.6462954E+07,  9999.000,  9999.000
         195,  0.3931698E+06,  0.6463150E+07,  9999.000,  9999.000
         196,  0.3931663E+06,  0.6462120E+07,   303.445,  1929.511
         197,  0.3931806E+06,  0.6462302E+07,   274.779,  1737.182
