FVC file = swan_helena_v4g.fvc, Simulation Execution: 12/04/2019 15:05:48
Cell Coordinates and properties applied to model,X,Y,ZB,MATID,Area,ID
, 0.39247313797460E+06, 0.64622411296179E+07, -0.6666826E+00,           1,  0.4216297E+05,          62
, 0.39249408383018E+06, 0.64624931708678E+07, -0.6695682E+00,           1,  0.4149710E+05,          63
, 0.39251503025419E+06, 0.64627452095742E+07, -0.6547064E+00,           1,  0.4083240E+05,          64
, 0.39253597684441E+06, 0.64629972478588E+07, -0.6265510E+00,           1,  0.4016785E+05,          65
, 0.39255692342986E+06, 0.64632492860829E+07, -0.5976191E+00,           1,  0.3950300E+05,          66
, 0.39261834695231E+06, 0.64619643861724E+07, -0.6430251E+00,           1,  0.4114786E+05,          67
, 0.39263641930584E+06, 0.64622107545476E+07, -0.6410277E+00,           1,  0.4059362E+05,          68
, 0.39265449334502E+06, 0.64624571227149E+07, -0.6227036E+00,           1,  0.4003938E+05,          69
, 0.39267256662135E+06, 0.64627034919399E+07, -0.5983254E+00,           1,  0.3948488E+05,          70
, 0.39269063992929E+06, 0.64629498596173E+07, -0.5773984E+00,           1,  0.3892966E+05,          71
, 0.39270871409744E+06, 0.64631962276410E+07, -0.5607145E+00,           1,  0.3837609E+05,          72
, 0.39278427866989E+06, 0.64619762129409E+07, -0.6050305E+00,           1,  0.3841296E+05,          73
, 0.39279948289289E+06, 0.64622102274952E+07, -0.5956905E+00,           1,  0.3798849E+05,          74
, 0.39281468587613E+06, 0.64624442441586E+07, -0.5728146E+00,           1,  0.3756577E+05,          75
, 0.39282988979410E+06, 0.64626782652604E+07, -0.5509594E+00,           1,  0.3714243E+05,          76
, 0.39284509404421E+06, 0.64629122833506E+07, -0.5391876E+00,           1,  0.3671741E+05,          77
, 0.39286029827810E+06, 0.64631463036953E+07, -0.5326246E+00,           1,  0.3629538E+05,          78
, 0.39295052325912E+06, 0.64620086241751E+07, -0.5690870E+00,           1,  0.3582217E+05,          79
, 0.39296286365805E+06, 0.64622265151249E+07, -0.5664973E+00,           1,  0.3539620E+05,          80
, 0.39297520548143E+06, 0.64624444085690E+07, -0.5511685E+00,           1,  0.3497185E+05,          81
, 0.39298754702223E+06, 0.64626623065026E+07, -0.5352798E+00,           1,  0.3454652E+05,          82
, 0.39299988844179E+06, 0.64628802022436E+07, -0.5324920E+00,           1,  0.3411952E+05,          83
, 0.39301222982793E+06, 0.64630981003665E+07, -0.5354021E+00,           1,  0.3369573E+05,          84
, 0.39309877555846E+06, 0.64620722051667E+07, -0.5809601E+00,           1,  0.2458572E+05,          85
, 0.39311140642709E+06, 0.64622684951895E+07, -0.5920262E+00,           1,  0.2560045E+05,          86
, 0.39312403561038E+06, 0.64624647563618E+07, -0.5828123E+00,           1,  0.2661774E+05,          87
, 0.39313666265195E+06, 0.64626609943062E+07, -0.5681025E+00,           1,  0.2763321E+05,          88
, 0.39314928980885E+06, 0.64628572063454E+07, -0.5756146E+00,           1,  0.2864938E+05,          89
, 0.39316191292528E+06, 0.64630533981187E+07, -0.5902807E+00,           1,  0.2966544E+05,          90
, 0.39322880101700E+06, 0.64621701796307E+07, -0.6481687E+00,           1,  0.2003349E+05,          91
, 0.39324510755551E+06, 0.64623384604647E+07, -0.6701760E+00,           1,  0.2115157E+05,          92
, 0.39326140865108E+06, 0.64625066917280E+07, -0.6636056E+00,           1,  0.2227151E+05,          93
, 0.39327770544680E+06, 0.64626748788252E+07, -0.6500890E+00,           1,  0.2338866E+05,          94
, 0.39329399805097E+06, 0.64628430256374E+07, -0.6670446E+00,           1,  0.2450799E+05,          95
, 0.39331028850534E+06, 0.64630111390962E+07, -0.6888501E+00,           1,  0.2562593E+05,          96
, 0.39337049325551E+06, 0.64622507749651E+07, -0.7353979E+00,           1,  0.2092315E+05,          97
, 0.39338843640304E+06, 0.64623940007796E+07, -0.7668005E+00,           1,  0.2121498E+05,          98
, 0.39340637783908E+06, 0.64625372216537E+07, -0.7691277E+00,           1,  0.2150771E+05,          99
, 0.39342432003889E+06, 0.64626804356285E+07, -0.7628387E+00,           1,  0.2179888E+05,         100
, 0.39344226080370E+06, 0.64628236401867E+07, -0.7792941E+00,           1,  0.2209082E+05,         101
, 0.39346020047075E+06, 0.64629668381623E+07, -0.7917849E+00,           1,  0.2238266E+05,         102
, 0.39353312325370E+06, 0.64622761555317E+07, -0.8093159E+00,           1,  0.2189183E+05,         103
, 0.39354903810351E+06, 0.64624044392931E+07, -0.8494184E+00,           1,  0.2158914E+05,         104
, 0.39356495180847E+06, 0.64625327271836E+07, -0.8642614E+00,           1,  0.2128545E+05,         105
, 0.39358086487389E+06, 0.64626610142502E+07, -0.8685031E+00,           1,  0.2098115E+05,         106
, 0.39359678068452E+06, 0.64627893021274E+07, -0.8791248E+00,           1,  0.2067841E+05,         107
, 0.39361269417322E+06, 0.64629175922533E+07, -0.8737089E+00,           1,  0.2037407E+05,         108
, 0.39368534890188E+06, 0.64622710192562E+07, -0.8615919E+00,           1,  0.1740813E+05,         109
, 0.39369446364111E+06, 0.64623975085478E+07, -0.9016233E+00,           1,  0.1481131E+05,         110
, 0.39370434486690E+06, 0.64625151736374E+07, -0.9189953E+00,           1,  0.1358433E+05,         111
, 0.39371618575440E+06, 0.64626319074228E+07, -0.9339749E+00,           1,  0.1346928E+05,         112
, 0.39372742699143E+06, 0.64627510909733E+07, -0.9484350E+00,           1,  0.1293472E+05,         113
, 0.39374037820691E+06, 0.64628747937627E+07, -0.9339440E+00,           1,  0.1327871E+05,         114
, 0.39385506602995E+06, 0.64622714696994E+07, -0.8917598E+00,           1,  0.2949442E+05,         115
, 0.39385934986363E+06, 0.64624002471644E+07, -0.9205668E+00,           1,  0.2425314E+05,         116
, 0.39384407805328E+06, 0.64627444451818E+07, -0.9920557E+00,           1,  0.1349445E+05,         117
, 0.39384748531611E+06, 0.64628531327591E+07, -0.9763718E+00,           1,  0.1390340E+05,         118
, 0.39407358847716E+06, 0.64622997946991E+07, -0.8977857E+00,           1,  0.2833698E+05,         119
, 0.39405643024140E+06, 0.64624285850206E+07, -0.9110855E+00,           1,  0.2607904E+05,         120
, 0.39397958979538E+06, 0.64627746208620E+07, -0.1039388E+01,           1,  0.1156215E+05,         121
, 0.39397381556378E+06, 0.64628557817275E+07, -0.1029068E+01,           1,  0.1039641E+05,         122
, 0.39427929597740E+06, 0.64623699330252E+07, -0.8889992E+00,           1,  0.2820785E+05,         123
, 0.39424606921031E+06, 0.64624955633429E+07, -0.8921977E+00,           1,  0.2610961E+05,         124
, 0.39411844737576E+06, 0.64628267818988E+07, -0.1157289E+01,           1,  0.9815681E+04,         125
, 0.39409955450158E+06, 0.64628914570590E+07, -0.1154022E+01,           1,  0.8750479E+04,         126
, 0.39447036476669E+06, 0.64624738873915E+07, -0.9093992E+00,           1,  0.2585348E+05,         127
, 0.39442590278344E+06, 0.64625859324787E+07, -0.9103758E+00,           1,  0.2413745E+05,         128
, 0.39424529725043E+06, 0.64628955480193E+07, -0.1354546E+01,           1,  0.8301076E+04,         129
, 0.39421607469081E+06, 0.64629443644243E+07, -0.1350411E+01,           1,  0.7328252E+04,         130
, 0.39464777992179E+06, 0.64626025320997E+07, -0.1014006E+01,           1,  0.2325804E+05,         131
, 0.39459567899779E+06, 0.64626964645063E+07, -0.1015046E+01,           1,  0.2163905E+05,         132
, 0.39436538556106E+06, 0.64629839799755E+07, -0.1489659E+01,           1,  0.7077792E+04,         133
, 0.39432746278608E+06, 0.64630147388481E+07, -0.1481836E+01,           1,  0.6229148E+04,         134
, 0.39482171248393E+06, 0.64627435977534E+07, -0.1181735E+01,           1,  0.2382030E+05,         135
, 0.39475432404267E+06, 0.64628289597834E+07, -0.1185427E+01,           1,  0.2189832E+05,         136
, 0.39447849988672E+06, 0.64630834963944E+07, -0.1441425E+01,           1,  0.7811202E+04,         137
, 0.39442400962469E+06, 0.64631066212610E+07, -0.1430948E+01,           1,  0.7203922E+04,         138
, 0.39497505205625E+06, 0.64628972326861E+07, -0.1317980E+01,           1,  0.2665171E+05,         139
, 0.39488479140382E+06, 0.64629803505819E+07, -0.1332024E+01,           1,  0.2429879E+05,         140
, 0.39458613223328E+06, 0.64631834597848E+07, -0.1299853E+01,           1,  0.1055713E+05,         141
, 0.39450553495197E+06, 0.64632076495975E+07, -0.1273399E+01,           1,  0.1016044E+05,         142
, 0.39507980086690E+06, 0.64630813490113E+07, -0.1391918E+01,           1,  0.3192236E+05,         143
, 0.39493428360181E+06, 0.64631551975558E+07, -0.1404851E+01,           1,  0.2365312E+05,         144
, 0.39470158823634E+06, 0.64632665335864E+07, -0.1267610E+01,           1,  0.1252436E+05,         145
, 0.39458272362788E+06, 0.64633076199296E+07, -0.1169904E+01,           1,  0.1410950E+05,         146
, 0.39512251627107E+06, 0.64632222251856E+07, -0.1468869E+01,           1,  0.2033676E+05,         147
, 0.39494688918879E+06, 0.64632811302588E+07, -0.1494174E+01,           1,  0.1932148E+05,         148
, 0.39478466092520E+06, 0.64633391892751E+07, -0.1367635E+01,           1,  0.1562532E+05,         149
, 0.39463206483580E+06, 0.64633930320009E+07, -0.1178664E+01,           1,  0.1385880E+05,         150
, 0.39512919817127E+06, 0.64633657015129E+07, -0.1559639E+01,           1,  0.2821378E+05,         151
, 0.39496974929975E+06, 0.64634058108288E+07, -0.1628680E+01,           1,  0.2468856E+05,         152
, 0.39481035971500E+06, 0.64634459054249E+07, -0.1500038E+01,           1,  0.2116338E+05,         153
, 0.39465105971100E+06, 0.64634859775451E+07, -0.1259521E+01,           1,  0.1763838E+05,         154
, 0.39508620484241E+06, 0.64635425265575E+07, -0.1583712E+01,           1,  0.2347293E+05,         155
, 0.39494302915040E+06, 0.64635591883352E+07, -0.1698551E+01,           1,  0.2070882E+05,         156
, 0.39479988113346E+06, 0.64635758466100E+07, -0.1599184E+01,           1,  0.1794509E+05,         157
, 0.39465678080897E+06, 0.64635924970161E+07, -0.1352141E+01,           1,  0.1518054E+05,         158
, 0.39500716472709E+06, 0.64637075024654E+07, -0.1524438E+01,           1,  0.1966967E+05,         159
, 0.39488479341157E+06, 0.64637043738018E+07, -0.1675197E+01,           1,  0.1739168E+05,         160
, 0.39476243848973E+06, 0.64637012476634E+07, -0.1618043E+01,           1,  0.1511414E+05,         161
, 0.39464011007327E+06, 0.64636981203665E+07, -0.1391735E+01,           1,  0.1283784E+05,         162
, 0.39491693192862E+06, 0.64638687741199E+07, -0.1461460E+01,           1,  0.1861678E+05,         163
, 0.39481463003516E+06, 0.64638467263659E+07, -0.1615406E+01,           1,  0.1618935E+05,         164
, 0.39471237339121E+06, 0.64638246910805E+07, -0.1554715E+01,           1,  0.1376125E+05,         165
, 0.39461018885401E+06, 0.64638026706967E+07, -0.1320562E+01,           1,  0.1133365E+05,         166
, 0.39483414294605E+06, 0.64640314679178E+07, -0.1438258E+01,           1,  0.1706112E+05,         167
, 0.39474309733491E+06, 0.64640026089540E+07, -0.1562408E+01,           1,  0.1749142E+05,         168
, 0.39465205341249E+06, 0.64639737492608E+07, -0.1448965E+01,           1,  0.1792107E+05,         169
, 0.39456101103505E+06, 0.64639448934556E+07, -0.1174560E+01,           1,  0.1835164E+05,         170
, 0.39475636947006E+06, 0.64641936048080E+07, -0.1421347E+01,           1,  0.1555313E+05,         171
, 0.39467107141455E+06, 0.64641713688097E+07, -0.1523941E+01,           1,  0.1600018E+05,         172
, 0.39458577761234E+06, 0.64641491350720E+07, -0.1391899E+01,           1,  0.1644658E+05,         173
, 0.39450048694333E+06, 0.64641269038966E+07, -0.1116385E+01,           1,  0.1689301E+05,         174
, 0.39467734033282E+06, 0.64643551932549E+07, -0.1380467E+01,           1,  0.1389024E+05,         175
, 0.39459883233084E+06, 0.64643399911175E+07, -0.1499262E+01,           1,  0.1434079E+05,         176
, 0.39452032972051E+06, 0.64643247900242E+07, -0.1424021E+01,           1,  0.1479135E+05,         177
, 0.39444183186541E+06, 0.64643095916753E+07, -0.1210988E+01,           1,  0.1524200E+05,         178
, 0.39460286509275E+06, 0.64645187753424E+07, -0.1324402E+01,           1,  0.1238111E+05,         179
, 0.39453157339702E+06, 0.64645105033604E+07, -0.1465832E+01,           1,  0.1279963E+05,         180
, 0.39446028783622E+06, 0.64645022343066E+07, -0.1450670E+01,           1,  0.1321840E+05,         181
, 0.39438900838454E+06, 0.64644939701917E+07, -0.1295092E+01,           1,  0.1363705E+05,         182
, 0.39455067808857E+06, 0.64646927063295E+07, -0.1261397E+01,           1,  0.1238575E+05,         183
, 0.39448122736686E+06, 0.64646894587622E+07, -0.1404207E+01,           1,  0.1262656E+05,         184
, 0.39441177709970E+06, 0.64646862131081E+07, -0.1410903E+01,           1,  0.1286672E+05,         185
, 0.39434232640998E+06, 0.64646829698293E+07, -0.1280020E+01,           1,  0.1310782E+05,         186
, 0.39453347773899E+06, 0.64648711198120E+07, -0.1203467E+01,           1,  0.1310936E+05,         187
, 0.39446076561834E+06, 0.64648714250264E+07, -0.1357192E+01,           1,  0.1338625E+05,         188
, 0.39438805370715E+06, 0.64648717302747E+07, -0.1397584E+01,           1,  0.1366322E+05,         189
, 0.39431534174843E+06, 0.64648720398585E+07, -0.1298247E+01,           1,  0.1394015E+05,         190
, 0.39453229010286E+06, 0.64650242473817E+07, -0.1186939E+01,           1,  0.9362743E+04,         191
, 0.39445868951968E+06, 0.64650287244755E+07, -0.1385544E+01,           1,  0.9699495E+04,         192
, 0.39438508889784E+06, 0.64650332015647E+07, -0.1490339E+01,           1,  0.1003639E+05,         193
, 0.39431148739476E+06, 0.64650376811982E+07, -0.1431380E+01,           1,  0.1037264E+05,         194
, 0.39453484300537E+06, 0.64651502317952E+07, -0.1216973E+01,           1,  0.8952877E+04,         195
, 0.39446410110778E+06, 0.64651592138137E+07, -0.1472841E+01,           1,  0.9314091E+04,         196
, 0.39439336012067E+06, 0.64651681955334E+07, -0.1640316E+01,           1,  0.9675376E+04,         197
, 0.39432262024160E+06, 0.64651771774206E+07, -0.1607695E+01,           1,  0.1003653E+05,         198
, 0.39455510478778E+06, 0.64652754157999E+07, -0.1251246E+01,           1,  0.8858111E+04,         199
, 0.39448670880076E+06, 0.64652890299016E+07, -0.1542464E+01,           1,  0.9181815E+04,         200
, 0.39441831250637E+06, 0.64653026440645E+07, -0.1741714E+01,           1,  0.9505519E+04,         201
, 0.39434991593498E+06, 0.64653162582825E+07, -0.1716119E+01,           1,  0.9829223E+04,         202
, 0.39458346153069E+06, 0.64653939616577E+07, -0.1263902E+01,           1,  0.7919115E+04,         203
, 0.39452042109828E+06, 0.64654172497064E+07, -0.1552911E+01,           1,  0.9093788E+04,         204
, 0.39445737115582E+06, 0.64654405420805E+07, -0.1738772E+01,           1,  0.1026874E+05,         205
, 0.39439431547059E+06, 0.64654638384667E+07, -0.1697517E+01,           1,  0.1144383E+05,         206
, 0.39461984156604E+06, 0.64655047572328E+07, -0.1269413E+01,           1,  0.6926187E+04,         207
, 0.39457098161632E+06, 0.64655402472296E+07, -0.1540523E+01,           1,  0.8024325E+04,         208
, 0.39452213374684E+06, 0.64655757304166E+07, -0.1692538E+01,           1,  0.9123771E+04,         209
, 0.39447329342243E+06, 0.64656112085461E+07, -0.1624046E+01,           1,  0.1022179E+05,         210
, 0.39468985092858E+06, 0.64656008217190E+07, -0.1285459E+01,           1,  0.7336301E+04,         211
, 0.39465169200888E+06, 0.64656509340908E+07, -0.1553747E+01,           1,  0.8268300E+04,         212
, 0.39461354204414E+06, 0.64657010303273E+07, -0.1688818E+01,           1,  0.9199817E+04,         213
, 0.39457540240751E+06, 0.64657511216124E+07, -0.1600553E+01,           1,  0.1013145E+05,         214
, 0.39478206169391E+06, 0.64656720205232E+07, -0.1300723E+01,           1,  0.8697569E+04,         215
, 0.39475104447412E+06, 0.64657395521448E+07, -0.1582649E+01,           1,  0.9880442E+04,         216
, 0.39472002469297E+06, 0.64658070904895E+07, -0.1722413E+01,           1,  0.1106279E+05,         217
, 0.39468899989385E+06, 0.64658746325693E+07, -0.1626770E+01,           1,  0.1224643E+05,         218
, 0.39489124852652E+06, 0.64657105643011E+07, -0.1305915E+01,           1,  0.1019380E+05,         219
, 0.39487038223244E+06, 0.64657960810228E+07, -0.1599104E+01,           1,  0.1146897E+05,         220
, 0.39484952477784E+06, 0.64658815604234E+07, -0.1745319E+01,           1,  0.1274410E+05,         221
, 0.39482867395474E+06, 0.64659670126465E+07, -0.1647044E+01,           1,  0.1401923E+05,         222
, 0.39500647606493E+06, 0.64657115790208E+07, -0.1328994E+01,           1,  0.1109645E+05,         223
, 0.39499928713420E+06, 0.64658059989396E+07, -0.1604324E+01,           1,  0.1270889E+05,         224
, 0.39499209671156E+06, 0.64659004538293E+07, -0.1715899E+01,           1,  0.1432216E+05,         225
, 0.39498490188299E+06, 0.64659949316919E+07, -0.1589352E+01,           1,  0.1593392E+05,         226
, 0.39512476752825E+06, 0.64656942085111E+07, -0.1385383E+01,           1,  0.1124466E+05,         227
, 0.39513483818093E+06, 0.64657881117466E+07, -0.1603750E+01,           1,  0.1287782E+05,         228
, 0.39514490983497E+06, 0.64658820508325E+07, -0.1615005E+01,           1,  0.1451117E+05,         229
, 0.39515498660278E+06, 0.64659760101785E+07, -0.1411687E+01,           1,  0.1614304E+05,         230
, 0.39523395995373E+06, 0.64656533283856E+07, -0.1430540E+01,           1,  0.1041693E+05,         231
, 0.39525813747276E+06, 0.64657402337237E+07, -0.1580874E+01,           1,  0.1171001E+05,         232
, 0.39528231932832E+06, 0.64658271488409E+07, -0.1476466E+01,           1,  0.1300333E+05,         233
, 0.39530650497166E+06, 0.64659140736695E+07, -0.1186950E+01,           1,  0.1429721E+05,         234
, 0.39533648262816E+06, 0.64655929163771E+07, -0.1426944E+01,           1,  0.9396695E+04,         235
, 0.39537073149684E+06, 0.64656643032566E+07, -0.1524453E+01,           1,  0.1062724E+05,         236
, 0.39540498068927E+06, 0.64657356914838E+07, -0.1349392E+01,           1,  0.1185812E+05,         237
, 0.39543923020847E+06, 0.64658070854786E+07, -0.1018470E+01,           1,  0.1309000E+05,         238
, 0.39542877302712E+06, 0.64655162201431E+07, -0.1436616E+01,           1,  0.8933900E+04,         239
, 0.39547640519288E+06, 0.64655758910278E+07, -0.1490546E+01,           1,  0.1030560E+05,         240
, 0.39552404528041E+06, 0.64656355723132E+07, -0.1276579E+01,           1,  0.1167737E+05,         241
, 0.39557169116874E+06, 0.64656952607406E+07, -0.9373299E+00,           1,  0.1304917E+05,         242
, 0.39550671245046E+06, 0.64654203560653E+07, -0.1559626E+01,           1,  0.1067552E+05,         243
, 0.39557008618088E+06, 0.64654746476879E+07, -0.1579039E+01,           1,  0.1168425E+05,         244
, 0.39563345911495E+06, 0.64655289399212E+07, -0.1326385E+01,           1,  0.1269319E+05,         245
, 0.39569683018082E+06, 0.64655832331507E+07, -0.9700292E+00,           1,  0.1370108E+05,         246
, 0.39556974977452E+06, 0.64653097341186E+07, -0.1776265E+01,           1,  0.1149572E+05,         247
, 0.39564649695357E+06, 0.64653582119929E+07, -0.1795531E+01,           1,  0.1270240E+05,         248
, 0.39572324491625E+06, 0.64654066933974E+07, -0.1524390E+01,           1,  0.1390997E+05,         249
, 0.39579999321763E+06, 0.64654551752505E+07, -0.1143488E+01,           1,  0.1511672E+05,         250
, 0.39560075800338E+06, 0.64651874898501E+07, -0.1959614E+01,           1,  0.1140158E+05,         251
, 0.39568665965288E+06, 0.64652272281039E+07, -0.2010516E+01,           1,  0.1246766E+05,         252
, 0.39577256724305E+06, 0.64652669688127E+07, -0.1754440E+01,           1,  0.1353418E+05,         253
