ISOTime,Flow,Sal,Temp,zeroes,TSS
01/01/2016,0.1626,0.5000,20.0000,0
1,02/01/2016,0.4506,0.5000,20.0000,0
1,03/01/2016,0.7733,0.5000,20.0000,0
1,04/01/2016,0.7800,0.5000,20.0000,0
1,05/01/2016,0.0895,0.5000,20.0000,0
1,06/01/2016,0.9876,0.5000,20.0000,0
1,07/01/2016,0.7984,0.5000,20.0000,0
1,08/01/2016,0.6494,0.5000,20.0000,0
1,09/01/2016,0.8944,0.5000,20.0000,0
1,10/01/2016,0.2467,0.5000,20.0000,0
1,11/01/2016,0.5562,0.5000,20.0000,0
1,12/01/2016,0.5808,0.5000,20.0000,0
1,13/01/2016,0.2297,0.5000,20.0000,0
1,14/01/2016,0.6781,0.5000,20.0000,0
1,15/01/2016,0.7024,0.5000,20.0000,0
1,16/01/2016,0.8060,0.5000,20.0000,0
1,17/01/2016,0.7727,0.5000,20.0000,0
1,18/01/2016,0.1509,0.5000,20.0000,0
1,19/01/2016,0.5969,0.5000,20.0000,0
1,20/01/2016,0.6087,0.5000,20.0000,0
1,21/01/2016,0.8660,0.5000,20.0000,0
1,22/01/2016,0.8493,0.5000,20.0000,0
1,23/01/2016,0.7255,0.5000,20.0000,0
1,24/01/2016,0.1600,0.5000,20.0000,0
1,25/01/2016,0.6274,0.5000,20.0000,0
1,26/01/2016,0.3123,0.5000,20.0000,0
1,27/01/2016,0.3229,0.5000,20.0000,0
1,28/01/2016,0.2165,0.5000,20.0000,0
1,29/01/2016,0.8447,0.5000,20.0000,0
1,30/01/2016,0.5058,0.5000,20.0000,0
1,31/01/2016,0.7081,0.5000,20.0000,0
1,01/02/2016,0.4842,0.5000,20.0000,0
1,02/02/2016,0.0027,0.5000,20.0000,0
1,03/02/2016,0.4740,0.5000,20.0000,0
1,04/02/2016,0.3808,0.5000,20.0000,0
1,05/02/2016,0.6238,0.5000,20.0000,0
1,06/02/2016,0.8803,0.5000,20.0000,0
1,07/02/2016,0.0942,0.5000,20.0000,0
1,08/02/2016,0.5635,0.5000,20.0000,0
1,09/02/2016,0.6196,0.5000,20.0000,0
1,10/02/2016,0.1465,0.5000,20.0000,0
1,11/02/2016,0.0271,0.5000,20.0000,0
1,12/02/2016,0.6779,0.5000,20.0000,0
1,13/02/2016,0.0186,0.5000,20.0000,0
1,14/02/2016,0.4778,0.5000,20.0000,0
1,15/02/2016,0.8428,0.5000,20.0000,0
1,16/02/2016,0.4616,0.5000,20.0000,0
1,17/02/2016,0.8157,0.5000,20.0000,0
1,18/02/2016,0.5300,0.5000,20.0000,0
1,19/02/2016,0.6083,0.5000,20.0000,0
1,20/02/2016,0.7593,0.5000,20.0000,0
1,21/02/2016,0.5356,0.5000,20.0000,0
1,22/02/2016,0.3993,0.5000,20.0000,0
1,23/02/2016,0.8353,0.5000,20.0000,0
1,24/02/2016,0.6648,0.5000,20.0000,0
1,25/02/2016,0.6595,0.5000,20.0000,0
1,26/02/2016,0.8586,0.5000,20.0000,0
1,27/02/2016,0.4028,0.5000,20.0000,0
1,28/02/2016,0.7645,0.5000,20.0000,0
1,29/02/2016,0.2029,0.5000,20.0000,0
1,01/03/2016,0.3157,0.5000,20.0000,0
1,02/03/2016,0.9731,0.5000,20.0000,0
1,03/03/2016,0.5525,0.5000,20.0000,0
1,04/03/2016,0.5269,0.5000,20.0000,0
1,05/03/2016,0.0509,0.5000,20.0000,0
1,06/03/2016,0.2390,0.5000,20.0000,0
1,07/03/2016,0.2135,0.5000,20.0000,0
1,08/03/2016,0.2374,0.5000,20.0000,0
1,09/03/2016,0.2871,0.5000,20.0000,0
1,10/03/2016,0.1133,0.5000,20.0000,0
1,11/03/2016,0.4091,0.5000,20.0000,0
1,12/03/2016,0.8982,0.5000,20.0000,0
1,13/03/2016,0.4410,0.5000,20.0000,0
1,14/03/2016,0.4526,0.5000,20.0000,0
1,15/03/2016,0.2411,0.5000,20.0000,0
1,16/03/2016,0.0063,0.5000,20.0000,0
1,17/03/2016,0.5545,0.5000,20.0000,0
1,18/03/2016,0.2433,0.5000,20.0000,0
1,19/03/2016,0.1911,0.5000,20.0000,0
1,20/03/2016,0.7913,0.5000,20.0000,0
