Year,FLow_m3_year,TN_tone_year,TP_tone_year
2008,265423154.4,451.0312,18.4729
2009,315726670.8,463.8141,21.0561
2010,40592541.6,42.6417,1.8498
2011,198206681.4,316.0904,14.0942
2012,68736945.6,67.5896,3.2701
2013,218414055.6,259.9837,16.3769
2014,169974068.4,189.8826,8.5836
2015,74147472.46,82.5972,3.8331
2016,214686399.8,277.7573,12.9195
2017,425842459.2,488.8242,15.6002
2018,343715353.6,410.4054,14.0523
