Depth,Sal,Temp,ones,zeroes,TSS,Oxy,Sil,Amm,Nit,FRP,DOC_T,POC_T,DON_T,PON_T,OP,CHLA,TN,TP
0.0000,7.2097,23.3630,1.0000,0.0000,9.0000,191.5625,302.4911,62.8571,1.7143,0.9032,2083.3333,254.3333,70.0000,-27.4286,0.6194,2.0000,107.1429,1.6129
0.8616,7.2115,23.3030,1.0000,0.0000,9.0000,174.6875,302.4911,62.8571,1.8571,0.9032,2083.3333,254.3333,27.8571,21.7143,0.7484,2.0000,114.2857,1.7419
