Depth,Sal,Temp,ones,zeroes,TSS,Oxy,Sil,Amm,Nit,FRP,DOC_T,POC_T,DON_T,PON_T,OP,CHLA,TN,TP
0.0000,7.0310,23.0350,1.0000,0.0000,3.0000,175.0000,427.0463,407.1429,2.6429,238.7097,2166.6667,262.6667,70.0000,-372.6429,-261.1935,3.0000,107.1429,1.3871
0.5653,7.0557,23.0630,1.0000,0.0000,3.0000,160.9375,533.8078,450.0000,2.6429,83.8710,2166.6667,262.6667,27.8571,-366.2143,-90.6774,3.0000,114.2857,1.5806
