Depth,Sal,Temp,ones,zeroes,TSS,Oxy,Sil,Amm,Nit,FRP,DOC_T,POC_T,DON_T,PON_T,OP,CHLA,TN,TP
0.0000,18.5499,21.8040,1.0000,0.0000,6.0000,194.3750,117.4377,16.4286,2.2143,2.6774,1083.3333,154.3333,50.0000,17.0714,2.5387,27.0000,85.7143,5.4839
2.2538,18.7318,21.9040,1.0000,0.0000,6.0000,186.5625,117.4377,10.7143,3.5714,2.3871,1083.3333,154.3333,52.8571,18.5714,2.2129,12.0000,85.7143,4.8387
